wordID,docID,frequency,hitlist
0,144|564|612|886|1223|1359|1396|1474|1878|1898|1965|2422|2732|2820|4591|5018,1|1|1|1|2|1|1|2|1|1|1|1|1|1|1|1,"0, 2458|0, 1978|0, 1465|0, 2868|3, 5;0, 5|0, 207|0, 1567|0, 723;0, 738|0, 1727|0, 9|0, 545|3, 8|0, 258|0, 2198|0, 561|0, 155"
1,144|377|504|506|761|853|916|1730|1788|1988|2769|2825|2890|3679|3824|3901|4028|4877,1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,"0, 2464|0, 996;0, 1260|0, 808|0, 625|0, 750|0, 115|0, 1083|0, 824|0, 561|0, 225|0, 386|0, 874|0, 1114|0, 208|0, 740|0, 644|0, 2123|0, 8230"
2,144|351|353|584|588|651|677|786|889|990|1006|1117|1192|1214|1494|1531|1580|1600|1711|1768|1777|1837|1862|1870|1961|1986|2183|2195|2215|2341|2448|2519|2546|2605|2627|2732|2776|2783|2828|2920|2931|2936|3061|3085|3140|3160|3205|3217|3284|3525|3537|3581|3652|3796|3874|3925|3980|4135|4138|4246|4280|4379|4464|4478|4560|4596|4626|4672|4676|4775|4804|4827|4849|4992|5026|5051|5171|5181|5227|5253|5415|5426|5435|5498|5535|5572|5592,1|1|1|2|1|1|2|1|1|2|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|3|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|2|1|1|1|1|1|1|2|1|1|1|1|3|1|2|2|1|1|1|1|1|1|1|2|1|1|4|1|1|1|1,"0, 2501|0, 183|0, 645|0, 2615;0, 2791|0, 665|0, 1289|0, 828;0, 889|0, 524|0, 3182|0, 1648;0, 1730|0, 259|0, 653|0, 516|0, 257|0, 804|0, 312|0, 924|0, 574|0, 1658|0, 362;0, 973|0, 1417|0, 219|0, 1644|0, 39|0, 1648|0, 1731;0, 1792;0, 2672|0, 771|0, 203|0, 1032|0, 973|0, 92|0, 3485;0, 3648|0, 729|0, 1762|0, 391|0, 789|0, 288|0, 182|0, 386|0, 1689|0, 736|0, 1138|0, 3105|0, 380|0, 560|0, 363|0, 258|0, 1361|0, 524|0, 179|0, 259;0, 466|0, 2118|0, 74|0, 600|0, 657|0, 67|0, 332;0, 1038|0, 392|0, 1267|0, 369|0, 2850|0, 307|0, 1101|0, 455;0, 471|0, 85|0, 359|0, 70|0, 306|0, 321;0, 354;0, 791|0, 508|0, 421;0, 604|0, 471;0, 572|0, 1781|0, 1839|0, 1307|0, 128|0, 1510|0, 3055|0, 1268|0, 893;0, 903|0, 669|0, 3344|0, 679;0, 700;0, 713;0, 730|0, 160|0, 929|0, 205|0, 418"
3,144|3553,1|1,"0, 2535|0, 14"
4,144|304|399|526|573|576|1243|1402|1414|1452|1510|1784|2058|2224|2371|2383|2452|2530|2542|2911|3028|3042|3104|3210|3694|3779|3820|3835|4091|4410|4489|4600|4858|4935|5106|5169|5233|5331|5338|5463|5605,2|1|1|1|1|1|1|1|1|4|1|1|1|1|2|5|1|1|1|2|1|1|1|1|1|1|2|2|1|1|1|7|3|1|1|1|1|1|2|1|1,"0, 2536;0, 3084|0, 661|0, 1636|0, 105|0, 576|0, 37|0, 89|0, 1158|0, 26|0, 1012;0, 1220;0, 1307;0, 1458|0, 802|0, 907|0, 218|0, 258|0, 372;0, 423|0, 236;0, 971;0, 978;0, 1002;0, 1073|0, 696|0, 927|0, 726|0, 1226;0, 1457|0, 857|0, 97|0, 219|0, 1349|0, 4|0, 143|3, 7;0, 15|0, 1559;0, 1756|0, 1072|0, 1696|0, 52|0, 292;0, 302;0, 313;0, 326;0, 340;0, 343;0, 584|0, 1375;0, 1517;0, 1535|0, 76|0, 434|0, 677|0, 228|0, 873|0, 3256;0, 3288|0, 22|0, 1064"
5,144|1390|3620|4017|5338,1|1|1|1|2,"0, 2542|0, 701|0, 1224|0, 1006|0, 7100;0, 7121"
6,144|155|4100|5417,1|1|1|1,"0, 2590|0, 628|0, 1275|0, 68"
7,144|187|200|249|273|288|470|489|597|642|651|741|870|1100|1207|1221|1230|1382|1408|1428|1462|1475|1493|1524|1533|1609|1619|1648|1722|1734|1851|1883|2091|2102|2122|2126|2247|2413|2443|2470|2490|2522|2629|2732|2812|2820|2838|2847|2871|2875|2906|2913|3079|3109|3212|3259|3280|3319|3329|3335|3373|3517|3615|3639|3645|3652|3660|3756|3815|3886|3887|3890|3941|3980|4051|4074|4100|4151|4169|4188|4228|4278|4311|4508|4522|4536|4539|4541|4588|4618|4672|4690|4745|4891|4899|4913|4972|5084|5100|5117|5147|5150|5210|5239|5315|5338|5360|5450|5575|5603,2|2|1|1|2|1|1|1|1|1|2|1|3|1|2|2|1|2|1|1|1|1|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|3|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|13|1|1|1|2,"0, 2606;0, 2991|0, 1462;0, 1890|0, 858|0, 1074|0, 1230;0, 1501|0, 378|0, 439|0, 813|0, 67|0, 1131|0, 2297;0, 2361|0, 506|0, 2214;0, 4985;0, 5709|0, 574|0, 1323;0, 1351|0, 850;0, 1847|0, 1776|0, 415;0, 522|0, 431|0, 60|0, 6671|0, 1166|0, 135;0, 147;0, 178;0, 269;0, 323|0, 129|0, 931|0, 2021|0, 958|0, 909|0, 914|0, 2058|0, 150|0, 817|0, 2453|0, 202|0, 82|0, 194|0, 116|0, 778|0, 491|0, 5|0, 396|0, 350|0, 432|0, 645|0, 153|0, 7|0, 779|0, 23|0, 796|0, 1255|0, 875|0, 21|0, 304|0, 754|0, 2859;0, 2925|0, 350|0, 207|0, 94|0, 553|0, 533|0, 690|0, 1313|0, 550|0, 201|0, 276|0, 244|0, 1677|0, 1694|0, 886|0, 228|0, 1568|0, 631;0, 755|0, 3475|0, 217;0, 265;0, 579|0, 1023|0, 747|0, 829|0, 123|0, 313|0, 720|0, 3399|0, 140|0, 906|0, 570;0, 1381|0, 224|0, 212|0, 880|0, 471|0, 637|0, 2313;0, 2419;0, 2591|0, 1180|0, 668|0, 1987|0, 265|0, 286|0, 1102|0, 526|0, 466|0, 676|0, 736;0, 748|0, 1959|0, 343|0, 70|0, 820|0, 68|0, 1616;0, 2306;0, 2350;0, 2457;0, 2501;0, 3907;0, 3992;0, 4296;0, 4439;0, 4604;0, 4712;0, 5785;0, 5877|0, 1900|0, 20|0, 223|0, 168;0, 328"
8,144|1309|1529|2397|3697|4830|5027,1|1|1|1|1|3|1,"0, 2621|0, 369|0, 122|0, 1362|0, 616|0, 576;0, 585;0, 606|0, 2494"
9,144,1,"0, 2628"
