wordID,docID,frequency,hitlist
0,175,1,"0, 534"
1,175,1,"0, 536"
2,175,2,"0, 538;0, 592"
3,175|310|386|598|654|865|884|894|899|939|949|959|1011|1034|1125|1228|1252|1292|1539|1617|1660|1766|1934|2023|2091|2182|2255|2630|2720|2794|2872|3052|3118|3159|3224|3335|3386|3442|3540|3544|3631|3652|3665|3712|3841|4067|4089|4091|4169|4171|4287|4316|4325|4434|4446|4468|4641|4694|4876|4913|5096|5147|5183|5218|5253|5276|5334|5338|5348|5350|5353|5365|5450|5605,1|1|1|1|1|1|1|2|7|1|1|1|16|2|1|1|1|8|1|1|1|1|1|2|3|2|1|1|1|2|3|1|1|1|1|1|1|1|1|1|11|1|1|1|1|1|1|1|7|1|1|8|2|2|6|6|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|2,"0, 564|0, 1873|0, 1146|0, 152|0, 2031|0, 1727|0, 605|0, 263;0, 283|0, 829;0, 864;0, 889;0, 908;0, 1004;0, 1131;0, 1191|0, 313|0, 1120|0, 581|0, 16;0, 35;0, 1571;0, 1584;0, 1615;0, 1640;0, 1766;0, 1824;0, 2058;0, 2073;0, 2086;0, 2112;0, 2191;0, 2281;0, 2290;0, 2331|0, 1004;0, 1054|0, 1799|0, 1627|0, 998|0, 906;0, 923;0, 959;0, 973;0, 1034;0, 1129;0, 1158;0, 1174|0, 806|0, 133|0, 514|0, 55|0, 358|0, 546;0, 569|0, 2024;0, 2468;0, 2563|0, 263;0, 337|0, 3060|0, 256|0, 6071|0, 976;0, 1803|0, 47;0, 783;0, 844|0, 505|0, 875|0, 854|0, 1149|0, 905|0, 742|0, 7|0, 561|0, 98|3, 1;0, 2;0, 43;0, 58;0, 77;0, 114;0, 168;0, 284;0, 321;0, 585;0, 642|0, 999|0, 258|0, 11|0, 6|0, 62|0, 72|0, 1675|0, 960;0, 965;0, 983;0, 1020;0, 1038;0, 1047;0, 1104|0, 876|0, 257|0, 29;0, 34;0, 656;0, 916;0, 1081;0, 1166;0, 1251;0, 1388|0, 674;0, 1357|0, 296;0, 614|0, 1869;0, 1946;0, 1971;0, 1987;0, 2193;0, 2254|0, 1834;0, 2034;0, 2037;0, 2136;0, 2174;0, 2349|0, 1313|0, 966|0, 332|0, 2445|0, 722|0, 346|0, 349|0, 1167|0, 657|0, 2053|0, 106|0, 2764;0, 2882;0, 15475|0, 136|0, 8|0, 1973|0, 757|0, 1999|0, 1670;0, 1708"
4,175|239|473|565|646|741|762|966|1071|1072|1415|1832|2086|2233|2633|2801|2992|3105|3118|3440|3456|3552|3618|3785|3891|4142|4228|4687|4720|5032|5460,1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|6|2|1|1|1|1|1|2|1|2|1|1|1|1|1|1,"0, 566|0, 22|0, 186|0, 1291|0, 82|0, 558|0, 759|0, 1678|0, 129|0, 1232|0, 1082|0, 209;0, 1492|0, 227|0, 796|0, 922|0, 910;0, 956;0, 972;0, 2068;0, 2155;0, 2328|0, 8;0, 495|0, 842|0, 459|0, 299|0, 995|0, 491|0, 117;0, 159|0, 954|0, 26;0, 35|0, 349|0, 1363|0, 32|0, 126|0, 1984|0, 663"
5,175|3517|4422,1|5|1,"0, 649|0, 1409;0, 1551;0, 1555;0, 1625;0, 2052|0, 405"
6,175,1,"0, 652"
7,175,1,"0, 653"
8,175,1,"0, 654"
9,175,1,"0, 726"
10,175|2879,1|1,"0, 739|0, 626"
11,175,2,"0, 816;0, 838"
12,175|564|851|1042|2834|2879|3171|3941|3949|4972,1|1|1|1|1|1|2|1|14|1,"0, 829|0, 1899|0, 1735|0, 844|0, 653|0, 848|0, 493;0, 517|0, 826|0, 689;0, 735;0, 751;0, 765;0, 861;0, 884;0, 952;0, 980;0, 1131;0, 1146;0, 1166;0, 1218;0, 1334;0, 1429|0, 72"
13,175|586|3136|4057|4082,1|2|1|2|1,"0, 856|0, 5;0, 139|0, 61|0, 1045;0, 1355|0, 601"
14,175|213|324|599|616|1082|1197|1585|1710|2184|2208|2268|2281|2428|2655|2806|2868|2988|3165|3330|3639|3828|3949|4226|4339|4587|4704|5027|5111|5154|5401|5605,1|3|1|4|2|1|1|1|1|1|1|8|1|1|1|1|1|1|2|1|13|1|1|1|11|2|1|1|4|6|1|1,"0, 862|0, 103;0, 231;0, 240|0, 1389|0, 3169;0, 3389;0, 3391;0, 3438|0, 1132;0, 1440|0, 1477|0, 471|0, 1269|0, 8|0, 297|0, 73|0, 411;0, 464;0, 505;0, 898;0, 940;0, 951;0, 957;0, 1105|0, 1019|0, 126|0, 1988|0, 496|0, 170|0, 808|0, 340;0, 1180|0, 188|3, 1;3, 3;0, 0;0, 45;0, 75;0, 77;0, 97;0, 123;0, 125;0, 208;0, 228;0, 633;2, 1|0, 217|0, 484|0, 190|0, 12;0, 14;0, 161;0, 163;0, 478;0, 582;0, 584;0, 793;0, 1546;0, 1548;2, 9|0, 279;2, 1|0, 116|0, 401|0, 56;0, 71;0, 93;2, 9|0, 5;0, 41;0, 282;0, 327;0, 345;2, 5|2, 7|0, 1635"
15,175|5444,1|4,"0, 866|3, 2;0, 2;0, 66;0, 252"
16,175,1,"0, 867"
17,175|222|236|328|463|726|1095|1302|1527|1670|2279|2349|2421|2612|2839|2864|2906|3123|3164|3296|3612|3651|3763|4076|4086|4128|4295|4354|4562|4608|4653|5040|5221|5270|5283|5387|5539|5548,1|1|1|1|1|1|1|1|2|1|1|1|2|1|1|1|1|1|3|1|1|1|1|2|1|1|1|2|1|1|1|1|2|1|1|1|1|1,"0, 873|0, 588|0, 491|0, 156|0, 22|0, 377|0, 36|0, 883|0, 76;0, 502|0, 201|0, 617|0, 46|0, 367;0, 2407|0, 1010|0, 251|0, 1913|0, 1718|0, 248|0, 187;0, 305;0, 339|0, 1681|0, 221|0, 1021|0, 1352|0, 1178;0, 1190|0, 1129|0, 431|0, 1159|0, 480;0, 506|0, 103|0, 1066|0, 131|0, 1286|0, 1715;0, 2047|0, 3540|0, 410|0, 2395|0, 846|0, 797"
18,175,1,"0, 948"
19,175|3949|5432,2|6|1,"0, 960;0, 1775|0, 345;0, 489;0, 505;0, 520;0, 585;0, 1393|0, 2393"
20,175|285|562|1092|1153|1653|2142|3251|3421,1|1|1|1|3|1|1|1|1,"0, 966|0, 129|0, 1111|0, 1078|0, 394;0, 474;0, 736|0, 952|0, 124|0, 913|0, 428"
21,175,1,"0, 983"
22,175|544|754|949|1014|1197|1343|1835|2151|2299|2655|2720|3385|3492|3910|3949,1|1|1|1|1|1|2|1|1|1|1|1|1|1|2|2,"0, 990|0, 133|0, 1331|0, 2241|0, 514|0, 1085|0, 1156;0, 1223|0, 1004|0, 462|0, 332|0, 726|0, 2084|0, 873|0, 3249|0, 74;0, 243|0, 151;0, 228"
23,175|4414,1|1,"0, 1003|0, 1200"
24,175,1,"0, 1011"
25,175|233|249|277|302|446|529|553|560|614|662|678|870|898|1007|1127|1148|1261|1327|1415|1585|1647|1819|1841|1902|1967|2002|2086|2091|2112|2142|2203|2355|2377|2425|2491|2590|2596|2720|2743|2911|2935|3043|3049|3095|3214|3250|3259|3263|3364|3408|3450|3472|3475|3779|4086|4146|4225|4279|4303|4393|4591|4630|4645|4921|4969|5065|5104|5243|5338|5353|5471|5552|5592,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|4|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|3|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|2,"0, 1043|0, 156|0, 1003|0, 466|0, 180|0, 3637|0, 178|0, 1192|0, 572|0, 604|0, 541|0, 933|0, 1309|0, 12|0, 674|0, 224|0, 364|0, 169|0, 229|0, 2524|0, 10;0, 76|0, 200|0, 926|0, 3064|0, 431|0, 345|0, 2725|0, 513|0, 178|0, 370|0, 97|0, 83;0, 105;0, 553;0, 908|0, 322|0, 827|0, 640|0, 289|0, 192|0, 301|0, 33;0, 5968;0, 8000|0, 820|0, 1496|0, 914|0, 182|0, 422|0, 124|0, 555|0, 887|0, 1061|0, 759|0, 465|0, 249|0, 845|0, 209;0, 221|0, 230|0, 1842|0, 198|0, 659|3, 8;0, 8;0, 87|0, 95|0, 76;0, 567|0, 1402|0, 66|0, 746|0, 117|0, 453|0, 409|0, 172|0, 273|0, 10230|0, 11759|0, 2178|0, 874|0, 319|0, 3710;0, 4018"
26,175|2312|3417|3830|4479|4587|5052|5361|5368,1|1|2|1|1|1|1|1|1,"0, 1051|0, 1381|0, 1841;0, 2889|0, 17|0, 1045|0, 230|0, 466|0, 676|0, 139"
27,175|3949|4877,1|19|1,"0, 1087|0, 225;0, 265;0, 287;0, 336;0, 405;0, 414;0, 497;0, 604;0, 641;0, 887;0, 1056;0, 1089;0, 1154;0, 1175;0, 1303;0, 1337;0, 1361;0, 1378;0, 1435|0, 158"
28,175|284|288|730|777|883|899|1086|1117|1442|1480|1827|2155|2321|2414|2577|2670|2922|3212|3509|3660|3706|4114|4169|4203|4280|4328|4521|4563|4664|5060|5142|5205|5501|5558,1|1|2|1|1|1|2|1|1|1|1|1|1|1|2|1|2|1|1|1|2|2|1|1|2|1|1|1|1|1|1|1|1|1|1,"0, 1105|0, 333|0, 21;0, 427|0, 406|0, 83|0, 1410|0, 181;0, 843|0, 78|0, 8|0, 189|0, 2073|0, 30|0, 78|0, 292|0, 327;0, 1221|0, 28|0, 1782;0, 1797|0, 233|0, 3022|0, 120|0, 1151;0, 1257|0, 1914;0, 2362|0, 1423|0, 616|0, 3274;0, 3571|0, 179|0, 1023|0, 954|0, 653|0, 415|0, 1259|0, 126|0, 31|0, 4132|0, 1997"
29,175|288|399|649|1046|1873|2430|2438|2680|3056|4100|4526|5530|5567,1|2|1|1|1|1|2|1|1|1|1|1|1|1,"0, 1128|3, 1;0, 125|0, 1837|0, 35|0, 165|0, 41|0, 49;0, 628|0, 1135|0, 409|0, 1203|0, 921|0, 622|0, 758|0, 425"
30,175|403|2873|3708|4941|5118|5530,1|3|1|1|1|8|1,"0, 1135|0, 221;0, 329;0, 1719|0, 954|0, 5042|0, 49|0, 26;0, 366;0, 452;0, 667;0, 1015;0, 3699;0, 6059;0, 6665|0, 815"
31,175|554|777|800|853|1819|3001|3676|4890|5339|5415,1|1|1|1|1|1|1|1|1|1|1,"0, 1155|1, 1|0, 88|1, 1|0, 148|0, 915|0, 398|0, 424|0, 1531|0, 928|0, 1528"
32,175|363|614|638|2062|3042|3072|4600|5237|5360,1|1|1|1|1|1|1|1|1|1,"0, 1188|0, 97|0, 766|0, 850|0, 150|0, 269|0, 224|0, 736|0, 584|0, 2317"
33,175|284|1072|2655|2965|2996|3344|4210,1|1|1|1|1|1|1|1,"0, 1210|0, 153|0, 1336|0, 2164|0, 3024|0, 3125|0, 2395|0, 1410"
34,175|3761|4695,6|1|2,"0, 1242;0, 1258;0, 1275;0, 1293;0, 1333;0, 1399|0, 1406|0, 361;0, 376"
35,175|195|772|949|2034|2138|3135|3425|3448|3581|4157|4522|4672|5027|5230,1|1|1|1|1|2|3|1|1|1|1|1|1|3|1,"0, 1249|0, 1871|0, 130|0, 331|0, 2517|0, 84;0, 331|0, 867;0, 899;0, 1046|0, 1576|0, 25|0, 2444|0, 533|0, 3715|0, 1928|0, 1221;0, 1324;0, 1400|0, 365"
36,175|3327|4195|4997,1|1|2|1,"0, 1250|0, 1266|0, 1150;0, 1791|0, 308"
37,175,1,"0, 1252"
38,175|2536,1|2,"0, 1272|0, 773;1, 2"
39,175|343|398|1025|1386|1453|1552|1767|2285|3116|3259|3557|3633|4114|4195|4591,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,"0, 1309|0, 165|0, 1460|0, 331|0, 729|0, 294|0, 1154|0, 3273|0, 1654|0, 322|0, 143|0, 402|0, 1570|0, 1041|0, 229|0, 4224"
