wordID,docID,frequency,hitlist
0,1624,1,"0, 740"
1,1625,38,"0, 32;0, 82;0, 140;0, 164;0, 451;0, 559;0, 577;0, 614;0, 625;0, 650;0, 732;0, 750;0, 772;0, 790;0, 819;0, 841;0, 889;0, 960;0, 968;0, 982;0, 1001;0, 1027;0, 1032;0, 1121;0, 1141;0, 1159;0, 1209;0, 1227;0, 1238;0, 1256;0, 1275;0, 1302;0, 1313;0, 1341;0, 1362;0, 1407;0, 1418;0, 1437"
2,1625|1751|2711,9|1|1,"0, 39;0, 461;0, 488;0, 554;0, 603;0, 636;0, 766;0, 811;0, 835|0, 170|0, 847"
3,1625|2779|4668,2|1|1,"0, 57;0, 922|0, 1128|0, 2013"
4,1625,1,"0, 170"
5,1625,1,"0, 182"
6,1625|2011|2050|2846|3748|4141|4458|5276,1|1|2|1|1|1|2|4,"0, 228|0, 184|0, 494;0, 958|2, 13|0, 884|0, 1083|0, 330;0, 492|0, 1010;0, 1266;0, 2177;0, 2320"
7,1625|1739|2263|3210|3256|3305|3326|4735|4741|5003|5240|5258|5339,2|1|1|1|1|1|1|1|1|1|1|1|1,"0, 256;0, 268|1, 1|0, 997|1, 1|0, 637|0, 2503|0, 289|1, 1|0, 51|1, 1|1, 1|1, 1|0, 341"
8,1625,1,"0, 257"
9,1625|2326,1|1,"0, 315|0, 113"
10,1625|2326,12|1,"0, 318;0, 323;0, 340;0, 385;0, 419;0, 486;0, 515;0, 653;0, 788;0, 898;0, 931;0, 992|0, 110"
11,1625,1,"0, 357"
12,1625,1,"0, 359"
13,1625,1,"0, 370"
14,1625,1,"0, 378"
15,1625|3603,1|2,"0, 418|3, 6;0, 6"
16,1625|1689|1747|4605|4618|5530,2|2|3|1|1|2,"0, 447;0, 817|3, 1;0, 58|0, 862;0, 903;0, 950|0, 1857|0, 5560|0, 281;0, 588"
17,1625|3003,3|1,"0, 476;0, 1156;0, 1224|0, 458"
18,1625|2326,1|3,"0, 563|0, 159;0, 239;0, 288"
19,1625,1,"0, 600"
20,1625,2,"0, 633;0, 647"
21,1625,1,"0, 644"
22,1625|2218|2634|2798|4362,1|1|1|1|2,"0, 690|0, 436|0, 1118|0, 845|0, 930;0, 964"
23,1625,1,"0, 738"
24,1625,1,"0, 744"
25,1625|3138|4591,1|1|2,"0, 764|0, 949|0, 1418;0, 3540"
26,1625,1,"0, 858"
27,1625|2512,1|1,"0, 870|1, 2"
28,1625|3192,1|1,"0, 876|0, 2202"
29,1625,1,"0, 882"
30,1625|2309|2383|5467,1|1|1|1,"0, 1010|0, 17|0, 870|0, 452"
31,1625|2134|3959|4294,1|1|1|1,"0, 1019|0, 225|0, 1842|0, 806"
32,1625,1,"0, 1072"
33,1625,1,"0, 1099"
34,1625,5,"0, 1126;0, 1165;0, 1201;0, 1233;0, 1236"
35,1625|2520,1|1,"0, 1173|0, 1901"
36,1625,1,"0, 1189"
37,1625,1,"0, 1199"
38,1625,2,"0, 1204;0, 1215"
39,1625,1,"0, 1251"
40,1625,1,"0, 1271"
41,1625,1,"0, 1284"
42,1625,1,"0, 1289"
43,1625,1,"0, 1310"
44,1625|3941,1|1,"0, 1323|0, 3205"
45,1625|1831,1|2,"0, 1325|0, 157;0, 549"
46,1625,1,"0, 1380"
47,1625|4459,1|1,"0, 1385|0, 840"
48,1625|5243,1|1,"0, 1406|0, 6323"
49,1625,1,"0, 1462"
50,1625|2159|2613|5338,1|1|2|2,"1, 1|0, 708|0, 379;0, 414|0, 12118;0, 12127"
51,1625,1,"1, 3"
52,1627,6,"0, 75;0, 89;0, 169;0, 187;0, 365;0, 574"
53,1627|5349,1|1,"0, 104|0, 304"
54,1627|5059|5163,1|2|6,"0, 107|0, 222;0, 231|0, 573;0, 720;0, 726;0, 738;0, 769;0, 785"
55,1627,1,"0, 458"
56,1628,1,"0, 391"
57,1628|3360,1|1,"0, 799|0, 1536"
58,1629|2004|2421|2524|2926|3305|3308|3371|3580|4019|4406|4480|4528|4608|4749|4775|5008|5076|5114|5464|5495,7|1|3|1|1|1|5|1|14|4|3|1|8|1|1|4|4|22|1|1|1,"3, 1;0, 15;0, 458;0, 478;0, 607;0, 915;0, 1388|0, 174|0, 1372;0, 1776;0, 2825|0, 151|0, 1493|0, 1128|0, 747;0, 839;0, 873;0, 947;0, 992|0, 424|3, 1;0, 27;0, 61;0, 91;0, 138;0, 187;0, 211;0, 243;0, 267;0, 291;0, 308;0, 402;0, 415;0, 448|0, 19;0, 40;0, 164;2, 7|3, 4;0, 212;2, 8|0, 360|0, 324;0, 490;0, 491;0, 516;0, 567;0, 601;0, 1014;0, 1026|0, 1479|0, 97|0, 124;0, 232;0, 573;0, 1321|3, 2;0, 29;0, 70;2, 4|3, 8;0, 104;0, 124;0, 244;0, 247;0, 299;0, 363;0, 372;0, 492;0, 528;0, 562;0, 595;0, 789;0, 803;0, 858;0, 941;0, 1029;0, 1080;0, 1180;0, 1205;0, 1379;0, 1419|0, 86|2, 8|0, 494"
59,1629,4,"0, 369;0, 777;0, 894;0, 1285"
60,1629,1,"0, 439"
61,1629,1,"0, 441"
62,1629,2,"0, 462;0, 542"
63,1629|2897|3039|4613|5147,2|4|1|1|1,"0, 548;0, 587|0, 116;0, 209;0, 3611;0, 3631|0, 280|0, 267|0, 703"
64,1629,3,"0, 619;0, 653;0, 1243"
65,1629,1,"0, 626"
66,1629,12,"0, 635;0, 637;0, 789;0, 791;0, 811;0, 817;0, 821;0, 823;0, 861;0, 867;0, 883;0, 885"
67,1629,2,"0, 639;0, 641"
68,1629,2,"0, 643;0, 797"
69,1629|1899|2421,1|1|1,"0, 648|0, 2419|0, 1767"
70,1629,5,"0, 679;0, 705;0, 742;0, 905;0, 909"
71,1629,3,"0, 684;0, 710;0, 783"
72,1629,2,"0, 700;0, 736"
73,1629,2,"0, 747;0, 805"
74,1629,1,"0, 760"
75,1629,10,"0, 793;0, 795;0, 831;0, 837;0, 841;0, 843;0, 863;0, 865;0, 881;0, 887"
76,1629,8,"0, 813;0, 815;0, 825;0, 827;0, 851;0, 853;0, 855;0, 857"
77,1629,3,"0, 819;0, 829;0, 869"
78,1629,6,"0, 833;0, 835;0, 845;0, 847;0, 875;0, 877"
79,1629,2,"0, 839;0, 849"
80,1629,1,"0, 859"
81,1629,2,"0, 871;0, 873"
82,1629,1,"0, 879"
83,1629,1,"0, 889"
84,1629,2,"0, 901;0, 909"
85,1629|3151|4585,1|3|1,"0, 903|0, 162;0, 168;0, 176|0, 555"
86,1629,3,"0, 977;0, 1138;0, 1150"
87,1629,3,"0, 978;0, 1139;0, 1151"
88,1629|1795|2247|3375|3524,1|4|3|1|3,"0, 984|0, 1093;0, 1105;0, 1913;0, 1925|0, 227;0, 271;0, 435|0, 125|0, 1850;0, 1873;0, 1888"
89,1629|2241|2594|3443|3540|5351,1|1|1|1|1|1,"0, 1011|0, 289|0, 480|0, 2028|0, 730|0, 105"
90,1629,2,"0, 1156;0, 1187"
91,1629,1,"0, 1181"
92,1629,1,"0, 1182"
93,1629|1639|2079|3539|3674|3821|4075|4175|4243|4288|4795|5378|5534|5555,1|1|1|1|1|1|1|1|1|1|1|1|1|2,"0, 1202|0, 1020|0, 379|0, 252|0, 1339|0, 328|0, 508|0, 380|2, 4|0, 2736|0, 1263|0, 409|0, 2515|0, 161;0, 218"
94,1629,1,"0, 1279"
95,1629|2226|3792|3802|4110|5014,1|1|1|1|1|3,"0, 1293|0, 658|0, 3086|0, 141|0, 2182|0, 318;0, 756;0, 867"
96,1629,1,"1, 1"
97,1629,1,"1, 2"
98,1630|2013|3901|4165,1|1|1|1,"1, 1|1, 1|1, 1|0, 161"
99,1631,1,"0, 327"
100,1631,1,"0, 341"
101,1631,1,"0, 396"
102,1631,2,"0, 462;0, 811"
103,1631,1,"0, 556"
104,1631,1,"0, 584"
105,1631,1,"0, 584"
106,1631|5453,1|1,"0, 590|0, 1824"
107,1631,1,"0, 600"
108,1631,1,"0, 611"
109,1631,1,"0, 613"
110,1631,1,"0, 615"
111,1631,1,"0, 617"
112,1631,1,"0, 619"
113,1631,1,"0, 622"
114,1631,1,"0, 624"
115,1631|5519,1|2,"0, 628|0, 446;0, 564"
116,1631,1,"0, 631"
117,1631,1,"0, 642"
118,1631|2913,1|2,"0, 749|0, 883;0, 931"
119,1631,1,"0, 768"
120,1631|3278|3375,1|1|1,"0, 915|0, 161|0, 456"
121,1631,1,"0, 946"
122,1631,1,"0, 949"
123,1631,1,"0, 1026"
124,1631|1704|2292|5221,1|1|2|1,"1, 1|1, 1|0, 1309;1, 1|1, 1"
125,1631,1,"1, 2"
126,1632|3650|5147|5590,1|1|1|1,"0, 1|0, 1120|0, 1534|0, 940"
127,1632,1,"0, 23"
128,1632,1,"0, 24"
129,1632|5338,2|1,"0, 37;0, 138|0, 11520"
130,1632|5508,1|1,"0, 408|0, 277"
131,1633,1,"0, 24"
132,1633,1,"0, 28"
133,1633,1,"0, 61"
134,1633,1,"0, 211"
135,1633,1,"0, 260"
136,1633,1,"0, 274"
137,1633,1,"0, 396"
138,1633,1,"0, 396"
139,1633,1,"0, 396"
140,1633,1,"0, 617"
141,1633|4848,2|1,"0, 659;0, 673|0, 1272"
142,1633,1,"0, 826"
143,1633,1,"0, 842"
144,1633,2,"0, 864;0, 891"
145,1633,1,"0, 889"
146,1633,1,"1, 2"
147,1634|4579,8|1,"0, 298;0, 313;0, 324;0, 331;0, 348;0, 373;0, 1143;0, 1156|0, 57"
148,1634,2,"0, 442;0, 460"
149,1634|2180|2195|4267,6|1|1|1,"0, 476;0, 564;0, 654;0, 679;0, 2450;0, 2478|0, 755|0, 872|0, 494"
150,1634,4,"0, 478;0, 566;0, 656;0, 677"
151,1634,6,"0, 585;0, 684;0, 709;0, 780;0, 845;0, 894"
152,1634,2,"0, 731;0, 910"
153,1634|4311,2|6,"0, 746;0, 2487|0, 132;0, 160;0, 192;0, 218;0, 338;0, 431"
154,1634|3810,1|1,"0, 905|0, 1120"
155,1634,2,"0, 965;0, 996"
156,1634,1,"0, 1150"
157,1634|2300|2944|3062|3988|4256|4364|4907,7|1|1|1|1|5|2|1,"0, 1239;0, 1285;0, 1386;0, 1415;0, 1807;0, 1918;0, 2426|0, 996|0, 118|0, 135|0, 57|3, 3;0, 79;0, 133;0, 176;0, 841|0, 122;0, 350|0, 202"
158,1634|3822,1|1,"0, 1247|0, 943"
159,1634|5147,1|1,"0, 1457|0, 2180"
160,1634|5338,2|1,"0, 1644;0, 1746|0, 12112"
161,1634,1,"0, 1809"
162,1634,1,"0, 2064"
163,1634,1,"0, 2066"
164,1634,1,"0, 2179"
165,1634,1,"0, 2480"
166,1634,1,"0, 2482"
167,1634,1,"1, 2"
168,1635,1,"0, 234"
169,1635,1,"0, 381"
170,1635,1,"0, 383"
171,1635,1,"0, 899"
172,1635|2112,1|2,"0, 1084|0, 898;0, 1074"
173,1636|1734|3138|3577|4972,18|3|1|1|1,"3, 4;0, 82;0, 286;0, 504;0, 665;0, 885;0, 1022;0, 1093;0, 1105;0, 1125;0, 1155;0, 1197;0, 1245;0, 1350;0, 1375;0, 1409;0, 1507;0, 1651|0, 914;0, 931;0, 1055|0, 822|0, 129|0, 41"
174,1636|4195|4973,1|1|7,"0, 86|0, 968|0, 50;0, 1174;0, 1296;0, 1475;0, 1907;0, 2170;0, 2398"
175,1636|3577,8|3,"0, 87;0, 259;0, 477;0, 515;0, 607;0, 841;0, 872;0, 1037|0, 9;0, 52;0, 135"
176,1636,1,"0, 90"
177,1636,1,"0, 123"
178,1636|3577,2|1,"0, 127;0, 517|0, 137"
179,1636|2194|3938|4114|4842|4972|5149|5353,1|1|1|1|1|1|3|1,"0, 198|1, 2|1, 2|0, 1537|1, 2|0, 1019|0, 3435;0, 3466;0, 3478|0, 3053"
180,1636|4318,2|2,"0, 199;0, 205|0, 1480;0, 1497"
181,1636,1,"0, 209"
182,1636,2,"0, 216;0, 794"
183,1636,2,"0, 218;0, 796"
184,1636,2,"0, 219;0, 797"
185,1636|3235,3|1,"0, 254;0, 425;0, 811|0, 1352"
186,1636,1,"0, 266"
187,1636,2,"0, 323;0, 968"
188,1636,1,"0, 363"
189,1636|2158,2|2,"0, 449;0, 874|0, 919;1, 1"
190,1636,1,"0, 521"
191,1636,1,"0, 573"
192,1636,1,"0, 609"
193,1636,2,"0, 714;0, 726"
194,1636|1809,1|1,"0, 1063|0, 338"
195,1636|1734,13|6,"0, 1065;0, 1102;0, 1113;0, 1133;0, 1162;0, 1179;0, 1215;0, 1231;0, 1241;0, 1268;0, 1303;0, 1391;0, 1485|0, 805;0, 824;0, 829;0, 851;0, 887;0, 972"
196,1636|2770,1|1,"0, 1070|0, 295"
197,1636,1,"0, 1135"
198,1636,1,"0, 1156"
199,1636,1,"0, 1183"
200,1636|1763|2042|2200|3191|3941|4829,1|2|1|1|1|1|1,"0, 1191|0, 4;0, 350|0, 1370|0, 950|0, 50|0, 1407|0, 399"
201,1636|2456|4594,1|1|1,"0, 1258|0, 743|0, 441"
202,1636|2080|2339|3355|5313|5555,1|1|2|1|1|1,"0, 1343|0, 1664|0, 975;0, 985|0, 104|0, 1352|0, 788"
203,1636|2653,2|1,"0, 1463;0, 1480|0, 540"
204,1636|4410|4476,1|2|1,"0, 1537|0, 325;0, 408|0, 830"
205,1636,1,"0, 1554"
206,1636,1,"0, 1555"
207,1636|1690|5297,1|2|1,"0, 1594|0, 2177;0, 2234|0, 1464"
208,1636,1,"0, 1601"
209,1637,1,"0, 36"
210,1637,1,"0, 45"
211,1637,2,"0, 59;0, 528"
212,1637,1,"0, 78"
213,1637,1,"0, 83"
214,1637|2891,3|1,"0, 88;0, 173;0, 197|0, 1074"
215,1637|1776|2943|2977|3016|3507|3874,1|1|2|1|1|1|1,"0, 135|0, 573|0, 125;0, 152|0, 1476|0, 6724|0, 1617|0, 331"
216,1637,1,"0, 145"
217,1637,1,"0, 160"
218,1637,1,"0, 193"
219,1637,1,"0, 201"
220,1637,2,"0, 241;0, 355"
221,1637,1,"0, 258"
222,1637,1,"0, 322"
223,1637,1,"0, 324"
224,1637|3212|3874|4283|4341,1|1|1|1|1,"0, 334|0, 429|0, 93|0, 550|0, 1855"
225,1637,1,"0, 361"
226,1637,1,"0, 363"
227,1637,1,"0, 480"
228,1637,1,"0, 569"
229,1637|2557|2688|4467|5002|5338,1|1|1|1|1|3,"1, 1|0, 245|0, 199|1, 1|0, 330|0, 626;0, 756;0, 3787"
230,1637|4467,1|1,"1, 2|1, 2"
231,1638,1,"0, 138"
232,1638,1,"0, 236"
233,1638|2091|4694,1|1|1,"0, 1174|0, 121|0, 871"
234,1638|1740|1786|3395|3540|4867|5313,3|1|1|1|1|2|1,"0, 1346;0, 1357;0, 1374|0, 467|0, 547|0, 788|0, 514|0, 258;0, 319|0, 2095"
235,1638,1,"0, 1761"
236,1638,1,"1, 1"
237,1638|5559,1|1,"1, 2|0, 476"
238,1639|4578,6|1,"0, 129;0, 134;0, 448;0, 578;0, 968;0, 1001|0, 1267"
239,1639,8,"0, 155;0, 163;0, 195;0, 201;0, 238;0, 261;0, 312;0, 697"
240,1639,2,"0, 199;0, 259"
241,1639,2,"0, 214;0, 274"
242,1639,2,"0, 217;0, 277"
243,1639,1,"0, 220"
244,1639,3,"0, 223;0, 254;0, 287"
245,1639,1,"0, 236"
246,1639,1,"0, 251"
247,1639,1,"0, 280"
248,1639,4,"0, 363;0, 364;0, 443;0, 444"
249,1639,3,"0, 371;0, 378;0, 385"
250,1639,1,"0, 400"
251,1639,2,"0, 413;0, 415"
252,1639,1,"0, 413"
253,1639,2,"0, 524;0, 533"
254,1639,1,"0, 524"
255,1639,1,"0, 533"
256,1639,3,"0, 575;0, 965;0, 1104"
257,1639,5,"0, 580;0, 597;0, 861;0, 921;0, 970"
258,1639,2,"0, 585;0, 975"
259,1639,2,"0, 587;0, 977"
260,1639,2,"0, 589;0, 979"
261,1639,3,"0, 592;0, 856;0, 916"
262,1639,4,"0, 604;0, 797;0, 870;0, 930"
263,1639,2,"0, 617;0, 656"
264,1639,3,"0, 619;0, 626;0, 634"
265,1639,4,"0, 624;0, 667;0, 679;0, 999"
266,1639,1,"0, 631"
267,1639,2,"0, 639;0, 1041"
268,1639,2,"0, 658;0, 661"
269,1639,1,"0, 667"
270,1639,1,"0, 674"
271,1639,1,"0, 686"
272,1639,1,"0, 725"
273,1639,3,"0, 738;0, 866;0, 926"
274,1639,5,"0, 741;0, 757;0, 770;0, 799;0, 816"
275,1639,1,"0, 746"
276,1639,3,"0, 754;0, 767;0, 813"
277,1639,4,"0, 762;0, 775;0, 804;0, 821"
278,1639,1,"0, 766"
279,1639,1,"0, 777"
280,1639,2,"0, 781;0, 827"
281,1639|3832,2|1,"0, 865;0, 925|0, 592"
282,1639|1892|3563|4617|4765,1|1|2|4|1,"0, 952|0, 604|0, 2552;0, 3127|0, 832;0, 850;0, 2100;0, 2136|0, 421"
283,1639,1,"0, 981"
284,1639,1,"0, 983"
285,1639,1,"0, 985"
286,1639,1,"0, 1031"
287,1641,1,"0, 20"
288,1641,1,"0, 125"
289,1641,1,"0, 236"
290,1641,1,"0, 237"
