wordID,docID,frequency,hitlist
0,2897,2,"0, 4153;0, 4711"
1,2897,1,"0, 4168"
2,2897|3234,2|2,"0, 4177;0, 4222|0, 1642;0, 1644"
3,2897,1,"0, 4198"
4,2897,1,"0, 4213"
5,2897,2,"0, 4243;0, 4258"
6,2897|5217,1|5,"0, 4273|0, 343;0, 480;0, 497;0, 588;0, 1178"
7,2897,1,"0, 4288"
8,2897|4266,1|1,"0, 4309|0, 3301"
9,2897|4696,2|1,"0, 4333;0, 4489|0, 1093"
10,2897|3283|3420|4266,1|6|1|1,"0, 4384|0, 619;0, 935;0, 1089;0, 1372;0, 1507;0, 1695|0, 314|0, 364"
11,2897,1,"0, 4465"
12,2897,1,"0, 4480"
13,2897,1,"0, 4495"
14,2897,1,"0, 4510"
15,2897,1,"0, 4525"
16,2897,1,"0, 4540"
17,2897,1,"0, 4555"
18,2897,1,"0, 4570"
19,2897,1,"0, 4585"
20,2897,1,"0, 4600"
21,2897,1,"0, 4605"
22,2897|4848,1|2,"0, 4615|0, 911;0, 929"
23,2897,1,"0, 4621"
24,2897,1,"0, 4630"
25,2897,1,"0, 4636"
26,2897,1,"0, 4645"
27,2897,2,"0, 4651;0, 4666"
28,2897,1,"0, 4660"
29,2897,1,"0, 4675"
30,2897,1,"0, 4681"
31,2897,1,"0, 4690"
32,2897,1,"0, 4696"
33,2897,1,"0, 4720"
34,2897,1,"0, 4726"
35,2897,1,"0, 4735"
36,2897,1,"0, 4741"
37,2897,1,"0, 4750"
38,2897,1,"0, 4756"
39,2897,3,"0, 4877;0, 4898;0, 5008"
40,2897,1,"0, 4882"
41,2897,3,"0, 4908;0, 5011;0, 5084"
42,2897,1,"0, 4969"
43,2898|3832|4333|4526,1|5|6|1,"0, 283|0, 55;0, 247;0, 346;0, 683;0, 724|3, 2;0, 308;0, 319;0, 887;0, 911;0, 1143|0, 914"
44,2898,3,"0, 830;0, 910;0, 995"
45,2898,2,"0, 834;0, 919"
46,2898|4413|4794|4982,2|1|1|1,"0, 1016;0, 1124|0, 177|0, 433|0, 59"
47,2898,2,"0, 1311;0, 1391"
48,2898,2,"0, 1313;0, 1393"
49,2898,2,"0, 1444;0, 1589"
50,2898,1,"0, 1825"
51,2898|3757,1|1,"0, 2031|0, 505"
52,2898,1,"0, 2310"
53,2898|3044|3883,1|1|1,"0, 2388|0, 190|0, 191"
54,2898,1,"0, 2651"
55,2898,1,"0, 2717"
56,2901|5181,11|1,"0, 345;0, 1663;0, 1691;0, 1769;0, 1950;0, 2426;0, 2468;0, 2515;0, 2569;0, 2732;0, 2939|0, 2822"
57,2901,1,"0, 385"
58,2901|3563|4162|4675,1|1|2|1,"0, 437|0, 938|0, 599;0, 611|0, 227"
59,2901,1,"0, 529"
60,2901,1,"0, 635"
61,2901,6,"0, 684;0, 697;0, 771;0, 791;0, 860;0, 867"
62,2901,1,"0, 783"
63,2901,2,"0, 1179;0, 1187"
64,2901,2,"0, 1187;0, 2059"
65,2901,8,"0, 1611;0, 1613;0, 2479;0, 2684;0, 2748;0, 2763;0, 2969;0, 3036"
66,2901,3,"0, 1972;0, 2201;0, 2211"
67,2901,3,"0, 2177;0, 2191;0, 2942"
68,2901,2,"0, 2197;0, 2219"
69,2901,2,"0, 2315;0, 2365"
70,2901|4756|5416,1|8|1,"0, 2329|0, 679;0, 711;0, 743;0, 764;0, 785;0, 7803;0, 7817;0, 7833|0, 5130"
71,2901,1,"0, 2582"
72,2901,1,"0, 2603"
73,2901,1,"0, 2624"
74,2901,1,"0, 2645"
75,2902,1,"0, 105"
