wordID,docID,frequency,hitlist
0,1376,1,"1, 2"
1,1377,21,"0, 117;0, 148;0, 219;0, 228;0, 350;0, 355;0, 398;0, 550;0, 587;0, 700;0, 797;0, 819;0, 839;0, 924;0, 987;0, 1045;0, 1126;0, 1149;0, 1184;0, 1243;0, 1268"
2,1377|1559|2096|2687|3012|3159|3409|3805,1|1|1|2|1|1|1|9,"0, 230|0, 128|0, 1481|0, 563;0, 1536|0, 1165|0, 706|0, 721|0, 1787;0, 1926;0, 1937;0, 2112;0, 2172;0, 2183;0, 2194;0, 2205;0, 2245"
3,1377|3377|3805,1|1|1,"0, 447|0, 132|0, 1480"
4,1377,1,"0, 468"
5,1377,1,"0, 517"
6,1377,4,"0, 521;0, 889;0, 901;0, 950"
7,1377|1896,1|4,"0, 1040|0, 2219;0, 2245;0, 2288;0, 2345"
8,1377|5594,2|1,"0, 1107;0, 1159|0, 11"
9,1377,1,"0, 1120"
10,1377,1,"0, 1122"
11,1377|2873|4947|4971,2|1|5|1,"0, 1147;0, 1190|0, 755|3, 1;0, 1;0, 301;0, 880;0, 939|0, 380"
12,1378|3019|4483,1|1|1,"1, 1|1, 1|1, 1"
13,1378|3019|4483,1|1|1,"1, 2|1, 2|1, 2"
14,1379|2994|3368|4279,1|1|1|1,"0, 466|0, 191|0, 789|0, 632"
15,1380|1609|1627|1907|5426,4|2|4|1|1,"3, 2;0, 31;0, 50;0, 217|0, 1989;0, 1995|0, 189;0, 226;0, 258;0, 272|0, 713|0, 186"
16,1380|1761|1812|1948|2014|2322|2441|3555|3601|4012|4217|4448|4756|4778|5074,1|6|3|1|3|2|2|1|6|2|1|2|4|1|1,"0, 111|0, 982;0, 999;0, 1031;0, 1202;0, 1210;0, 1230|0, 243;0, 258;0, 293|0, 1633|0, 1274;0, 1281;0, 1292|0, 715;0, 774|0, 1078;0, 1279|0, 136|0, 3064;0, 3100;0, 4188;0, 4456;0, 6986;0, 6997|0, 878;0, 907|0, 426|0, 1166;0, 1190|0, 3901;0, 4793;0, 4839;0, 4922|0, 235|0, 289"
17,1380|2319|3436|3626|3636|4051|4956|5349|5426|5485,5|27|13|2|1|6|3|4|36|3,"0, 143;0, 195;0, 204;0, 297;0, 323|0, 176;0, 181;0, 241;0, 263;0, 269;0, 317;0, 1430;0, 1440;0, 1453;0, 1461;0, 1482;0, 1588;0, 1658;0, 1688;0, 1695;0, 1756;0, 1796;0, 1857;0, 1877;0, 1942;0, 1961;0, 2002;0, 2056;0, 2061;0, 2071;0, 2155;0, 2401|3, 6;0, 6;0, 120;0, 202;0, 218;0, 242;0, 326;0, 357;0, 393;0, 461;0, 514;0, 603;0, 753|0, 1569;0, 1622|0, 187|0, 751;0, 771;0, 775;0, 826;0, 903;0, 1158|0, 483;0, 953;0, 1041|0, 38;0, 80;0, 176;0, 232|0, 650;0, 673;0, 709;0, 713;0, 844;0, 864;0, 1077;0, 1774;0, 1781;0, 1830;0, 1872;0, 2081;0, 2090;0, 2092;0, 2182;0, 2305;0, 2427;0, 2452;0, 2488;0, 2549;0, 2604;0, 2754;0, 2789;0, 2808;0, 2824;0, 2894;0, 2912;0, 2931;0, 2952;0, 2970;0, 3733;0, 3738;0, 3747;0, 3886;0, 3911;0, 3913|0, 262;0, 282;0, 350"
18,1380|2605|3243|3417|3648,1|1|1|1|1,"0, 324|0, 3417|0, 22|0, 2055|0, 618"
19,1381|2181|3858|4508|4947|5124,1|1|1|1|1|1,"0, 383|0, 70|0, 448|0, 2333|0, 267|0, 290"
20,1381|1652|1734|4203,8|12|1|6,"0, 555;0, 581;0, 754;0, 776;0, 848;0, 914;0, 958;2, 13|3, 6;0, 49;0, 105;0, 155;0, 174;0, 721;0, 756;0, 773;0, 925;0, 1047;0, 1078;0, 1085|0, 3826|0, 1877;0, 2111;0, 2707;0, 3257;0, 3330;0, 3377"
21,1381,1,"0, 564"
22,1381|2157|2334|3894,1|1|1|1,"0, 743|0, 1947|0, 190|0, 542"
23,1381|1821|3447|3492,1|1|1|1,"0, 801|0, 499|0, 618|0, 3527"
24,1381|1539|1806|1905|2699|2908|3362|3581|3772|3991|4522|4618|5140|5353|5513,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,"0, 906|0, 92|0, 58|0, 3186|0, 1519|0, 137|0, 179|0, 963|0, 19|0, 313|0, 4177|0, 6519|0, 1250|0, 2445|0, 343"
25,1381,1,"1, 2"
26,1381,1,"1, 3"
27,1382,1,"0, 10"
28,1382,2,"0, 224;0, 869"
29,1382|3541|5357,1|1|1,"0, 325|0, 129|0, 3"
30,1382|1634|2285|2365|3495|3604|4138,1|1|1|2|1|1|2,"0, 539|0, 2055|0, 1679|0, 360;0, 423|0, 259|0, 354|0, 1101;0, 2292"
31,1382|1539|1599|1948|2054|2323|2902|3055|3213|3586|4673,1|1|1|1|1|7|1|2|1|1|1,"0, 726|0, 1609|0, 4320|0, 303|0, 628|0, 323;0, 884;0, 893;0, 911;0, 916;0, 1097;0, 1304|0, 742|0, 2834;0, 3534|0, 105|0, 1594|0, 508"
32,1382,1,"0, 959"
33,1382|4409,2|3,"0, 1185;0, 1195|0, 822;0, 852;0, 917"
34,1382,1,"0, 1343"
35,1383,2,"0, 267;0, 292"
36,1383|2742|4992|5430,1|1|1|1,"0, 434|0, 73|0, 655|0, 47"
37,1383|2597|2735|3707|3926|4031|4278|5172|5388|5527,1|1|1|1|1|1|1|1|1|1,"0, 475|0, 317|0, 1721|0, 209|0, 846|0, 80|0, 78|0, 449|0, 2665|0, 446"
38,1383|2559|3735,1|1|1,"0, 749|0, 2170|0, 958"
39,1383,1,"0, 889"
40,1383,1,"0, 910"
41,1383,1,"0, 1366"
42,1383,4,"0, 1380;0, 1397;0, 1427;0, 1461"
43,1383,1,"0, 1400"
44,1383,1,"0, 1430"
45,1383,1,"0, 1435"
46,1383,2,"0, 1526;0, 1606"
47,1383,1,"0, 1529"
48,1383,1,"0, 1535"
49,1383,1,"0, 1554"
50,1383,2,"0, 1568;0, 1609"
51,1383|5453,1|1,"0, 1574|0, 1829"
52,1383,1,"0, 1577"
53,1383,1,"0, 1597"
54,1384|2852|3454,5|11|4,"3, 2;3, 10;0, 101;0, 190;2, 1|3, 4;0, 69;0, 76;0, 130;0, 131;0, 135;0, 136;0, 266;0, 537;0, 973;2, 4|0, 2652;0, 3191;0, 3245;0, 3421"
55,1384|1523|3154|3659,3|1|1|1,"0, 0;0, 10;0, 188|0, 104|0, 34|0, 147"
