wordID,docID,frequency,hitlist
0,32|46|49|56|92|159|226|304|349|385|663|817|844|1200|1269|1288|1311|1357|1459|1557|1613|1642|1723|1777|1851|1864|1911|2002|2083|2303|2390|2438|2795|2836|2891|2906|2950|3452|3496|3498|3558|3735|3840|4475|4619|4877|4913|5027|5091|5218|5338,1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|2|4|1|1|1|1|1|1|2|2|1|1|2|1|2|1|1|1|1|2|1|1|1|3|1|1|1|2|1|1|2|1|1,"0, 179|0, 543|0, 392|0, 1076|0, 27|0, 712|0, 1125|0, 744|0, 90|0, 621|0, 1492|0, 1489|0, 203|0, 559|0, 105;0, 443|0, 140|0, 128|0, 566|0, 470;0, 635|0, 1047;0, 1154;0, 1295;0, 1358|0, 1550|0, 495|0, 563|0, 594|0, 624|0, 247|0, 264;0, 270|0, 984;0, 1204|0, 140|0, 1380|0, 583;0, 616|0, 975|0, 1555;0, 2439|0, 44|0, 931|0, 606|0, 1782|0, 477;0, 514|0, 574|0, 1378|0, 904|0, 371;0, 476;0, 1197|0, 207|0, 968|0, 1070|0, 2668;0, 6938|0, 646|0, 2005|0, 550;0, 566|0, 616|0, 11716"
1,32|119|159|244|357|471|536|582|762|773|907|1014|1092|1147|1223|1245|1246|1248|1271|1332|1389|1396|1436|1494|1502|1513|1624|1634|1673|1704|1937|2102|2129|2130|2139|2169|2240|2265|2294|2353|2399|2421|2443|2525|2534|2577|2630|2762|2765|2860|2936|2998|3125|3127|3157|3158|3240|3305|3402|3441|3443|3499|3636|3666|3730|3804|3896|3911|4009|4020|4099|4110|4117|4119|4137|4142|4154|4193|4354|4396|4516|4519|4566|4572|4682|4776|4780|4781|4806|4820|4839|5020|5051|5111|5113|5268|5405|5443|5537|5571,1|1|2|1|2|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|1|1|1|1|1|16|1|1|3|1|1|1|1|1|1|3|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|2|1|1|1|1|1|2|8|1|2|2,"0, 200|0, 906|0, 254;0, 1893|0, 1812|0, 264;0, 1038|0, 339|0, 842;0, 1809;0, 1813|0, 1350|0, 149|0, 1127|0, 447|0, 495|0, 278|0, 3180|0, 1542|0, 221|0, 1436|0, 253|0, 243|0, 423|0, 841|0, 1593|0, 597|0, 1236|0, 691|0, 232|0, 354;0, 525;0, 539|0, 2461|0, 1159|0, 151|0, 322|0, 1372|0, 853|0, 213|0, 963|0, 1336|0, 851|0, 256|0, 2071|0, 452|0, 1056|0, 2840|0, 2260|0, 209|0, 714;0, 936|0, 6436;0, 6510|0, 220|0, 1320|0, 812|0, 1028|0, 1720|3, 10;0, 10;0, 25;0, 42;0, 97;0, 100;0, 667;0, 679;0, 708;0, 941;0, 957;0, 1011;0, 1052;0, 1071;0, 1190;0, 1338|0, 760|0, 39|0, 752;0, 1041;0, 1087|0, 598|0, 709|0, 3595|0, 416|0, 170|0, 1248|0, 833;0, 850;0, 862|0, 457|0, 231|0, 997|0, 391|0, 82|0, 1096|0, 826|0, 1949;0, 1986;0, 3075|0, 1578|0, 1423|0, 367|0, 388|0, 542|0, 1319|0, 888|0, 1122|0, 1019|0, 193|0, 275|0, 695|0, 124|0, 104|0, 260;0, 349;0, 585|0, 553|0, 401|0, 486|0, 1700|0, 1570;0, 1750|0, 275|0, 126|0, 164|0, 2087|0, 592|0, 17;0, 137|0, 1456;0, 1803;0, 1885;0, 1953;0, 2080;0, 2372;0, 2745;0, 2905|0, 483|3, 0;0, 1|0, 523;0, 814"
2,32|1157|1966|2356|2623|3645|3730|4482,1|1|3|2|1|1|1|1,"0, 262|0, 1224|0, 703;0, 960;0, 1482|3, 1;0, 1|0, 1550|0, 543|0, 705|0, 1807"
3,32|34|62|80|85|105|126|144|147|160|234|258|260|269|283|304|312|335|369|371|384|393|414|420|421|425|445|467|498|501|502|505|507|515|524|539|544|549|552|556|562|564|572|581|608|617|628|635|644|654|667|720|742|747|754|766|767|786|802|824|848|851|852|876|886|889|891|892|894|901|904|918|943|950|980|994|1001|1011|1035|1042|1043|1050|1053|1055|1056|1092|1098|1110|1114|1120|1128|1141|1142|1143|1158|1159|1160|1186|1194|1197|1203|1204|1215|1217|1262|1266|1268|1271|1278|1298|1300|1301|1316|1318|1319|1328|1338|1345|1352|1368|1385|1389|1395|1412|1414|1420|1425|1431|1436|1437|1449|1455|1466|1468|1479|1487|1493|1500|1537|1561|1571|1585|1593|1595|1599|1613|1619|1629|1649|1651|1654|1655|1659|1669|1671|1682|1688|1695|1700|1702|1712|1722|1725|1733|1749|1753|1756|1761|1763|1768|1771|1780|1793|1801|1807|1815|1851|1889|1892|1896|1939|1948|1972|1976|1985|1986|2014|2030|2031|2034|2046|2061|2065|2068|2080|2081|2092|2098|2100|2110|2113|2143|2144|2185|2195|2199|2200|2221|2241|2245|2247|2282|2292|2304|2309|2310|2312|2315|2318|2334|2365|2390|2409|2411|2414|2415|2421|2427|2429|2431|2453|2459|2471|2492|2493|2502|2509|2511|2516|2526|2545|2559|2560|2563|2567|2587|2600|2603|2621|2681|2682|2699|2707|2708|2762|2772|2777|2789|2828|2830|2855|2856|2863|2864|2866|2874|2888|2890|2911|2913|2918|2920|2925|2935|2936|2941|2949|2954|2958|2965|2977|2981|2984|2990|2995|3008|3012|3016|3030|3044|3054|3056|3061|3079|3081|3083|3090|3098|3119|3123|3133|3135|3140|3145|3157|3197|3203|3210|3212|3218|3221|3231|3238|3244|3250|3257|3292|3347|3370|3379|3380|3390|3395|3399|3417|3426|3451|3453|3455|3458|3464|3471|3477|3479|3480|3487|3492|3513|3524|3525|3535|3563|3573|3586|3597|3601|3603|3608|3609|3612|3622|3630|3635|3642|3646|3657|3665|3671|3674|3676|3694|3700|3702|3705|3710|3714|3729|3759|3760|3775|3786|3796|3800|3811|3812|3828|3830|3836|3842|3843|3854|3864|3866|3869|3879|3887|3892|3899|3903|3907|3922|3943|3957|3962|3964|3980|3988|4009|4012|4014|4020|4022|4037|4042|4044|4057|4066|4067|4069|4071|4074|4075|4076|4077|4081|4084|4090|4103|4108|4110|4114|4115|4120|4138|4148|4151|4166|4201|4213|4214|4225|4231|4238|4239|4250|4255|4257|4265|4276|4280|4285|4293|4295|4311|4335|4344|4345|4347|4354|4365|4376|4385|4392|4393|4409|4414|4446|4447|4449|4451|4457|4464|4468|4472|4479|4482|4499|4503|4506|4513|4518|4522|4529|4537|4539|4544|4562|4591|4594|4603|4604|4608|4610|4612|4618|4629|4638|4668|4669|4670|4696|4711|4713|4715|4732|4743|4745|4756|4776|4783|4787|4806|4821|4822|4829|4837|4845|4865|4877|4886|4925|4929|4943|4956|4964|4967|4968|4974|4979|4992|4995|5003|5022|5040|5059|5074|5093|5118|5121|5125|5137|5146|5147|5151|5165|5168|5177|5188|5199|5202|5203|5210|5255|5270|5300|5303|5312|5316|5322|5325|5335|5338|5352|5382|5387|5388|5393|5396|5405|5415|5426|5435|5450|5453|5482|5485|5487|5506|5513|5534|5535|5544|5548|5554|5561|5580|5585|5607,1|1|1|1|4|2|1|1|1|1|1|1|1|1|1|2|1|1|1|3|1|1|1|18|1|1|1|1|1|1|2|2|1|1|6|1|1|1|1|5|1|3|2|5|3|2|1|1|1|2|1|1|14|1|1|2|1|1|5|1|2|2|1|1|3|1|2|2|2|1|3|1|1|5|1|1|1|3|1|4|3|2|1|1|1|1|1|2|2|1|5|2|5|2|1|1|5|1|1|1|1|1|2|1|1|1|2|1|1|3|1|2|1|1|2|1|2|4|1|1|1|4|1|2|1|1|3|2|3|2|2|1|1|1|3|4|1|1|1|1|2|2|5|1|6|1|3|1|1|1|7|1|1|1|1|1|1|2|2|1|1|1|1|3|1|1|4|8|1|3|1|1|1|1|8|1|2|1|1|1|2|1|1|1|1|1|2|1|1|1|5|3|1|1|1|2|1|2|4|1|1|2|1|6|1|1|1|1|2|1|4|2|2|1|1|2|1|1|1|1|2|1|1|4|1|2|10|1|1|1|1|2|1|1|1|3|18|2|1|1|1|3|1|1|1|2|1|1|1|1|1|1|2|1|1|3|1|1|1|1|1|1|7|1|1|19|1|2|2|2|1|1|1|1|3|2|1|1|5|1|1|3|1|2|1|1|4|7|1|1|1|6|1|2|1|1|1|1|1|2|1|1|1|1|2|2|1|2|3|1|1|17|1|1|2|1|1|21|1|3|1|1|1|1|4|3|1|1|1|2|1|1|1|1|5|1|2|1|1|4|3|2|1|1|2|1|1|1|1|3|1|1|2|1|1|4|1|1|1|2|1|1|1|1|1|2|1|1|1|1|5|1|1|1|1|2|1|3|2|1|1|1|2|1|1|2|2|2|3|1|1|3|1|2|1|4|2|4|3|1|7|4|2|4|5|2|1|2|1|1|1|1|7|1|6|1|1|5|2|1|1|4|1|1|1|7|1|1|1|1|1|1|1|1|3|1|1|3|1|5|1|1|2|1|1|3|1|1|6|1|2|1|1|1|4|3|1|2|2|1|2|1|1|1|4|1|2|2|1|3|1|1|3|1|3|1|5|3|1|2|2|1|2|1|3|1|1|1|2|1|1|1|1|3|1|1|1|2|1|2|6|3|1|4|1|2|1|1|1|4|2|1|2|3|1|1|5|1|1|1|2|1|3|1|1|1|2|1|1|1|2|1|1|5|1|1|4|1|2|1|1|1|2|4|1|1|1|4|1|1|2|1|1|1|1|1|2|3|2|1|6|2|2|1|1|1|1|4|1|1|1|5|2|1|1|1|5|1,"0, 317|0, 1593|0, 664|0, 84|0, 91;0, 174;0, 200;0, 233|0, 1439;0, 1476|0, 202|0, 1108|0, 482|0, 65|0, 439|0, 324|0, 865|0, 703|0, 829|0, 400;0, 471|0, 311|0, 389|0, 430|0, 1222;0, 2193;0, 2203|0, 140|0, 1231|0, 264|0, 184;0, 191;0, 200;0, 208;0, 217;0, 258;0, 294;0, 317;0, 720;0, 778;0, 786;0, 927;0, 935;0, 1192;0, 1200;0, 1371;0, 1379;0, 1539|0, 800|0, 1409|0, 71|0, 1453|0, 370|0, 712|0, 482;0, 1307|0, 288;0, 509|0, 204|0, 382|0, 930;0, 1140;0, 1320;0, 1459;0, 1475;0, 1573|0, 907|0, 516|0, 1043|0, 441|0, 233;0, 246;0, 906;0, 1225;0, 1268|0, 1783|0, 1739;0, 1764;0, 1787|0, 224;0, 282|0, 1938;0, 1946;0, 1954;0, 1986;0, 2031|0, 399;0, 2145;0, 2164|0, 1749;0, 1781|0, 105|0, 1962|0, 411|0, 872;0, 910|0, 1102|0, 251|0, 82;0, 97;0, 118;0, 151;0, 395;0, 403;0, 419;0, 470;0, 501;0, 529;0, 548;0, 677;0, 685;0, 852|0, 294|0, 1276|0, 1095;0, 1439|0, 275|0, 422|0, 221;0, 260;0, 286;0, 307;0, 538|0, 172|0, 1164;0, 1846|0, 305;0, 947|0, 1023|0, 739|0, 1120;0, 1156;0, 3331|0, 1231|0, 896;0, 1069|0, 588;0, 2790|0, 634;0, 1076|0, 539|0, 203;0, 213;0, 492|0, 312|0, 545|0, 108;0, 142;0, 163;0, 877;0, 994|0, 9|0, 4161|0, 795|0, 1332;0, 1341;0, 2228|0, 440|0, 818;0, 919;0, 927;0, 1399|0, 638;0, 874;0, 1163|0, 539;0, 1180|0, 238|0, 313|0, 157|0, 97|0, 367|0, 756;0, 1198|0, 1544;0, 4816|0, 117|0, 2584;0, 2593;0, 2625;0, 2635;0, 2659|0, 110;0, 626|0, 410;0, 437;0, 480;0, 492;0, 507|0, 578;0, 726|0, 1344|0, 1419|0, 453;0, 651;0, 709;0, 768;0, 955|0, 783|0, 1589|0, 197|0, 635|0, 423|0, 126;0, 360|0, 35|0, 541|0, 1578|0, 425;0, 466|0, 267|0, 735|0, 693;0, 1486;0, 1611|0, 2498|0, 7;0, 146|0, 1542|0, 482|0, 593;0, 623|0, 349|0, 641;0, 647|0, 319;0, 329;0, 459;0, 500|0, 2043|0, 1528|0, 736|0, 671;0, 691;0, 785;0, 876|0, 1152|0, 171;0, 336|0, 1338|0, 740|0, 227;0, 377;0, 773|0, 725;0, 1139|0, 276;0, 299;0, 1419|0, 779;0, 853|0, 228;0, 1900|0, 714|0, 746|0, 1735|0, 632;0, 640;0, 664|0, 1345;0, 1379;0, 1454;0, 1486|0, 248|0, 505|0, 610|0, 252|0, 58;0, 69|0, 432;0, 999|0, 96;0, 574;0, 1473;0, 1915;0, 2395|0, 588|0, 2063;0, 2122;0, 2207;0, 2342;0, 2382;0, 2575|0, 964|0, 614;0, 630;0, 645|0, 1114|0, 490|0, 422|0, 304;0, 788;0, 1776;0, 1801;0, 2295;0, 2352;0, 3592|0, 658|0, 27|0, 924|0, 750|0, 31|0, 860|0, 26;0, 105|0, 537;0, 757|0, 281|0, 568|0, 325|0, 596|0, 221;0, 702;0, 867|0, 131|0, 416|0, 707;0, 731;0, 765;0, 1143|0, 964;0, 968;0, 1231;0, 1237;0, 1973;0, 2418;0, 2499;0, 2977|0, 549|0, 703;0, 1698;0, 1708|0, 201|0, 115|0, 240|0, 490|0, 587;0, 763;0, 799;0, 843;0, 911;0, 966;0, 1080;0, 1567|0, 767|0, 335;0, 344|0, 1118|0, 540|0, 1336|0, 776;0, 815|0, 1105|0, 948|0, 2179|0, 245|0, 1040|0, 1163;0, 1216|0, 755|0, 252|0, 1249|0, 127;0, 140;0, 574;0, 718;0, 764|0, 211;0, 269;0, 970|0, 117|0, 219|0, 845|0, 885;0, 970|0, 13|0, 618;0, 700|0, 24;0, 185;0, 202;0, 298|0, 1139|0, 716|0, 425;0, 434|0, 284|0, 32;0, 152;0, 204;0, 502;0, 538;0, 653|0, 177|0, 1093|0, 943|0, 48|0, 550;0, 578|0, 259|0, 20;0, 562;0, 574;0, 638|0, 904;0, 947|0, 177;0, 837|0, 925|0, 526|0, 916;0, 3003|0, 1312|0, 373|0, 642|0, 669|0, 394;0, 1159|0, 348|0, 855|0, 626;0, 699;0, 741;0, 771|0, 1176|0, 2879;0, 3093|0, 406;0, 639;0, 1707;0, 1746;0, 1889;0, 2065;0, 2701;0, 2727;0, 2754;0, 4112|0, 574|0, 167|0, 1889|0, 507|0, 1231;0, 1770|0, 175|0, 4640|0, 644|0, 85;0, 118;0, 180|0, 571;0, 580;0, 596;0, 1396;0, 1888;0, 1929;0, 2257;0, 2265;0, 2315;0, 2338;0, 2570;0, 2579;0, 2651;0, 2684;0, 2700;0, 2717;0, 2988;0, 3001|0, 1987;0, 2318|0, 735|0, 981|0, 836|0, 1166;0, 1297;0, 1398|0, 1084|0, 489|0, 446|0, 108;0, 489|0, 482|0, 53|0, 131|0, 349|0, 5|0, 170|0, 2948;0, 3256|0, 748|0, 366|0, 637;0, 671;0, 1039|0, 386|0, 372|0, 1025|0, 729|0, 131|0, 789|0, 221;0, 298;0, 584;0, 660;0, 678;0, 1150;0, 1354|0, 1616|0, 127|0, 437;0, 474;0, 542;0, 594;0, 636;0, 1003;0, 1011;0, 1083;0, 1118;0, 1153;0, 1167;0, 1656;0, 1687;0, 1718;0, 1920;0, 1967;0, 2294;0, 2355;0, 2483|0, 146|0, 661;0, 1015|0, 1270;0, 1559|0, 688;0, 696|0, 266|0, 520|0, 868|0, 751|0, 668;0, 864;0, 1326|0, 101;0, 387|0, 621|0, 542|0, 531;0, 563;0, 1222;0, 1236;0, 1253|0, 1562|0, 1590|0, 181;0, 212;0, 273|0, 259|0, 165;0, 553|0, 522|0, 638|0, 821;0, 1359;0, 1369;0, 2244|0, 585;0, 1709;0, 1778;0, 3599;0, 5372;0, 5454;0, 6339|0, 398|0, 150|0, 286|0, 1397;0, 1449;0, 1675;0, 1761;0, 2214;0, 2235|0, 2264|0, 46;0, 199|0, 370|0, 922|0, 191|0, 1163|0, 422|0, 322;0, 588|0, 303|0, 1077|3, 4|0, 726|0, 1826;0, 2201|0, 109;0, 119|0, 4012|0, 1014;0, 2001|0, 252;0, 257;0, 306|0, 769|0, 885|0, 700;0, 1209;0, 1296;0, 1304;0, 1313;0, 1329;0, 1337;0, 1604;0, 1612;0, 1620;0, 1628;0, 1751;0, 1760;0, 2481;0, 2557;0, 2623;0, 2666|0, 757|0, 2116|0, 135;0, 805|0, 467|0, 50|0, 72;0, 139;0, 221;0, 303;0, 446;0, 500;0, 656;0, 706;0, 747;0, 812;0, 941;0, 1189;0, 1207;0, 1216;0, 1290;0, 1356;0, 1433;0, 1458;0, 1763;0, 1780;0, 2031|0, 177|0, 338;0, 344;0, 376|0, 286|0, 863|0, 658|0, 210|0, 397;0, 983;0, 2237;0, 2287|0, 279;0, 350;0, 983|0, 157|0, 262|0, 787|0, 247;0, 264|0, 465|0, 468|0, 242|0, 593|0, 258;0, 293;0, 326;0, 432;0, 836|0, 72|0, 549;0, 3588|0, 313|0, 1535|0, 8;0, 623;0, 631;0, 644|0, 1193;0, 1201;0, 1305|0, 1288;0, 1299|0, 1025|0, 324|0, 55;0, 225|0, 524|0, 154|0, 59|0, 367|0, 92;0, 303;0, 323|0, 65|0, 701|0, 594;0, 1467|0, 938|0, 303|0, 44;0, 101;0, 361;0, 676|0, 1253|0, 415|0, 1359|0, 27;0, 282|0, 351|0, 62|0, 594|0, 1352|0, 348|0, 160;0, 723|0, 339|0, 122|0, 535|0, 158|0, 9;0, 856;0, 898;0, 919;0, 991|0, 788|0, 143|0, 132|0, 246|0, 586;0, 592|0, 692|0, 69;0, 80;0, 2318|0, 449;0, 508|0, 102|0, 204|0, 1062|0, 425;0, 449|0, 412|0, 1246|0, 275;0, 2223|0, 796;0, 982|0, 119;0, 146|0, 882;0, 1273;0, 1401|0, 65|0, 580|0, 1088;0, 1425;0, 1457|0, 904|0, 467;0, 501|0, 584|0, 149;0, 801;0, 1093;0, 1376|0, 743;0, 769|0, 2042;0, 3455;0, 3749;0, 3793|0, 916;0, 940;0, 1002|0, 1362|0, 231;0, 837;0, 2047;0, 2131;0, 2973;0, 6806;0, 7752|0, 1492;0, 1508;0, 1523;0, 2014|0, 530;0, 1989|0, 446;0, 470;0, 607;0, 670|0, 99;0, 156;0, 198;0, 267;0, 303|0, 754;0, 1430|0, 711|0, 25;0, 95|0, 382|0, 485|0, 1283|0, 497|0, 246;0, 385;0, 566;0, 900;0, 1147;0, 1157;0, 1252|0, 790|0, 143;0, 294;0, 314;0, 373;0, 383;0, 1151|0, 835|0, 445|0, 190;0, 372;0, 593;0, 600;0, 735|0, 36;0, 2085|0, 1170|0, 131|0, 515;0, 1107;0, 1245;0, 1307|0, 167|0, 570|0, 463|0, 327;0, 354;0, 391;0, 980;0, 1143;0, 1350;0, 1799|0, 2191|0, 829|0, 584|0, 1091|0, 716|0, 252|0, 1091|0, 284|0, 80;0, 159;0, 186|0, 201|0, 541|0, 408;0, 455;0, 514|0, 610|0, 2814;0, 4201;0, 4655;0, 4738;0, 7015|0, 1541|0, 1|0, 967;0, 997|0, 884|0, 480|0, 1703;0, 1725;0, 1770|0, 1345|0, 20|0, 1671;0, 1747;0, 2119;0, 2865;0, 2876;0, 2893|0, 132|0, 949;0, 960|0, 1367|0, 1194|0, 221|0, 1099;0, 1320;0, 1327;0, 1440|0, 1234;0, 2074;0, 2125|0, 3470|0, 299;0, 332|0, 504;0, 522|0, 344|0, 653;0, 1063|0, 425|0, 1210|0, 700|0, 1815;0, 1911;0, 2701;0, 2869|0, 2021|0, 503;0, 518|0, 304;0, 1632|0, 871|0, 1136;0, 1151;0, 1173|0, 118|0, 873|0, 413;0, 452;0, 457|0, 426|0, 947;0, 986;0, 1081|0, 2428|0, 108;0, 1212;0, 1218;0, 1650;0, 1663|0, 1002;0, 1073;0, 2207|0, 450|0, 117;0, 492|0, 135;0, 1189|0, 205|0, 327;0, 364|0, 335|0, 3027;0, 3649;0, 4008|0, 1108|0, 943|0, 2067|0, 174;0, 231|0, 77|0, 2315|0, 537|0, 216|0, 907;0, 1004;0, 1028|0, 539|0, 751|0, 221|0, 2472;0, 4447|0, 42|0, 293;0, 341|0, 30;0, 158;0, 180;0, 190;0, 680;0, 811|0, 902;0, 1224;0, 1338|0, 123|0, 37;0, 154;0, 293;0, 609|0, 523|0, 275;0, 287|0, 1330|0, 21|0, 9466|0, 530;0, 726;0, 925;0, 1283|0, 358;0, 366|0, 240|0, 496;0, 1288|0, 696;0, 848;0, 998|0, 1127|0, 16|0, 1049;0, 1153;0, 1528;0, 1710;0, 1768|0, 858|0, 1505|0, 285|0, 967;0, 1017|0, 427|0, 746;0, 765;0, 1252|0, 1262|0, 1582|0, 448|0, 632;0, 643|0, 4844|0, 2391|0, 193|0, 66;0, 200|0, 96|0, 416|0, 32;0, 48;0, 182;0, 236;0, 393|0, 1060|0, 1231|0, 579;0, 1561;0, 1642;0, 1667|0, 50|0, 61;0, 79|0, 139|0, 1293|0, 1082|3, 2;0, 277|0, 943;0, 1056;0, 1133;0, 1316|0, 162|0, 911|0, 390|0, 128;0, 239;0, 263;0, 777|0, 504|0, 146|0, 536;0, 1080|0, 13691|0, 1442|0, 45|0, 448|0, 84|0, 12;0, 357|0, 671;0, 679;0, 685|0, 970;0, 1317|0, 2153|0, 1790;0, 1994;0, 2267;0, 2657;0, 3871;0, 3970|0, 351;0, 356|0, 9891;0, 9899|0, 1116|0, 485|0, 248|0, 468|0, 421;0, 450;0, 1327;0, 1387|0, 645|0, 1290|0, 1263|0, 770;0, 832;0, 1137;0, 1156;0, 2567|0, 958;0, 2377|0, 682|0, 2637|0, 210|0, 395;0, 701;0, 785;0, 1489;0, 1688|0, 182"
4,32|38|118|282|325|353|374|414|899|925|1183|1356|1876|2072|2349|2480|2731|2864|2966|3013|3071|3278|3549|4229|4598|5338|5404,1|2|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|1,"1, 1|0, 75;1, 1|1, 1|0, 3668;1, 1|1, 1|1, 1|1, 1|1, 1|0, 391|0, 499|0, 2077|1, 1|1, 1|1, 1|1, 1|1, 1|1, 1|1, 1|1, 1|0, 64|1, 1|1, 1|0, 960|0, 324|0, 1001|0, 1221;0, 1469;0, 5067;0, 5150|1, 1"
5,32|38|118|282|325|353|374|414|1356|1876|2072|2349|2480|2731|2864|2966|3278|3549|5404,1|2|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,"1, 2|0, 76;1, 2|1, 2|0, 3669;1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|1, 2|0, 961|1, 2"
6,33|103|273|320|367|586|608|615|815|1061|1080|1161|1222|1690|1911|2109|2433|2472|2950|3090|3136|3409|3468|3493|3557|3577|3689|3690|3819|3823|3839|4300|4496|4604|4672|4769|4794|4972|5059|5092|5421,1|1|1|1|2|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1,"0, 32|0, 771|0, 834|0, 886|0, 1201;0, 1743|0, 331|0, 2131|0, 129;0, 917|0, 1136|0, 260|0, 645|0, 955|1, 1|0, 1873|1, 1|1, 1|0, 761|1, 1|0, 1654|0, 800|0, 45|0, 711|0, 1217|1, 1|0, 121|0, 1971|0, 1180;0, 1183|0, 482|0, 967|0, 1662|0, 1203|0, 1195|0, 813|1, 1|1, 1|0, 10|0, 432|0, 514|0, 502|0, 174|0, 1578"
7,33|367|815|2950|3491|3690|3823|4300,2|2|1|3|1|1|1|1,"0, 33;0, 184|0, 1202;0, 1744|0, 1137|0, 1655;0, 1707;0, 1774|0, 451|0, 483|0, 1663|0, 1196"
8,33|2369|3215|3897|4078,1|1|3|4|1,"0, 40|0, 275|0, 43;0, 1091;0, 1104|0, 106;0, 704;0, 716;0, 1157|0, 600"
9,33|39|101|123|124|136|201|266|269|336|367|381|417|430|463|486|550|671|693|907|938|969|981|986|998|1015|1073|1094|1223|1269|1337|1415|1477|1514|1612|1630|1645|1648|1667|1682|1724|1730|1766|1783|1819|1889|1910|1960|1984|2013|2024|2048|2051|2054|2140|2156|2168|2174|2187|2224|2280|2294|2377|2396|2417|2522|2524|2564|2568|2634|2655|2676|2680|2701|2760|2794|2820|2826|2896|2931|2940|2944|2950|2980|3009|3080|3090|3146|3209|3215|3230|3240|3255|3259|3319|3349|3364|3378|3381|3456|3494|3533|3558|3633|3649|3678|3683|3707|3757|3804|3906|4007|4048|4135|4183|4192|4198|4206|4221|4252|4300|4332|4429|4446|4476|4510|4597|4621|4679|4717|4845|4917|5005|5030|5032|5042|5052|5105|5202|5384|5421|5458|5471|5498|5523|5550|5579,2|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|1|1|2|1|1|1|2|1|8|1|1|1|1|1|1|1|1|4|1|1|2|1|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|7|1|4|1|1|1|1|1|1|1|1|1|1|1|2|4|2|1|1|1|1|1|2|2|1|1|2|1|1|1|1|1|1|1|2|1|1|3|1|1|1|1|1|1|1|11|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|2,"0, 60;0, 195|0, 2219|0, 1303|0, 354|0, 705|0, 712;0, 959|0, 79|0, 396|0, 2606|0, 333|0, 1597|0, 577|0, 824|0, 1421|0, 99|0, 424|0, 290|0, 965|0, 166|0, 477|0, 907|0, 328|0, 513;0, 651|0, 1302|0, 1117|0, 1604|0, 194|0, 1270|0, 1042|0, 551|0, 43|0, 2373|0, 1413|0, 589|0, 228|0, 1081|0, 371|0, 273|0, 1229;0, 1342|0, 707;0, 796|0, 959|0, 636|0, 289;0, 416|0, 342|0, 694|0, 1308|0, 621;0, 623|0, 661|0, 70;0, 155;0, 212;0, 306;0, 354;0, 451;0, 469;0, 515|0, 1059|0, 177|0, 96|0, 76|0, 725|0, 2112|0, 1463|0, 742|0, 463;0, 540;0, 545;0, 866|0, 29|0, 810|0, 575;0, 607|0, 2104|0, 181;0, 188;0, 243;0, 1447|0, 920|0, 863|0, 122|0, 333|0, 1105|0, 860|0, 167|0, 1494|0, 418|0, 1357|0, 113|0, 381|0, 2278|0, 1540|0, 671;0, 681;0, 709;0, 732;0, 740;0, 794;0, 839|0, 132|0, 162;0, 605;0, 617;0, 646|0, 1644|0, 210|0, 2246|0, 579|0, 927|0, 78|0, 272|0, 530|0, 730|0, 720|0, 29|0, 542;0, 635|0, 603;0, 626;0, 719;0, 751|0, 1440;0, 1627|0, 1366|0, 1189|0, 378|0, 1125|0, 46|0, 332;0, 774|0, 1975;0, 2068|0, 39|0, 1129|0, 584;0, 818|0, 1226|0, 148|0, 1271|0, 822|0, 1375|0, 981|0, 979|0, 702;0, 721|0, 358|0, 41|3, 7;0, 7;0, 41|0, 2041|0, 389|0, 771|0, 703|0, 226|0, 732|0, 95|3, 8;0, 56;0, 92;0, 121;0, 178;0, 299;0, 513;0, 628;0, 1155;0, 1792;0, 1899|0, 941;0, 1686|0, 345|0, 49|0, 451|0, 151|0, 1024|0, 3|0, 2196|0, 1314|0, 1015|0, 1277|0, 3442|0, 712|0, 734|0, 387|0, 190|0, 2241;0, 2354|0, 1375|0, 603|0, 436|0, 67|0, 1713|0, 762|0, 404;0, 992"
