wordID,docID,frequency,hitlist
0,2789|4120,1|1,"1, 1|1, 1"
1,2789|4120,1|1,"1, 2|1, 2"
2,2790,6,"3, 0;0, 102;0, 112;0, 129;0, 144;0, 162"
3,2790,3,"0, 7;0, 97;0, 104"
4,2790,2,"0, 8;0, 98"
5,2790,2,"0, 109;0, 159"
6,2790,2,"0, 110;0, 160"
7,2790,5,"0, 169;0, 176;0, 200;0, 240;0, 280"
8,2790,4,"0, 184;0, 248;0, 287;0, 296"
9,2790,1,"0, 257"
10,2790,1,"0, 258"
11,2790,1,"0, 301"
12,2790,1,"0, 302"
13,2790|2800,2|1,"0, 308;0, 315|0, 703"
14,2790|2860,1|1,"0, 317|1, 1"
15,2790|2860,1|1,"0, 319|1, 3"
16,2790,2,"0, 325;0, 331"
17,2790,1,"0, 332"
18,2792,1,"0, 259"
19,2793,1,"0, 195"
20,2793,2,"0, 347;0, 377"
21,2793,1,"0, 463"
22,2793,1,"0, 483"
23,2794,1,"0, 1703"
24,2794,1,"0, 1963"
25,2794,1,"0, 2451"
26,2795|4980,1|2,"0, 49|0, 919;0, 980"
27,2795|4140|4830|5181,2|2|1|1,"0, 286;0, 1564|0, 563;0, 567|0, 967|0, 1187"
28,2795|4820,1|1,"0, 331|0, 1536"
29,2795,1,"0, 350"
30,2795,1,"0, 351"
31,2795|4388|4520|5188|5338,1|1|1|1|1,"0, 650|0, 1044|0, 1245|0, 844|0, 7685"
32,2795|3212|4522|5027,1|1|2|2,"0, 770|0, 3246|0, 3865;0, 4045|0, 8;0, 2917"
33,2795,7,"0, 803;0, 1660;0, 1710;0, 1750;0, 2293;0, 2407;0, 2561"
34,2795|5337,1|1,"0, 1058|0, 216"
35,2795,1,"0, 1116"
36,2795,1,"0, 1255"
37,2795,1,"0, 1564"
38,2795|5208,1|1,"0, 1792|1, 1"
39,2795,2,"0, 1794;0, 1827"
40,2795|3499|4324,1|1|1,"0, 1903|0, 326|0, 693"
41,2795|4187,1|1,"0, 2122|0, 888"
42,2795,1,"0, 2742"
43,2795,1,"1, 1"
44,2795,1,"1, 2"
45,2796|3492|4032|4046|4225|4266|4482|5498|5527,1|1|3|3|11|2|2|2|1,"0, 236|0, 2957|0, 389;0, 501;0, 571|0, 290;0, 422;0, 481|0, 103;0, 122;0, 155;0, 188;0, 222;0, 304;0, 374;0, 422;0, 669;0, 724;0, 785|0, 2461;0, 2648|0, 1215;0, 1724|0, 341;0, 849|0, 321"
46,2796|5152,1|3,"0, 280|0, 215;0, 229;0, 331"
47,2796|4834,1|1,"0, 630|0, 64"
48,2796,1,"0, 650"
49,2796,1,"0, 817"
50,2796|3096|5338,1|1|2,"1, 3|0, 101|0, 2356;0, 2507"
51,2797|5517,1|1,"0, 123|0, 303"
52,2797,1,"0, 289"
53,2797,1,"0, 982"
54,2797|4986|5344,1|1|1,"0, 997|0, 17|0, 869"
55,2797,1,"0, 1199"
56,2797,1,"1, 3"
57,2798,1,"0, 94"
58,2798,1,"0, 363"
59,2798,1,"0, 365"
60,2798,1,"0, 376"
61,2798|4119,1|1,"0, 710|0, 311"
62,2798|3542|3664|4573,2|2|1|4,"0, 731;0, 735|0, 195;0, 348|0, 813|0, 634;0, 640;0, 657;0, 733"
63,2798,1,"0, 815"
64,2798,1,"0, 1123"
65,2800|5322,1|1,"0, 226|0, 138"
66,2800|2811|2863|2897|2949,1|1|1|2|1,"0, 539|0, 312|0, 286|0, 910;0, 2626|0, 541"
67,2800,1,"0, 958"
68,2800,1,"0, 1098"
69,2800,1,"0, 1134"
70,2800,1,"0, 1230"
71,2800,1,"0, 1354"
72,2800,1,"0, 1356"
73,2800,1,"0, 1358"
74,2800,5,"0, 1492;0, 1504;0, 1603;0, 1613;0, 1806"
75,2800,1,"0, 1501"
76,2800,1,"0, 1509"
77,2800,1,"0, 1520"
78,2800,2,"0, 1729;0, 1875"
79,2800,1,"0, 1763"
80,2800|3283|4358|5117|5372,1|1|9|2|3,"0, 1780|0, 326|3, 1;0, 17;0, 54;0, 133;0, 296;0, 428;0, 821;0, 957;0, 971|0, 535;0, 825|0, 660;0, 1140;0, 1293"
81,2800|5117,3|1,"0, 1792;0, 1800;0, 1872|0, 569"
82,2800,1,"0, 1825"
83,2800,1,"0, 1830"
84,2800,1,"0, 1836"
85,2800,2,"0, 2076;0, 2136"
86,2800,2,"0, 2120;0, 2152"
87,2800,1,"0, 2263"
88,2800,1,"0, 2277"
89,2800,1,"0, 2323"
90,2800,1,"0, 2396"
91,2800,1,"0, 2430"
92,2800,1,"0, 2468"
93,2800,1,"0, 2472"
94,2800,1,"0, 2485"
95,2800,1,"0, 2487"
96,2800,1,"0, 2499"
97,2801,1,"0, 82"
98,2801,1,"0, 128"
99,2801,1,"0, 145"
100,2801,2,"0, 287;0, 304"
101,2801,2,"0, 309;0, 313"
102,2801|3112,1|1,"0, 338|0, 1058"
103,2801,1,"0, 417"
104,2801,1,"0, 801"
105,2801,1,"0, 811"
106,2801,1,"0, 1210"
107,2801,1,"0, 1270"
108,2801,1,"0, 1370"
109,2801|3495|4852,1|1|1,"0, 1630|0, 392|0, 297"
110,2801,2,"0, 1656;0, 1757"
111,2801|5152,1|1,"0, 1702|0, 27"
112,2801,1,"0, 1714"
113,2801,1,"0, 1752"
114,2801,1,"0, 1789"
115,2801,1,"0, 1927"
116,2801|3371|4777|5063,1|1|1|2,"0, 2243|0, 38|0, 1036|0, 326;0, 336"
117,2801|4491|4618|5079,1|1|1|1,"0, 2252|0, 597|0, 5155|0, 8"
118,2801|3429|4013|5338,1|1|1|2,"0, 2259|0, 1226|0, 477|0, 631;0, 761"
119,2801,1,"1, 2"
120,2802,2,"0, 108;0, 160"
121,2802,1,"1, 1"
122,2804,8,"3, 0;0, 0;0, 149;0, 686;0, 1048;0, 1226;0, 1278;2, 5"
123,2804,3,"0, 220;0, 264;0, 1754"
124,2804|4452|4522|4858,1|1|1|1,"0, 1250|0, 177|0, 4199|0, 711"
125,2804|5572,1|1,"0, 1609|0, 774"
126,2804,1,"0, 1721"
127,2804,1,"0, 1732"
128,2804,1,"0, 1743"
129,2804|3558|3714|5083,1|2|1|1,"0, 1744|0, 1344;1, 1|1, 1|0, 103"
130,2804,1,"1, 1"
131,2804,1,"1, 2"
132,2805,1,"0, 170"
133,2805,1,"0, 174"
134,2805|4166,1|4,"0, 229|0, 1234;0, 1464;0, 1473;0, 1877"
135,2805|4334|4498,2|1|2,"0, 237;0, 241|0, 1127|0, 1541;0, 1549"
136,2805|3657,1|1,"0, 278|0, 2630"
137,2805,2,"0, 280;0, 283"
138,2805,1,"0, 411"
139,2805,1,"0, 423"
140,2805,4,"0, 435;0, 437;0, 443;0, 445"
141,2805|3122,1|1,"1, 1|1, 1"
142,2805|3122,1|1,"1, 2|1, 2"
143,2806,1,"0, 26"
144,2806|3226|3318|3923|5347,1|1|1|1|1,"0, 237|0, 847|0, 2258|0, 267|0, 218"
145,2806|3386,1|1,"0, 258|0, 1043"
146,2806|4301,1|1,"0, 345|0, 702"
147,2806,1,"0, 505"
148,2806,1,"0, 534"
149,2806,1,"0, 635"
150,2806|3042|3591|4489,1|1|1|5,"0, 638|0, 173|0, 73|0, 173;0, 188;0, 344;0, 485;0, 1032"
151,2806,1,"0, 792"
152,2806|2988,1|1,"0, 838|0, 857"
153,2807,1,"0, 184"
154,2807,2,"0, 199;0, 210"
155,2807,1,"0, 372"
156,2807,5,"0, 457;0, 576;0, 708;0, 919;0, 1225"
157,2807,8,"0, 462;0, 468;0, 729;0, 735;0, 983;0, 989;0, 1317;0, 1323"
158,2807,4,"0, 508;0, 780;0, 1050;0, 1421"
159,2807|3010|3044|4129|4213,3|1|3|1|2,"0, 651;0, 1101;0, 1103|0, 308|0, 378;0, 385;0, 389|0, 144|0, 1341;0, 1377"
160,2807|3010|3044|4129|4705,6|1|2|2|1,"0, 726;0, 849;0, 862;0, 874;0, 883;0, 1010|0, 351|0, 371;0, 371|0, 121;0, 130|0, 134"
161,2807,1,"0, 771"
162,2807,6,"0, 795;0, 823;0, 947;0, 1065;0, 1281;0, 1436"
163,2807,6,"0, 804;0, 832;0, 956;0, 1074;0, 1290;0, 1445"
164,2807|4009|4705|4728,1|1|2|2,"0, 1087|0, 2835|0, 150;0, 166|0, 632;0, 639"
165,2807,1,"0, 1115"
166,2807,2,"0, 1157;0, 1163"
167,2807,1,"0, 1495"
168,2807,1,"0, 1604"
169,2808,1,"0, 190"
170,2808,2,"0, 396;0, 690"
171,2808,5,"0, 400;0, 410;0, 543;0, 603;0, 824"
172,2808,5,"0, 413;0, 513;0, 600;0, 610;0, 818"
173,2808,3,"0, 420;0, 583;0, 812"
174,2808,7,"0, 423;0, 473;0, 553;0, 570;0, 580;0, 590;0, 821"
175,2808,7,"0, 430;0, 440;0, 450;0, 483;0, 503;0, 523;0, 806"
176,2808,7,"0, 433;0, 460;0, 470;0, 480;0, 493;0, 573;0, 809"
177,2808,5,"0, 443;0, 500;0, 510;0, 613;0, 827"
178,2808,5,"0, 453;0, 520;0, 530;0, 563;0, 803"
179,2808|4537,2|1,"0, 456;0, 526|0, 181"
180,2808,3,"0, 463;0, 490;0, 815"
181,2808,2,"0, 466;0, 496"
182,2808|4729,1|2,"0, 684|0, 768;0, 1239"
183,2808|4729,1|6,"0, 692|0, 791;0, 798;0, 807;0, 814;0, 888;0, 899"
184,2808|4729,1|1,"0, 745|0, 1943"
185,2808,1,"0, 830"
186,2808,1,"0, 845"
187,2809|4323,1|2,"0, 362|0, 1238;0, 1301"
188,2809,1,"0, 1256"
189,2809,1,"0, 1542"
190,2809,1,"1, 2"
191,2811,1,"0, 9"
192,2811,1,"0, 147"
193,2811,1,"0, 201"
194,2811,1,"0, 215"
195,2811,1,"0, 324"
196,2811,1,"0, 799"
197,2811,1,"0, 831"
198,2811|4598,1|1,"1, 1|0, 779"
199,2811,1,"1, 2"
200,2812|3708,1|1,"0, 149|0, 4014"
201,2812,1,"0, 206"
202,2812,1,"0, 299"
203,2812,1,"1, 2"
204,2813|3360,1|1,"0, 537|0, 474"
205,2814,23,"3, 4;0, 4;0, 132;0, 138;0, 175;0, 296;0, 440;0, 452;0, 464;0, 475;0, 497;0, 587;0, 626;0, 654;0, 717;0, 787;0, 1068;0, 1101;0, 1157;0, 1210;0, 1266;0, 1335;0, 1386"
