wordID,docID,frequency,hitlist
0,2492,4,"0, 7423;0, 7433;0, 7517;0, 7528"
1,2492,11,"0, 7431;0, 7439;0, 7443;0, 7462;0, 7464;0, 7466;0, 7481;0, 7483;0, 7501;0, 7522;0, 7548"
2,2492,1,"0, 7452"
3,2492,1,"0, 7464"
4,2492,1,"0, 7501"
5,2492,2,"0, 7531;0, 8150"
6,2492,1,"0, 7548"
7,2492|4447,1|5,"0, 7561|0, 1958;0, 1978;0, 1996;0, 2012;0, 2019"
8,2492|3193|3314|5070,1|1|1|1,"0, 7572|0, 226|0, 931|0, 604"
9,2492,1,"0, 7674"
10,2492,5,"0, 7692;0, 7800;0, 7849;0, 8168;0, 8217"
11,2492,2,"0, 7783;0, 7794"
12,2492,2,"0, 7847;0, 8215"
13,2492,1,"0, 7989"
14,2492|5200,1|2,"0, 8057|3, 2;0, 10"
15,2492,1,"0, 8077"
16,2492,1,"0, 8115"
17,2492|3866,1|1,"0, 8116|1, 1"
18,2492,1,"0, 8117"
19,2492,1,"0, 8118"
20,2492,2,"0, 8142;0, 8159"
21,2492,1,"0, 8298"
22,2492|4021,1|1,"0, 8300|1, 2"
23,2492,1,"0, 8356"
24,2492|3811,1|1,"1, 3|1, 1"
25,2493,3,"0, 172;0, 526;0, 587"
26,2493|2867|5110,1|1|2,"0, 176|0, 215|0, 78;0, 162"
27,2493|2717,1|1,"0, 224|0, 944"
28,2493,1,"0, 412"
29,2493,1,"0, 670"
30,2494|2777,1|1,"0, 321|0, 3417"
31,2494,1,"0, 396"
32,2494|4574|4652,4|1|3,"0, 536;0, 1151;0, 1236;0, 1379|0, 381|0, 322;0, 729;0, 1017"
33,2494,1,"0, 709"
34,2494|4468,1|1,"0, 1013|0, 435"
35,2494,1,"0, 1226"
36,2494,5,"0, 1259;0, 1288;0, 1306;0, 1330;0, 1589"
37,2494,2,"0, 1290;0, 1293"
38,2494,2,"0, 1297;0, 1373"
39,2494,1,"0, 1431"
40,2494,2,"0, 1548;0, 1603"
41,2494,1,"0, 1606"
42,2494,1,"0, 1613"
43,2494,1,"0, 1615"
44,2496|3774|5460,1|2|1,"0, 12|0, 499;0, 526|0, 435"
45,2496|4679,1|1,"0, 41|0, 506"
46,2496|2786,1|1,"2, 13|2, 14"
47,2496|2786,1|1,"1, 1|1, 1"
48,2497|4737,1|2,"0, 486|0, 604;0, 735"
49,2497,2,"0, 542;0, 571"
50,2497,1,"0, 579"
51,2497|5501|5605,1|1|1,"0, 639|0, 3129|0, 124"
52,2497|2970,1|1,"0, 1065|0, 428"
53,2497,1,"1, 2"
54,2498,1,"0, 7"
55,2498,2,"0, 46;0, 138"
56,2498,2,"0, 48;0, 140"
57,2498,1,"0, 84"
58,2498,1,"0, 87"
59,2498,1,"0, 89"
60,2498,1,"0, 176"
61,2498|3673,3|1,"0, 191;0, 197;0, 678|0, 726"
62,2498,7,"0, 192;0, 198;0, 272;0, 299;0, 326;0, 472;0, 679"
63,2498,1,"0, 255"
64,2498,3,"0, 256;0, 336;0, 434"
65,2498,2,"0, 744;1, 1"
66,2499|4123,6|10,"3, 1;0, 13;0, 91;0, 183;0, 235;0, 309|0, 526;0, 610;0, 612;0, 618;0, 625;0, 844;0, 871;0, 880;0, 964;0, 978"
67,2499|4615,1|2,"0, 156|0, 1051;0, 1067"
68,2499|4123,2|1,"0, 176;0, 192|0, 19"
69,2499|4123,2|1,"0, 178;0, 192|0, 19"
70,2499|4466,1|1,"1, 1|1, 1"
71,2499|4466,1|1,"1, 2|1, 2"
72,2500,1,"0, 11"
73,2500,1,"0, 13"
74,2500,1,"0, 448"
75,2500|2644,1|1,"0, 539|0, 85"
76,2501|3739,1|1,"0, 100|0, 125"
77,2501,2,"0, 216;0, 412"
78,2501|5612,1|1,"0, 355|0, 587"
79,2501|2575|5273,1|1|1,"0, 439|0, 291|0, 379"
80,2502|3925,5|1,"0, 9;0, 73;0, 82;0, 319;0, 644|0, 1308"
81,2502,1,"0, 112"
82,2502,1,"0, 328"
83,2502|3098|5595,1|1|1,"0, 475|0, 1148|0, 141"
84,2502,2,"0, 497;0, 542"
85,2502,1,"0, 521"
86,2502,1,"0, 547"
87,2502|3507,1|1,"0, 554|0, 1622"
88,2503,1,"0, 186"
89,2503,1,"0, 233"
90,2504|5009|5353,6|1|1,"0, 18;0, 263;0, 289;0, 616;0, 931;0, 954|1, 1|0, 976"
91,2504,1,"0, 64"
92,2504|2889|5124|5407,1|1|1|1,"0, 401|0, 226|0, 30|0, 333"
93,2506,1,"0, 22"
94,2506|2779,1|1,"0, 114|0, 1276"
95,2506,1,"0, 230"
96,2506|2779,21|1,"0, 247;0, 284;0, 327;0, 691;0, 806;0, 818;0, 944;0, 1097;0, 1207;0, 1314;0, 1440;0, 1496;0, 1565;0, 1924;0, 2017;0, 2514;0, 2540;0, 2656;0, 3240;0, 3739;0, 3846|0, 1552"
97,2506|3212|3652|4100|5195,1|4|1|2|2,"0, 416|0, 33;0, 71;0, 1192;0, 2004|0, 724|0, 379;0, 1465|0, 1807;0, 1843"
98,2506|2779,3|1,"0, 590;0, 2070;0, 2553|0, 927"
99,2506,1,"0, 630"
100,2506|5432,1|1,"0, 1711|0, 289"
101,2506|5456,1|1,"0, 1771|0, 526"
102,2506,2,"0, 1820;0, 1952"
103,2506,1,"0, 2139"
104,2506,1,"0, 2538"
105,2506,1,"0, 2578"
106,2506,1,"0, 2580"
107,2506,1,"0, 2770"
108,2506,1,"0, 2826"
