wordID,docID,frequency,hitlist
0,946|1726|2693|4482|4500|4510|4983,1|1|1|1|2|1|1,"0, 242|0, 607|0, 529|0, 813|0, 36;0, 108|0, 114|0, 277"
1,946|3537|4998,1|2|1,"0, 306|0, 102;0, 569|0, 519"
2,946|1127|1832|2655|3223|3579|3739|3901|4154|4686|4939|4964|5079,1|1|1|1|1|1|1|1|1|1|1|1|1,"0, 383|0, 252|0, 1896|0, 2409|0, 504|0, 89|0, 324|0, 746|0, 542|0, 703|0, 1002|0, 224|0, 129"
3,946|3708|5118,1|1|1,"0, 393|0, 2930|0, 4487"
4,946,1,"0, 455"
5,946|1279|1581|1646|2568|4136|5114|5347|5530|5535,1|1|2|1|1|1|1|1|1|1,"0, 467|0, 116|0, 2581;0, 2660|0, 27|0, 851|0, 513|0, 620|0, 91|0, 1734|0, 348"
6,946|3383|4708|5393,1|1|2|1,"0, 472|0, 428|3, 2;0, 23|0, 221"
7,946|2577|4295|4529|5116,1|1|2|1|1,"0, 569|0, 5467|0, 1460;0, 3876|0, 393|0, 169"
8,946|4300,1|2,"0, 595|0, 923;0, 931"
9,946,1,"0, 624"
10,946,1,"0, 762"
11,946|1229|2669,1|1|1,"0, 948|0, 456|0, 47"
12,946|2669,1|5,"0, 949|0, 48;0, 57;0, 149;0, 200;0, 226"
13,946,1,"0, 1151"
14,946|3002|4863|5592,2|1|4|4,"0, 1282;0, 1868|0, 424|0, 61;0, 153;0, 341;0, 794|0, 638;0, 650;0, 884;0, 1407"
15,946|1012,1|1,"0, 1336|1, 2"
16,946|3930|4554,1|1|1,"0, 1343|0, 285|1, 1"
17,946|3227|3492|3499|4931,1|1|2|1|1,"0, 1351|0, 1516|0, 116;0, 369|0, 831|0, 140"
18,946,1,"0, 1574"
19,946,1,"0, 2031"
20,946|1587|2068|3087|3305|5030,1|2|1|1|1|1,"1, 2|0, 568;0, 1016|0, 51|1, 2|0, 3572|1, 2"
21,947,1,"0, 1"
22,947|1117|1893|5338,1|1|2|7,"0, 24|0, 2799|0, 152;0, 170|0, 69;0, 829;0, 929;0, 3522;0, 3573;0, 15591;0, 15619"
23,947|1117|1893|5338,2|2|1|8,"0, 25;0, 34|0, 2800;0, 2806|0, 153|0, 70;0, 830;0, 930;0, 3523;0, 3574;0, 15592;0, 15620;0, 15735"
24,947,1,"0, 37"
25,947|1349|1367|5471,1|1|1|1,"0, 130|0, 1477|0, 1024|0, 491"
26,947,1,"0, 180"
27,947|2846,1|1,"0, 219|0, 1359"
28,947|1117|1178|1428|1591|2352|4005|5604,2|1|4|2|2|1|1|1,"0, 220;0, 1123|0, 3027|0, 279;0, 312;0, 513;0, 536|0, 59;0, 309|0, 1309;0, 1772|0, 51|0, 1362|0, 378"
29,947|1083|1572|2445|2685|3706|4046|4711|4732|4968|4975|5065|5338,2|2|1|1|1|1|1|1|2|1|1|1|4,"0, 265;0, 1186|0, 234;1, 1|0, 1897|0, 462|0, 1360|0, 3680|0, 1454|0, 1140|2, 1;1, 1|0, 2332|0, 368|0, 13|0, 1239;0, 1487;0, 9349;0, 9439"
30,947|4229,1|1,"0, 271|0, 26"
31,947|1263|2653|3281|3907|3951|4131|4351|4913|5331|5338|5456,1|1|1|1|1|1|1|1|16|1|2|1,"0, 308|0, 1062|1, 2|0, 108|0, 428|0, 622|0, 247|0, 281|0, 87;0, 269;0, 389;0, 496;0, 568;0, 688;0, 803;0, 901;0, 903;0, 1029;0, 1172;0, 1255;0, 2336;0, 2433;0, 2480;0, 2522|0, 458|0, 370;0, 514|1, 5"
32,947|1428|2002|2323|2718|3234|3412|3469|4302|4675|4739|4931|5566,3|1|2|1|1|1|1|6|1|2|1|1|1,"0, 333;0, 448;0, 1036|0, 289|0, 374;0, 2203|0, 3113|0, 3472|0, 2910|0, 1421|0, 107;0, 115;0, 139;0, 147;0, 162;0, 170|0, 746|0, 246;0, 254|0, 119|0, 1179|0, 2466"
33,947|5552,1|1,"0, 354|0, 878"
34,947,1,"0, 358"
35,947|1929|1936|3385|3665|4543|5237|5355|5392,2|1|1|1|3|1|1|1|1,"0, 430;0, 455|0, 659|0, 96|0, 511|0, 354;0, 455;0, 1021|0, 1791|0, 53|0, 82|0, 1430"
36,947|2906|4521,1|1|1,"0, 689|0, 1047|0, 661"
37,947,1,"0, 710"
38,947|1696,1|1,"0, 712|0, 1153"
39,947|2438|2688,1|1|1,"0, 768|0, 414|0, 1"
40,947|1591|4316|4829,1|1|1|1,"0, 784|0, 592|0, 1299|0, 213"
41,947|1595,1|1,"0, 812|0, 67"
42,947,1,"0, 900"
43,947|998|1282|3256|3546|4146|5217,1|1|1|1|1|1|1,"0, 1025|0, 1289|0, 65|0, 1596|0, 220|0, 119|0, 676"
44,947|5131,1|1,"0, 1139|0, 735"
45,947,1,"0, 1190"
46,947,1,"1, 2"
47,948|1848,1|1,"0, 207|0, 536"
48,948|1848,1|1,"0, 209|0, 538"
49,949,26,"3, 1;0, 87;0, 493;0, 499;0, 588;0, 663;0, 796;0, 805;0, 873;0, 895;0, 1308;0, 1374;0, 1408;0, 1427;0, 1500;0, 1518;0, 1537;0, 1566;0, 1611;0, 1643;0, 1926;0, 1949;0, 2139;0, 2174;0, 2195;0, 2297"
50,949|1092|1141|1971|2261|2285|3779|4066|4716|5096|5177|5178|5232|5338|5503|5558,3|1|5|1|1|1|1|1|1|1|1|1|1|1|1|3,"0, 3;0, 845;0, 1099|0, 118|0, 722;0, 1080;0, 1919;0, 3085;0, 4079|0, 552|0, 833|0, 596|0, 1647|0, 112|0, 127|0, 700|0, 1007|0, 1275|0, 66|0, 7470|0, 421|0, 1240;0, 2301;0, 3389"
51,949,1,"0, 34"
52,949,1,"0, 42"
53,949|3753|3757|5463,2|1|1|1,"0, 101;0, 1640|0, 349|0, 120|0, 21"
54,949|5147,1|1,"0, 127|0, 2224"
55,949,1,"0, 178"
56,949|3366|4618|5257,1|1|1|1,"0, 222|0, 164|0, 2297|0, 803"
57,949,1,"0, 257"
58,949|2621|3006,1|1|1,"0, 293|0, 1443|0, 1494"
59,949|1072|3890|5460,1|1|1|1,"0, 298|0, 694|0, 570|0, 103"
60,949|1841|2587|2680|4702|4711|5139,1|1|1|1|1|1|1,"0, 304|0, 2907|0, 2416|0, 1801|0, 361|0, 181|0, 589"
61,949|5558,1|3,"0, 328|0, 981;0, 1015;0, 1050"
62,949|5217|5558,1|1|1,"0, 345|0, 74|0, 1660"
63,949|3368|4627|5558,1|1|1|1,"0, 371|0, 1123|0, 149|0, 2243"
64,949|1882|2298|3349|5027,1|3|1|2|2,"0, 384|0, 379;0, 414;0, 469|0, 448|0, 146;0, 1153|0, 2836;0, 3097"
65,949|1074|1774|2978|3448,1|1|1|3|1,"0, 431|0, 434|0, 668|3, 1;0, 1;0, 216|0, 46"
66,949|2310,2|3,"0, 478;0, 1944|0, 211;0, 254;0, 1061"
67,949|1467|4911|5160|5558,1|2|2|1|1,"0, 480|0, 14;0, 331|0, 491;0, 494|1, 3|0, 1335"
68,949,1,"0, 482"
69,949,1,"0, 490"
70,949,1,"0, 495"
71,949,1,"0, 566"
72,949,1,"0, 569"
73,949|2159|2944,1|1|1,"0, 578|0, 837|0, 1251"
74,949|2382,3|1,"0, 613;0, 1157;0, 1626|0, 132"
75,949,1,"0, 639"
76,949|1300|2084|3059|4316|4451,1|1|1|1|1|1,"0, 652|0, 643|0, 510|0, 365|0, 927|0, 1145"
77,949|2162|2298|3349,4|6|6|1,"0, 670;0, 879;0, 1708;0, 2222|0, 359;0, 371;0, 413;0, 452;0, 531;0, 575|3, 3;0, 3;0, 80;0, 87;0, 109;0, 129|0, 1148"
78,949|1341|1709|1834|2053|2136|2381|2617|2720|2868|2964|2998|4357|4482|4589|5096,1|1|1|1|1|4|1|1|1|1|1|1|1|1|1|13,"0, 684|0, 1756|0, 793|0, 758|0, 486|0, 763;0, 786;0, 828;0, 836|0, 979|0, 1252|0, 4839|0, 687|0, 183|0, 1270|0, 952|0, 1983|0, 327|3, 2;0, 479;0, 564;0, 619;0, 648;0, 783;0, 841;0, 1204;0, 2361;0, 2980;0, 3014;0, 3034;0, 3117"
79,949,3,"0, 698;0, 800;0, 899"
80,949|1821|3702,2|1|1,"0, 728;0, 777|0, 47|0, 507"
81,949|2307,1|1,"0, 755|0, 143"
82,949,1,"0, 757"
