wordID,docID,frequency,hitlist
0,1010|1096|1915|3973|4374|5389,1|4|2|4|1|1,"0, 833|0, 797;0, 828;0, 1100;0, 1138|0, 180;0, 328|0, 47;0, 58;0, 78;0, 159|0, 170|0, 2139"
1,1010|1460|1910|2032|2334|2447|2463|2615|2957|3344|3691|4194,1|1|1|1|1|1|1|1|1|1|2|1,"0, 854|0, 1204|0, 731|0, 290|0, 437|0, 259|0, 477|0, 709|0, 1159|0, 2209|0, 2358;0, 3468|0, 498"
2,1010|3804,6|3,"0, 863;0, 896;0, 904;0, 927;0, 1006;0, 1013|0, 837;0, 858;0, 876"
3,1010,2,"0, 893;0, 912"
4,1010|1192,1|1,"0, 920|0, 998"
5,1010|1222,1|1,"0, 962|0, 282"
6,1010|4776,1|1,"0, 972|0, 267"
7,1010|2587|4964,1|2|1,"0, 997|0, 599;0, 658|0, 638"
8,1010|1742|2330|3400|4347|5201|5388,1|1|1|1|1|1|1,"0, 1030|0, 312|0, 2690|0, 251|0, 29|0, 1783|0, 987"
9,1010,1,"0, 1044"
10,1010|1390|1844|2020|2049|2330|3039|3495|4414|4607,1|1|1|1|4|2|1|1|1|1,"0, 1112|0, 1118|0, 76|0, 469|0, 1434;0, 1440;0, 2018;0, 2025|0, 2639;0, 2683|0, 1026|0, 813|0, 1833|0, 616"
11,1010,1,"0, 1143"
12,1010|1559|1618|1737|1831|2891|4328,1|2|1|1|2|2|1,"0, 1170|0, 653;0, 1193|0, 1000|0, 350|0, 162;0, 554|0, 1028;0, 1146|0, 1280"
13,1010|2191|2261|2380|4965,1|1|1|1|1,"0, 1188|0, 571|0, 518|0, 369|0, 405"
14,1010,1,"0, 1246"
15,1010|2892|2977,1|1|1,"0, 1248|0, 535|0, 402"
16,1010,8,"0, 1268;0, 1269;0, 1289;0, 1292;0, 1304;0, 1333;0, 1359;0, 1422"
17,1010,1,"0, 1282"
18,1010,1,"0, 1287"
19,1010,1,"0, 1290"
20,1010,3,"0, 1293;0, 1380;0, 1443"
21,1010,2,"0, 1317;0, 1453"
