wordID,docID,frequency,hitlist
0,287|4973,1|1,"0, 1635|0, 1741"
1,287|314|352|502|1117|1369|1568|1803|2330|2575|2873|3742|4531|4668|4743|4872|5237,1|1|2|6|1|1|1|1|1|1|1|1|1|1|1|3|1,"0, 1684|0, 265|0, 125;0, 195|0, 8;0, 30;0, 64;0, 422;0, 459;0, 536|0, 254|0, 190|0, 50|0, 1070|0, 223|0, 952|0, 2243|0, 799|0, 759|0, 721|0, 717|0, 188;0, 434;0, 1120|0, 413"
2,287|543|588|1803|3531|4027|5534,1|1|1|1|1|1|1,"1, 1|0, 33|0, 30|1, 1|0, 200|1, 1|1, 1"
3,288|321|362|1232|1379|1381|1449|3779|4203|5032|5360,5|1|1|1|2|3|3|4|1|1|1,"3, 2;0, 6;0, 119;0, 306;0, 429|0, 688|0, 1850|0, 453|0, 22;0, 134|0, 800;0, 814;0, 852|0, 78;0, 102;0, 154|0, 1153;0, 1416;0, 1423;0, 1553|0, 2993|0, 1467|0, 1759"
4,288|351|383|633|648|674|730|808|1232|1420|2236|2288|2707|3002|3006|3424|3779|4026|4060|4308|4821|5200,6|1|1|1|1|1|1|1|1|1|1|4|1|1|1|1|3|1|3|1|1|1,"3, 3;0, 7;0, 120;0, 307;0, 374;0, 430|1, 2|1, 1|1, 2|1, 2|0, 26|0, 156|0, 430|0, 454|0, 59|0, 1|0, 3303;0, 3308;0, 3412;0, 3425|0, 1213|0, 2|0, 185|1, 1|0, 1154;0, 1417;0, 1554|1, 1|0, 1162;0, 1171;0, 1177|0, 1483|1, 1|1, 1"
5,288|465|837|1141|2205|2634|3228|4322|5338,2|1|2|1|1|3|2|1|1,"0, 13;0, 41|0, 126|0, 2;0, 96|0, 1480|0, 156|0, 754;0, 842;0, 992|0, 308;0, 313|0, 328|0, 10616"
6,288|731|1685|2255|2456|2492|2943|4091|4099|4203|4249|4627|4852|5338,3|2|1|4|1|1|1|2|1|1|1|2|1|2,"0, 28;0, 183;0, 433|0, 722;0, 1466|0, 423|0, 2209;0, 2263;0, 2816;0, 4336|0, 689|0, 7968|0, 1582|0, 98;0, 1048|0, 713|0, 604|0, 516|0, 478;0, 491|0, 106|0, 3344;0, 3433"
7,288,1,"0, 110"
8,288|312|699|1036|1299|1336|1798|1896|1997|2459|2682|2687|2965|3016|3429|3772|3926|4148|4528|4690|4979|5594,1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1,"0, 117|0, 375|0, 368|0, 69|0, 1570|0, 199|0, 510|0, 999|0, 237|0, 2547|0, 617|0, 1008;0, 1050|0, 1588|0, 3893|0, 889|0, 1180|0, 751|0, 5|0, 1093|0, 390|0, 479|0, 115"
9,288|331|425|442|517|620|715|1270|1765|1798|1925|1956|2019|2587|2683|2962|3016|3044|3117|3183|3329|3335|3492|3575|3601|3756|3795|3926|4074|4281|4299|4402|4668|4844|4977|5149|5355|5422,1|1|1|1|1|2|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|1|2|1|1|1|1|2|1|1,"0, 203|0, 221|0, 494|0, 250|0, 278|0, 1585;0, 1665|0, 1321|0, 377|0, 87|0, 515;0, 523|0, 487|0, 375|0, 755|0, 296|0, 505|0, 1192|0, 3854|0, 163|0, 392|0, 389|0, 467|0, 2055|0, 988|0, 383|0, 1213|0, 913|0, 1413|0, 765;0, 771|0, 659;0, 829|0, 958|0, 751;0, 804|0, 577|0, 817|0, 239|0, 29|0, 3461;0, 3473|0, 212|0, 1849"
