wordID,docID,frequency,hitlist
0,1704|1808|2055|2111|2641|2873|2939|3016|3215|3889|4364|4555,2|1|52|1|1|5|1|2|1|1|1|1,"0, 1068;0, 1147|0, 48|0, 1731;0, 1772;0, 1795;0, 1821;0, 1842;0, 1890;0, 2149;0, 2154;0, 2203;0, 2223;0, 2256;0, 2853;0, 2895;0, 2947;0, 3100;0, 3172;0, 3383;0, 3422;0, 3668;0, 3786;0, 3854;0, 4284;0, 4288;0, 4548;0, 4560;0, 4657;0, 4663;0, 4819;0, 4844;0, 4925;0, 4948;0, 5057;0, 5102;0, 5406;0, 5602;0, 5674;0, 5710;0, 6302;0, 6457;0, 6469;0, 6500;0, 6675;0, 6778;0, 6890;0, 7024;0, 7052;0, 7368;0, 7446;0, 7456;0, 7654;0, 7661;0, 7974|0, 160|0, 705|0, 2465;0, 2496;0, 2570;0, 2895;0, 3535|0, 846|0, 3733;0, 3738|0, 152|0, 1093|0, 616|0, 527"
1,1704,2,"0, 1393;0, 2152"
2,1704,1,"0, 1424"
3,1704|5193,4|1,"0, 1425;0, 1512;0, 1870;0, 1880|0, 611"
4,1704,1,"0, 1427"
5,1704,1,"0, 1554"
6,1704|1821,1|1,"0, 2171|0, 78"
7,1704,1,"1, 2"
8,1705,1,"0, 2"
9,1705,1,"0, 168"
10,1705|2868|4546,1|1|1,"0, 287|0, 62|0, 1443"
11,1705,1,"0, 394"
12,1705|2091,1|1,"0, 419|0, 143"
13,1705|5400,1|1,"1, 1|0, 16"
14,1706|2278,7|4,"3, 6;0, 0;0, 17;0, 82;0, 98;0, 291;2, 10|0, 429;0, 565;0, 574;0, 605"
15,1706,1,"0, 54"
16,1706|3790,1|3,"0, 151|0, 1041;0, 1068;0, 1082"
17,1706,5,"0, 186;0, 193;0, 235;0, 244;0, 344"
18,1706|2096|4333,2|1|1,"0, 219;0, 404|0, 1896|0, 79"
19,1706,8,"0, 223;0, 270;0, 352;0, 371;0, 404;0, 405;0, 412;0, 429"
20,1706,1,"0, 232"
21,1706,2,"0, 255;0, 275"
22,1706,2,"0, 297;0, 310"
23,1706,1,"0, 313"
24,1706,2,"0, 322;0, 324"
25,1706,2,"0, 322;0, 324"
26,1706|1780|4608,1|1|2,"0, 324|0, 321|0, 882;0, 937"
27,1706,3,"0, 377;0, 394;0, 409"
28,1706|3187|3912,1|1|2,"0, 404|0, 1009|0, 485;0, 498"
29,1706,1,"0, 434"
30,1706,1,"1, 1"
31,1706,1,"1, 2"
32,1707,3,"0, 15;0, 25;0, 29"
33,1707,1,"0, 20"
34,1707|3060|4478|4734,1|1|1|2,"0, 118|0, 4|0, 257|0, 537;0, 1186"
35,1707,1,"0, 147"
36,1707|3361,1|1,"0, 160|0, 1072"
37,1707,1,"0, 189"
38,1707,1,"0, 200"
39,1707|3055,1|1,"0, 321|0, 1117"
40,1707|2417|2877|3761,2|2|1|3,"0, 426;0, 569|0, 33;0, 317|0, 464|0, 771;0, 777;0, 889"
41,1707|3761|4328,3|2|27,"0, 429;0, 694;0, 1367|0, 952;0, 1031|0, 107;0, 118;0, 171;0, 404;0, 909;0, 934;0, 1069;0, 1085;0, 1118;0, 1156;0, 1234;0, 1301;0, 1341;0, 1355;0, 1466;0, 1620;0, 1688;0, 1701;0, 1727;0, 1751;0, 1779;0, 1800;0, 1902;0, 2234;0, 2260;0, 2298;2, 2"
42,1707|3155,7|1,"0, 432;0, 484;0, 516;0, 574;0, 934;0, 1079;0, 1121|0, 289"
43,1707|4605|5338,2|1|4,"0, 435;0, 514|0, 471|0, 870;0, 970;0, 8209;0, 8253"
44,1707,1,"0, 437"
45,1707,2,"0, 438;0, 579"
46,1707|1781,1|1,"0, 443|0, 1054"
47,1707|5593,1|1,"0, 444|1, 2"
48,1707|3969,2|1,"0, 445;0, 488|0, 98"
49,1707,1,"0, 448"
50,1707,1,"0, 450"
51,1707|2577,3|2,"0, 451;0, 490;0, 584|0, 6967;0, 6975"
52,1707|4370|4522,1|1|1,"0, 455|1, 3|0, 3139"
53,1707|2575,1|1,"0, 552|0, 2824"
