wordID,docID,frequency,hitlist
0,810,1,"0, 0"
1,810,1,"0, 1"
2,810|1301|2339|4306,1|1|4|1,"0, 62|0, 450|0, 130;0, 443;0, 526;0, 714|0, 105"
3,810|1258|1260|1740|1811|2717,2|1|1|1|1|1,"0, 184;0, 280|0, 1106|0, 684|0, 534|0, 244|0, 1107"
4,810|2725,1|1,"0, 204|0, 489"
5,810|1734|1811|2233|4005|4219|4414|4544,1|2|2|1|1|4|1|2,"0, 288|0, 468;0, 491|0, 186;0, 242|0, 846|0, 243|0, 79;0, 1137;0, 1187;0, 1197|0, 1548|0, 637;0, 664"
6,810|865|1019|1324|2159|2200|2255|2464|2618|3221|3280|3476|3651|4017|4057|4100|4245|4373|4501|4544|4607|5099|5354,1|1|2|1|3|1|1|1|1|1|1|3|1|3|1|1|1|1|1|6|1|1|2,"0, 515|0, 2003|0, 822;0, 847|0, 321|0, 591;0, 602;0, 611|0, 730|0, 4393|0, 726|0, 1415|0, 2272|0, 209|3, 1;0, 34;0, 55|0, 1009|0, 146;0, 333;0, 465|0, 1139|0, 998|0, 558|0, 555|0, 601|0, 1201;0, 1228;0, 1332;0, 1465;0, 2077;0, 2368|0, 733|0, 457|0, 1537;0, 2183"
7,810|1019|1346|3027|3374|3674|4847|5577,1|1|1|1|1|2|1|1,"0, 1099|0, 427|0, 193|0, 235|0, 348|0, 726;0, 774|0, 137|0, 637"
8,810,1,"0, 1259"
9,811|3872,1|2,"0, 478|0, 633;0, 637"
10,811|2297|2325|2446|3872,1|4|1|1|3,"0, 479|0, 907;0, 1208;0, 1224;0, 1329|0, 890|0, 770|0, 110;0, 634;0, 650"
11,811|3319|5217,1|1|1,"0, 487|0, 129|0, 933"
12,811|1455|2867|2992|5204|5383,4|1|1|1|1|1,"0, 723;0, 754;0, 1606;0, 1701|0, 214|0, 1456|0, 841|0, 322|0, 544"
13,811,1,"0, 1482"
14,811|1612|2663,1|1|1,"0, 1613|0, 275|0, 850"
15,811|1084|1591|1748|2086|2191|2377|2521|2891|3039|3105|3217|3474|3547|4028|4178|4414|4636|4735|5284|5554|5592,1|1|1|1|3|1|1|1|4|1|1|3|3|1|1|3|2|1|1|1|1|3,"0, 1650|0, 151|0, 47|0, 522|0, 144;0, 660;0, 1002|0, 508|0, 1384|0, 818|0, 99;0, 182;0, 483;0, 1129|0, 625|0, 1107|0, 818;0, 923;0, 1296|0, 31;0, 63;0, 69|0, 1583|0, 1797|0, 573;0, 1147;0, 1238|0, 545;0, 1329|0, 33|0, 322|0, 1084|0, 149|0, 571;0, 1354;0, 2551"
16,812|1138|1349|1420|3159|3665|3841|3941|4100|4456|5075|5339|5578,1|1|3|1|1|1|1|1|1|2|1|1|1,"0, 242|0, 1797|0, 214;0, 260;0, 995|0, 322|0, 682|0, 963|0, 1000|0, 3998|0, 660|0, 1625;0, 2915|0, 142|0, 1168|0, 119"
17,812|5373,1|1,"0, 315|1, 2"
