docID,wordID,frequency,hitlist
3898,0,1,"0, 514"
3898,1,1,"0, 515"
3898,2,1,"0, 525"
3898,3,1,"0, 526"
3898,4,1,"0, 527"
3898,5,1,"0, 528"
3898,6,1,"0, 529"
3898,7,1,"0, 530"
3898,8,2,"0, 548;0, 798"
3898,9,1,"0, 567"
3898,10,1,"0, 581"
3898,11,1,"0, 585"
3898,12,1,"0, 591"
3898,13,1,"0, 833"
3898,14,1,"0, 836"
3898,15,2,"0, 856;0, 873"
3898,16,2,"0, 876;0, 933"
3898,17,1,"0, 878"
3898,18,2,"0, 886;0, 943"
3898,19,2,"0, 887;0, 944"
3898,20,2,"0, 889;0, 946"
3898,21,1,"0, 891"
3898,22,1,"0, 891"
3898,23,1,"0, 893"
3898,24,1,"0, 897"
3898,25,1,"0, 899"
3898,26,1,"0, 901"
3898,27,1,"0, 903"
3898,28,1,"0, 905"
3898,29,1,"0, 907"
3898,30,1,"0, 909"
3898,31,1,"0, 911"
3898,32,1,"0, 920"
3898,33,1,"0, 931"
3898,34,1,"0, 935"
3898,35,1,"0, 940"
3898,36,1,"0, 948"
3898,37,1,"0, 948"
3898,38,1,"0, 950"
3898,39,1,"0, 952"
3898,40,1,"0, 954"
3898,41,1,"0, 956"
3898,42,1,"0, 958"
3898,43,1,"0, 960"
3898,44,1,"0, 962"
3898,45,1,"0, 964"
3898,46,1,"0, 966"
3898,47,1,"0, 968"
3898,48,1,"1, 2"
3899,49,1,"0, 59"
3899,50,3,"0, 284;0, 368;0, 388"
3899,51,1,"0, 291"
3899,52,3,"0, 309;0, 341;0, 374"
3899,53,1,"0, 346"
3899,54,1,"0, 469"
3900,55,5,"3, 0;0, 0;0, 32;0, 35;0, 48"
3900,56,5,"3, 2;0, 2;0, 34;0, 37;0, 50"
3900,57,2,"3, 4;0, 4"
3900,58,1,"0, 29"
3900,59,1,"0, 78"
3900,60,1,"0, 120"
3901,61,1,"0, 92"
3901,62,1,"0, 94"
3901,63,1,"0, 166"
3901,64,1,"0, 176"
3901,65,1,"0, 538"
3901,66,1,"0, 541"
3901,67,1,"0, 558"
3901,68,1,"0, 643"
3901,69,1,"0, 652"
3901,70,1,"0, 830"
3903,71,1,"0, 47"
3903,72,1,"0, 156"
3903,73,1,"0, 388"
3903,74,1,"0, 393"
3903,75,1,"0, 398"
3903,76,5,"0, 448;0, 1156;0, 1246;0, 1283;0, 1537"
3903,77,6,"0, 517;0, 535;0, 563;0, 583;0, 603;0, 622"
3903,78,2,"0, 671;0, 734"
3903,79,2,"0, 1053;0, 1093"
3903,80,1,"0, 1254"
3903,81,2,"0, 1296;0, 1645"
3903,82,2,"0, 1496;0, 1626"
3903,83,2,"0, 1498;0, 1628"
3903,84,2,"0, 1514;0, 1634"
3903,85,1,"0, 1553"
3903,86,1,"0, 1563"
3903,87,1,"0, 1603"
3903,88,1,"0, 1653"
3904,89,1,"0, 11"
3904,90,1,"0, 110"
3904,91,1,"0, 113"
3904,92,1,"0, 114"
3904,93,1,"0, 120"
3904,94,1,"0, 136"
3905,95,1,"0, 561"
3905,96,1,"0, 637"
3905,97,1,"0, 790"
3905,98,1,"0, 835"
3905,99,1,"0, 846"
3905,100,1,"0, 901"
3905,101,1,"0, 999"
3906,102,1,"0, 69"
3906,103,1,"0, 159"
3906,104,1,"0, 165"
3906,105,1,"0, 221"
3906,106,1,"0, 388"
3906,107,1,"0, 601"
3906,108,5,"0, 604;0, 621;0, 651;0, 659;0, 715"
3906,109,1,"1, 2"
3907,110,7,"0, 122;0, 147;0, 276;0, 292;0, 333;0, 414;0, 455"
3907,111,1,"0, 216"
3907,112,1,"0, 218"
3907,113,1,"0, 221"
3907,114,1,"0, 230"
3907,115,1,"0, 232"
3907,116,1,"0, 330"
3907,117,1,"0, 491"
3907,118,1,"0, 493"
3907,119,1,"0, 529"
3909,120,1,"0, 21"
3909,121,1,"0, 22"
3909,122,1,"0, 145"
3909,123,4,"0, 524;0, 537;0, 622;0, 667"
3909,124,3,"0, 583;0, 1285;0, 1352"
3909,125,1,"0, 631"
3909,126,1,"0, 718"
3909,127,2,"0, 852;0, 988"
3909,128,1,"0, 979"
3909,129,1,"0, 1066"
3909,130,1,"0, 1067"
3909,131,1,"0, 1113"
3909,132,1,"0, 1339"
3909,133,1,"0, 1377"
3909,134,1,"0, 1410"
3909,135,2,"0, 1431;0, 1508"
3910,136,1,"0, 116"
3910,137,1,"0, 127"
3910,138,1,"0, 179"
3910,139,2,"0, 193;0, 291"
3910,140,1,"0, 218"
3910,141,1,"0, 314"
3910,142,1,"0, 368"
3910,143,3,"0, 981;0, 1007;0, 1102"
3910,144,1,"0, 1415"
3911,145,1,"0, 88"
3911,146,1,"0, 131"
3911,147,2,"0, 397;0, 3326"
3911,148,2,"0, 632;0, 998"
3911,149,1,"0, 696"
3911,150,1,"0, 928"
3911,151,1,"0, 980"
3911,152,2,"0, 1322;0, 1374"
3911,153,1,"0, 1451"
3911,154,1,"0, 1496"
3911,155,1,"0, 1516"
3911,156,1,"0, 1643"
3911,157,2,"0, 1728;0, 1874"
3911,158,1,"0, 1962"
3911,159,5,"0, 2060;0, 2192;0, 2247;0, 2642;0, 2993"
3911,160,2,"0, 2094;0, 2170"
3911,161,2,"0, 2126;0, 2168"
3911,162,3,"0, 2290;0, 2391;0, 2463"
3911,163,1,"0, 2987"
3911,164,1,"0, 3134"
3911,165,1,"0, 3192"
3912,166,1,"0, 3"
3912,167,1,"0, 165"
3912,168,1,"0, 166"
3912,169,1,"0, 169"
3912,170,4,"0, 241;0, 243;0, 279;0, 528"
3912,171,1,"0, 343"
3912,172,1,"0, 450"
3912,173,1,"0, 473"
3912,174,2,"0, 481;0, 494"
3914,175,1,"0, 6"
3914,176,1,"0, 314"
3914,177,1,"0, 349"
3914,178,2,"0, 502;0, 528"
3914,179,1,"0, 744"
3915,180,1,"0, 219"
3915,181,1,"0, 296"
3915,182,1,"1, 2"
3916,183,1,"0, 16"
3916,184,1,"0, 52"
3916,185,2,"0, 77;0, 101"
3916,186,1,"0, 101"
3917,187,1,"0, 63"
3917,188,1,"0, 157"
3918,189,1,"0, 714"
3918,190,1,"0, 752"
3918,191,1,"0, 915"
3918,192,1,"0, 1654"
3918,193,1,"1, 2"
3919,194,1,"0, 237"
3919,195,1,"0, 661"
3919,196,1,"0, 807"
3919,197,1,"0, 857"
3919,198,1,"0, 862"
3919,199,1,"0, 1087"
3921,200,1,"3, 1"
3921,201,1,"3, 2"
3921,202,1,"3, 6"
3921,203,1,"3, 9"
3921,204,1,"3, 11"
3922,205,1,"0, 6"
3922,206,1,"0, 612"
3922,207,1,"0, 828"
3922,208,1,"0, 840"
3922,209,1,"0, 846"
3922,210,1,"0, 849"
3922,211,1,"0, 939"
3922,212,1,"0, 945"
3924,213,1,"0, 233"
3924,214,1,"0, 246"
3924,215,1,"0, 262"
3924,216,1,"0, 538"
3924,217,4,"0, 633;0, 1041;0, 1109;0, 1424"
3924,218,1,"0, 1384"
3924,219,1,"0, 1437"
3924,220,1,"0, 1461"
3924,221,1,"0, 2069"
3924,222,1,"1, 2"
3925,223,2,"0, 195;0, 1615"
3925,224,1,"0, 401"
3925,225,1,"0, 432"
3925,226,1,"0, 453"
3925,227,1,"0, 464"
3925,228,1,"0, 480"
3925,229,2,"0, 639;0, 1668"
3925,230,2,"0, 668;0, 1687"
3925,231,2,"0, 818;0, 1713"
3925,232,2,"0, 943;0, 1757"
3925,233,2,"0, 988;0, 1793"
3925,234,2,"0, 989;0, 1794"
3925,235,1,"0, 1063"
3925,236,2,"0, 1328;0, 1879"
3925,237,2,"0, 1584;0, 1953"
3925,238,1,"0, 1598"
3925,239,1,"0, 1606"
3925,240,1,"0, 1613"
3925,241,1,"0, 1613"
3925,242,1,"0, 1646"
3925,243,1,"0, 1648"
3925,244,1,"0, 1667"
3925,245,1,"0, 1693"
3925,246,1,"0, 1711"
3925,247,1,"0, 1716"
