docID,wordID,frequency,hitlist
2789,0,1,"1, 1"
2789,1,1,"1, 2"
2790,2,6,"3, 0;0, 102;0, 112;0, 129;0, 144;0, 162"
2790,3,3,"0, 7;0, 97;0, 104"
2790,4,2,"0, 8;0, 98"
2790,5,2,"0, 109;0, 159"
2790,6,2,"0, 110;0, 160"
2790,7,5,"0, 169;0, 176;0, 200;0, 240;0, 280"
2790,8,4,"0, 184;0, 248;0, 287;0, 296"
2790,9,1,"0, 257"
2790,10,1,"0, 258"
2790,11,1,"0, 301"
2790,12,1,"0, 302"
2790,13,2,"0, 308;0, 315"
2790,14,1,"0, 317"
2790,15,1,"0, 319"
2790,16,2,"0, 325;0, 331"
2790,17,1,"0, 332"
2792,18,1,"0, 259"
2793,19,1,"0, 195"
2793,20,2,"0, 347;0, 377"
2793,21,1,"0, 463"
2793,22,1,"0, 483"
2794,23,1,"0, 1703"
2794,24,1,"0, 1963"
2794,25,1,"0, 2451"
2795,26,1,"0, 49"
2795,27,2,"0, 286;0, 1564"
2795,28,1,"0, 331"
2795,29,1,"0, 350"
2795,30,1,"0, 351"
2795,31,1,"0, 650"
2795,32,1,"0, 770"
2795,33,7,"0, 803;0, 1660;0, 1710;0, 1750;0, 2293;0, 2407;0, 2561"
2795,34,1,"0, 1058"
2795,35,1,"0, 1116"
2795,36,1,"0, 1255"
2795,37,1,"0, 1564"
2795,38,1,"0, 1792"
2795,39,2,"0, 1794;0, 1827"
2795,40,1,"0, 1903"
2795,41,1,"0, 2122"
2795,42,1,"0, 2742"
2795,43,1,"1, 1"
2795,44,1,"1, 2"
2796,45,1,"0, 236"
2796,46,1,"0, 280"
2796,47,1,"0, 630"
2796,48,1,"0, 650"
2796,49,1,"0, 817"
2796,50,1,"1, 3"
2797,51,1,"0, 123"
2797,52,1,"0, 289"
2797,53,1,"0, 982"
2797,54,1,"0, 997"
2797,55,1,"0, 1199"
2797,56,1,"1, 3"
2798,57,1,"0, 94"
2798,58,1,"0, 363"
