docID,wordID,frequency,hitlist
249,0,1,"0, 4880"
249,1,1,"0, 4907"
249,2,1,"0, 4927"
249,3,1,"0, 4976"
249,4,1,"0, 4990"
249,5,1,"0, 5030"
249,6,1,"1, 1"
249,7,1,"1, 2"
250,8,1,"3, 1"
250,9,1,"0, 5"
250,10,1,"0, 25"
250,11,1,"0, 42"
250,12,2,"0, 134;0, 191"
250,13,1,"0, 351"
250,14,1,"2, 1"
250,15,1,"1, 1"
250,16,1,"1, 2"
251,17,2,"3, 2;0, 2"
252,18,1,"0, 31"
252,19,1,"0, 32"
252,20,1,"0, 44"
252,21,2,"0, 191;0, 206"
252,22,2,"0, 192;0, 207"
252,23,2,"0, 270;0, 322"
252,24,1,"0, 335"
252,25,5,"0, 688;0, 722;0, 779;0, 922;0, 1079"
252,26,5,"0, 723;0, 726;0, 780;0, 884;0, 892"
252,27,2,"0, 821;0, 877"
252,28,1,"0, 898"
252,29,1,"0, 902"
252,30,1,"0, 906"
252,31,1,"0, 1176"
252,32,1,"0, 1254"
253,33,12,"3, 3;0, 5;0, 193;0, 291;0, 415;0, 1555;0, 1570;0, 2062;0, 2250;0, 2271;0, 2329;0, 2776"
253,34,2,"0, 3;0, 2621"
253,35,1,"0, 41"
253,36,1,"0, 49"
253,37,1,"0, 75"
253,38,1,"0, 108"
253,39,1,"0, 118"
253,40,1,"0, 143"
253,41,1,"0, 154"
253,42,1,"0, 225"
253,43,1,"0, 232"
253,44,1,"0, 258"
253,45,1,"0, 263"
253,46,1,"0, 265"
253,47,1,"0, 290"
253,48,1,"0, 660"
253,49,3,"0, 720;0, 731;0, 744"
253,50,2,"0, 738;0, 792"
253,51,1,"0, 742"
253,52,1,"0, 817"
253,53,2,"0, 977;0, 1583"
253,54,3,"0, 1016;0, 1455;0, 1487"
253,55,1,"0, 1139"
253,56,1,"0, 1160"
253,57,1,"0, 1236"
253,58,1,"0, 1259"
253,59,1,"0, 1267"
253,60,2,"0, 1373;0, 1482"
253,61,4,"0, 1426;0, 2000;0, 2285;0, 2390"
253,62,2,"0, 1447;0, 2021"
253,63,3,"0, 1684;0, 2350;0, 2381"
253,64,1,"0, 1702"
253,65,2,"0, 1800;0, 1891"
253,66,1,"0, 1841"
253,67,1,"0, 1848"
253,68,1,"0, 1852"
253,69,1,"0, 1903"
253,70,1,"0, 1910"
253,71,1,"0, 2151"
253,72,1,"0, 2154"
253,73,1,"0, 2156"
253,74,1,"0, 2275"
253,75,1,"0, 2305"
253,76,1,"0, 2311"
253,77,1,"0, 2371"
253,78,1,"0, 2392"
253,79,1,"0, 2425"
253,80,3,"0, 2430;0, 2487;0, 2806"
253,81,1,"0, 2466"
253,82,1,"0, 2506"
253,83,1,"0, 2529"
253,84,1,"0, 2545"
253,85,1,"0, 2752"
253,86,1,"0, 2824"
253,87,1,"0, 2879"
253,88,1,"1, 2"
254,89,1,"0, 28"
254,90,1,"0, 32"
254,91,1,"0, 408"
254,92,1,"0, 515"
254,93,2,"0, 517;1, 1"
254,94,1,"1, 2"
255,95,1,"0, 54"
255,96,1,"0, 172"
255,97,1,"0, 286"
255,98,1,"0, 294"
255,99,1,"0, 295"
255,100,1,"0, 297"
255,101,1,"0, 312"
255,102,1,"1, 2"
256,103,1,"0, 37"
256,104,1,"0, 177"
256,105,1,"0, 230"
256,106,1,"0, 293"
256,107,1,"0, 351"
256,108,1,"0, 356"
256,109,2,"0, 367;0, 459"
256,110,1,"0, 453"
256,111,1,"0, 632"
256,112,1,"0, 701"
256,113,1,"0, 808"
256,114,1,"0, 819"
256,115,1,"0, 997"
256,116,1,"0, 1004"
256,117,1,"1, 1"
257,118,1,"0, 17"
257,119,1,"0, 23"
257,120,4,"0, 96;0, 464;0, 500;0, 595"
257,121,1,"0, 101"
257,122,1,"0, 143"
257,123,2,"0, 179;0, 205"
257,124,1,"0, 216"
257,125,1,"0, 217"
257,126,1,"0, 251"
257,127,1,"0, 263"
257,128,1,"0, 282"
257,129,1,"0, 286"
257,130,1,"0, 291"
257,131,1,"0, 472"
257,132,1,"0, 569"
257,133,1,"0, 621"
257,134,1,"0, 622"
257,135,1,"0, 636"
258,136,1,"0, 2"
258,137,1,"0, 3"
258,138,1,"0, 387"
258,139,1,"0, 648"
258,140,1,"0, 930"
258,141,1,"0, 1111"
258,142,2,"0, 1112;0, 1169"
258,143,1,"0, 1206"
258,144,1,"1, 1"
259,145,1,"0, 16"
259,146,1,"0, 26"
259,147,1,"0, 68"
259,148,1,"0, 99"
259,149,1,"1, 1"
259,150,1,"1, 2"
260,151,7,"3, 1;0, 100;0, 217;0, 628;0, 849;0, 1106;0, 1312"
260,152,4,"0, 10;0, 92;0, 500;0, 1346"
260,153,1,"0, 18"
260,154,3,"0, 25;0, 737;0, 1091"
260,155,1,"0, 40"
260,156,1,"0, 47"
260,157,1,"0, 49"
260,158,1,"0, 54"
260,159,1,"0, 57"
260,160,1,"0, 73"
260,161,1,"0, 98"
260,162,3,"0, 137;0, 892;0, 958"
260,163,2,"0, 231;0, 231"
260,164,1,"0, 251"
260,165,1,"0, 269"
260,166,1,"0, 270"
260,167,1,"0, 406"
260,168,1,"0, 421"
260,169,1,"0, 462"
260,170,1,"0, 475"
260,171,1,"0, 556"
260,172,1,"0, 600"
260,173,1,"0, 731"
260,174,1,"0, 738"
260,175,1,"0, 741"
260,176,1,"0, 751"
260,177,1,"0, 774"
260,178,1,"0, 851"
260,179,1,"0, 855"
260,180,1,"0, 856"
260,181,1,"0, 872"
260,182,1,"0, 879"
260,183,1,"0, 888"
260,184,1,"0, 912"
260,185,1,"0, 915"
260,186,2,"0, 986;0, 1008"
260,187,1,"0, 1088"
260,188,1,"0, 1092"
260,189,1,"0, 1104"
260,190,1,"0, 1342"
260,191,1,"0, 1347"
260,192,1,"1, 1"
260,193,1,"1, 3"
261,194,1,"0, 25"
261,195,1,"1, 1"
261,196,1,"1, 2"
262,197,4,"3, 1;0, 2;0, 203;1, 1"
262,198,3,"3, 2;0, 3;1, 2"
262,199,1,"0, 12"
262,200,3,"0, 15;0, 65;0, 102"
262,201,5,"0, 15;0, 23;0, 59;0, 65;0, 102"
262,202,1,"0, 31"
262,203,1,"0, 37"
262,204,1,"0, 39"
262,205,1,"0, 56"
262,206,2,"0, 68;0, 89"
262,207,2,"0, 91;0, 104"
262,208,2,"0, 91;0, 105"
262,209,1,"0, 93"
262,210,1,"0, 176"
262,211,1,"0, 183"
262,212,1,"0, 207"
263,213,1,"3, 0"
263,214,1,"3, 5"
263,215,1,"3, 6"
263,216,1,"0, 31"
263,217,1,"1, 2"
