docID,wordID,frequency,hitlist
3779,0,1,"0, 688"
3779,1,1,"0, 848"
3779,2,1,"0, 855"
3779,3,1,"0, 856"
3779,4,1,"0, 858"
3779,5,1,"0, 1207"
3779,6,1,"0, 1309"
3779,7,1,"0, 1311"
3779,8,1,"0, 1600"
3779,9,1,"0, 1601"
3779,10,1,"0, 1602"
3779,11,1,"0, 1603"
3779,12,1,"0, 1606"
3779,13,1,"0, 1607"
3779,14,1,"0, 1646"
3779,15,1,"0, 1795"
3779,16,1,"0, 1807"
3779,17,1,"0, 1865"
3779,18,1,"0, 2073"
3779,19,1,"0, 2108"
3781,20,1,"0, 95"
3781,21,1,"0, 123"
3781,22,1,"0, 139"
3781,23,1,"0, 140"
3781,24,1,"0, 219"
3781,25,1,"1, 1"
3781,26,1,"1, 2"
3783,27,1,"0, 3"
3783,28,1,"0, 109"
3783,29,1,"0, 206"
3783,30,2,"0, 321;0, 328"
3783,31,1,"0, 326"
3783,32,3,"0, 460;0, 594;0, 652"
3783,33,1,"0, 491"
3783,34,2,"0, 491;0, 622"
3783,35,2,"0, 493;0, 624"
3783,36,1,"0, 495"
3783,37,2,"0, 495;0, 630"
3783,38,1,"0, 503"
3783,39,1,"0, 505"
3783,40,2,"0, 507;0, 718"
3783,41,2,"0, 511;0, 654"
3783,42,1,"0, 528"
3783,43,1,"0, 590"
3783,44,1,"0, 626"
3783,45,5,"0, 628;0, 642;0, 704;0, 712;0, 720"
3783,46,1,"0, 638"
3783,47,1,"0, 642"
3783,48,2,"0, 667;0, 690"
3783,49,2,"0, 671;0, 694"
3783,50,1,"0, 686"
3783,51,1,"0, 688"
3783,52,1,"0, 759"
3783,53,1,"0, 789"
3783,54,1,"1, 2"
3784,55,1,"0, 202"
3784,56,1,"0, 371"
3784,57,1,"0, 374"
3784,58,1,"0, 650"
3784,59,1,"0, 1078"
3784,60,1,"0, 1079"
3784,61,1,"0, 1255"
3784,62,1,"1, 1"
3784,63,1,"1, 2"
3785,64,1,"0, 45"
3785,65,1,"0, 81"
3785,66,3,"0, 88;0, 126;0, 3325"
3785,67,1,"0, 1959"
3785,68,2,"0, 2473;0, 2506"
3785,69,1,"0, 2538"
3785,70,1,"0, 3067"
3785,71,1,"1, 2"
3786,72,1,"0, 362"
3786,73,1,"0, 571"
3786,74,1,"0, 1117"
3786,75,1,"0, 1183"
3786,76,1,"0, 1209"
3786,77,1,"0, 1223"
3786,78,1,"0, 1258"
3786,79,1,"1, 2"
3787,80,1,"0, 148"
3788,81,1,"0, 422"
3788,82,1,"0, 424"
3788,83,1,"0, 426"
3788,84,1,"1, 1"
3788,85,1,"1, 2"
3789,86,1,"0, 149"
