docID,wordID,frequency,hitlist
4622,0,1,"0, 325"
4622,1,1,"0, 329"
4622,2,1,"1, 2"
4623,3,1,"0, 671"
4623,4,1,"0, 672"
4624,5,4,"3, 3;0, 3;0, 27;0, 829"
4624,6,2,"0, 13;1, 1"
4624,7,6,"0, 826;0, 835;0, 840;0, 908;0, 962;0, 1081"
4624,8,1,"0, 834"
4624,9,1,"0, 838"
4624,10,1,"0, 839"
4624,11,1,"0, 942"
4624,12,1,"0, 985"
4624,13,1,"0, 994"
4624,14,1,"0, 1001"
4624,15,1,"0, 1011"
4624,16,1,"0, 1052"
4624,17,1,"0, 1299"
4624,18,1,"0, 1583"
4624,19,2,"0, 1588;0, 1596"
4625,20,1,"0, 581"
4625,21,2,"0, 998;0, 1000"
4625,22,1,"1, 3"
4626,23,1,"0, 220"
4626,24,1,"0, 228"
4626,25,2,"0, 231;0, 327"
4626,26,2,"0, 235;0, 272"
4626,27,1,"0, 285"
4626,28,1,"0, 345"
4627,29,1,"0, 479"
4628,30,9,"3, 8;0, 7;0, 441;0, 589;0, 673;0, 994;0, 1057;0, 1257;0, 1620"
4628,31,8,"0, 3;0, 243;0, 424;0, 567;0, 861;0, 920;0, 1011;0, 1271"
4628,32,6,"0, 36;0, 74;0, 166;0, 1163;0, 1342;0, 1711"
4628,33,5,"0, 73;0, 112;0, 171;0, 186;0, 299"
4628,34,3,"0, 125;0, 697;0, 1698"
4628,35,2,"0, 191;0, 210"
4628,36,1,"0, 205"
4628,37,1,"0, 408"
4628,38,1,"0, 414"
4628,39,1,"0, 476"
4628,40,4,"0, 572;0, 1005;0, 1040;0, 1061"
4628,41,1,"0, 645"
4628,42,1,"0, 725"
4628,43,1,"0, 815"
4628,44,2,"0, 1032;0, 1259"
4628,45,1,"0, 1187"
4628,46,1,"0, 1306"
4628,47,2,"0, 1330;0, 1335"
4628,48,1,"0, 1558"
4628,49,1,"0, 1587"
4628,50,1,"0, 1734"
4628,51,1,"0, 1737"
4628,52,1,"0, 1757"
4629,53,1,"0, 570"
4629,54,1,"0, 632"
4629,55,1,"0, 885"
4629,56,1,"0, 888"
4629,57,1,"0, 952"
4629,58,1,"0, 961"
4629,59,1,"0, 965"
4629,60,2,"0, 967;0, 970"
4629,61,1,"0, 1012"
4629,62,9,"0, 1075;0, 1608;0, 1650;0, 1692;0, 1733;0, 1775;0, 1848;0, 1881;0, 1937"
4629,63,9,"0, 1080;0, 1613;0, 1655;0, 1697;0, 1738;0, 1780;0, 1853;0, 1886;0, 1942"
4629,64,1,"0, 1083"
4629,65,1,"0, 1088"
4629,66,1,"0, 1093"
4629,67,1,"0, 1190"
4629,68,1,"0, 1368"
4629,69,1,"0, 1616"
4629,70,1,"0, 1621"
4629,71,1,"0, 1626"
4629,72,1,"0, 1658"
4629,73,1,"0, 1663"
4629,74,1,"0, 1668"
4629,75,1,"0, 1695"
4629,76,1,"0, 1700"
4629,77,1,"0, 1705"
4629,78,1,"0, 1710"
4629,79,2,"0, 1736;0, 1950"
4629,80,2,"0, 1741;0, 1945"
4629,81,1,"0, 1751"
4629,82,4,"0, 1802;0, 1815;0, 1830;0, 1871"
4629,83,1,"0, 1851"
4629,84,1,"0, 1856"
4629,85,1,"0, 1866"
4629,86,1,"0, 1884"
4629,87,1,"0, 1889"
