docID,wordID,frequency,hitlist
2492,0,4,"0, 7423;0, 7433;0, 7517;0, 7528"
2492,1,11,"0, 7431;0, 7439;0, 7443;0, 7462;0, 7464;0, 7466;0, 7481;0, 7483;0, 7501;0, 7522;0, 7548"
2492,2,1,"0, 7452"
2492,3,1,"0, 7464"
2492,4,1,"0, 7501"
2492,5,2,"0, 7531;0, 8150"
2492,6,1,"0, 7548"
2492,7,1,"0, 7561"
2492,8,1,"0, 7572"
2492,9,1,"0, 7674"
2492,10,5,"0, 7692;0, 7800;0, 7849;0, 8168;0, 8217"
2492,11,2,"0, 7783;0, 7794"
2492,12,2,"0, 7847;0, 8215"
2492,13,1,"0, 7989"
2492,14,1,"0, 8057"
2492,15,1,"0, 8077"
2492,16,1,"0, 8115"
2492,17,1,"0, 8116"
2492,18,1,"0, 8117"
2492,19,1,"0, 8118"
2492,20,2,"0, 8142;0, 8159"
2492,21,1,"0, 8298"
2492,22,1,"0, 8300"
2492,23,1,"0, 8356"
2492,24,1,"1, 3"
2493,25,3,"0, 172;0, 526;0, 587"
2493,26,1,"0, 176"
2493,27,1,"0, 224"
2493,28,1,"0, 412"
2493,29,1,"0, 670"
2494,30,1,"0, 321"
2494,31,1,"0, 396"
2494,32,4,"0, 536;0, 1151;0, 1236;0, 1379"
2494,33,1,"0, 709"
2494,34,1,"0, 1013"
2494,35,1,"0, 1226"
2494,36,5,"0, 1259;0, 1288;0, 1306;0, 1330;0, 1589"
2494,37,2,"0, 1290;0, 1293"
2494,38,2,"0, 1297;0, 1373"
2494,39,1,"0, 1431"
2494,40,2,"0, 1548;0, 1603"
2494,41,1,"0, 1606"
2494,42,1,"0, 1613"
2494,43,1,"0, 1615"
2496,44,1,"0, 12"
2496,45,1,"0, 41"
2496,46,1,"2, 13"
2496,47,1,"1, 1"
2497,48,1,"0, 486"
2497,49,2,"0, 542;0, 571"
2497,50,1,"0, 579"
2497,51,1,"0, 639"
2497,52,1,"0, 1065"
2497,53,1,"1, 2"
2498,54,1,"0, 7"
2498,55,2,"0, 46;0, 138"
2498,56,2,"0, 48;0, 140"
2498,57,1,"0, 84"
2498,58,1,"0, 87"
2498,59,1,"0, 89"
2498,60,1,"0, 176"
2498,61,3,"0, 191;0, 197;0, 678"
2498,62,7,"0, 192;0, 198;0, 272;0, 299;0, 326;0, 472;0, 679"
2498,63,1,"0, 255"
2498,64,3,"0, 256;0, 336;0, 434"
2498,65,2,"0, 744;1, 1"
2499,66,6,"3, 1;0, 13;0, 91;0, 183;0, 235;0, 309"
2499,67,1,"0, 156"
2499,68,2,"0, 176;0, 192"
2499,69,2,"0, 178;0, 192"
2499,70,1,"1, 1"
2499,71,1,"1, 2"
2500,72,1,"0, 11"
2500,73,1,"0, 13"
2500,74,1,"0, 448"
2500,75,1,"0, 539"
2501,76,1,"0, 100"
2501,77,2,"0, 216;0, 412"
2501,78,1,"0, 355"
2501,79,1,"0, 439"
2502,80,5,"0, 9;0, 73;0, 82;0, 319;0, 644"
2502,81,1,"0, 112"
2502,82,1,"0, 328"
2502,83,1,"0, 475"
2502,84,2,"0, 497;0, 542"
2502,85,1,"0, 521"
2502,86,1,"0, 547"
2502,87,1,"0, 554"
2503,88,1,"0, 186"
2503,89,1,"0, 233"
2504,90,6,"0, 18;0, 263;0, 289;0, 616;0, 931;0, 954"
2504,91,1,"0, 64"
2504,92,1,"0, 401"
2506,93,1,"0, 22"
2506,94,1,"0, 114"
2506,95,1,"0, 230"
2506,96,21,"0, 247;0, 284;0, 327;0, 691;0, 806;0, 818;0, 944;0, 1097;0, 1207;0, 1314;0, 1440;0, 1496;0, 1565;0, 1924;0, 2017;0, 2514;0, 2540;0, 2656;0, 3240;0, 3739;0, 3846"
2506,97,1,"0, 416"
2506,98,3,"0, 590;0, 2070;0, 2553"
2506,99,1,"0, 630"
2506,100,1,"0, 1711"
2506,101,1,"0, 1771"
2506,102,2,"0, 1820;0, 1952"
2506,103,1,"0, 2139"
2506,104,1,"0, 2538"
2506,105,1,"0, 2578"
2506,106,1,"0, 2580"
2506,107,1,"0, 2770"
2506,108,1,"0, 2826"
2506,109,1,"0, 2938"
2506,110,1,"0, 3249"
2506,111,1,"0, 3569"
2506,112,1,"0, 3894"
2507,113,6,"3, 1;0, 1;0, 54;0, 176;0, 233;0, 267"
2507,114,1,"0, 120"
2507,115,1,"0, 308"
2507,116,1,"0, 508"
2507,117,1,"1, 2"
2508,118,1,"0, 32"
2508,119,4,"0, 39;0, 148;0, 566;0, 591"
2508,120,1,"0, 69"
2508,121,1,"0, 71"
2508,122,1,"0, 73"
2508,123,1,"0, 74"
2508,124,1,"0, 87"
2508,125,1,"0, 96"
2508,126,2,"0, 97;0, 141"
2508,127,2,"0, 114;0, 126"
2508,128,1,"0, 130"
2508,129,1,"0, 138"
2508,130,1,"0, 220"
2508,131,3,"0, 234;0, 400;0, 427"
2508,132,1,"0, 272"
2508,133,1,"0, 372"
2508,134,1,"0, 389"
2508,135,1,"0, 543"
2508,136,1,"0, 552"
2509,137,4,"0, 193;0, 1125;0, 1726;0, 1786"
2509,138,1,"0, 933"
2509,139,1,"0, 950"
2509,140,1,"0, 1267"
2509,141,1,"0, 1983"
2509,142,1,"1, 1"
2510,143,1,"0, 578"
2510,144,2,"0, 748;0, 757"
2510,145,1,"0, 837"
2511,146,1,"0, 175"
2511,147,1,"0, 427"
2511,148,1,"0, 427"
2511,149,1,"0, 566"
2511,150,46,"0, 573;0, 860;0, 1070;0, 1092;0, 1234;0, 1455;0, 1473;0, 1645;0, 1653;0, 1660;0, 1668;0, 1674;0, 1684;0, 1816;0, 2425;0, 2434;0, 2441;0, 2447;0, 2456;0, 2468;0, 2477;0, 2489;0, 2498;0, 2501;0, 2509;0, 2623;0, 2654;0, 2776;0, 2781;0, 2788;0, 2795;0, 2804;0, 2811;0, 2818;0, 2824;0, 2832;0, 2964;0, 2973;0, 2975;0, 2982;0, 2991;0, 2993;0, 3032;0, 3066;0, 3105;0, 3146"
2511,151,2,"0, 732;0, 746"
2511,152,2,"0, 762;0, 843"
2511,153,1,"0, 774"
2511,154,1,"0, 787"
