docID,wordID,frequency,hitlist
3347,0,4,"0, 1019;0, 1024;0, 1077;0, 1141"
3347,1,1,"0, 1032"
3347,2,1,"0, 1138"
3347,3,1,"0, 1407"
3347,4,1,"0, 1509"
3347,5,1,"0, 1821"
3347,6,1,"0, 2084"
3347,7,1,"1, 1"
3347,8,1,"1, 2"
3348,9,1,"0, 257"
3348,10,2,"0, 677;0, 930"
3348,11,1,"0, 1171"
3349,12,1,"0, 6"
3349,13,3,"0, 29;0, 507;0, 1095"
3349,14,3,"0, 123;0, 138;0, 589"
3349,15,1,"0, 213"
3349,16,1,"0, 215"
3349,17,1,"0, 245"
3349,18,1,"0, 256"
3349,19,1,"0, 285"
3349,20,7,"0, 302;0, 528;0, 534;0, 632;0, 714;0, 874;0, 962"
3349,21,3,"0, 307;0, 1249;0, 1439"
3349,22,3,"0, 315;0, 1003;0, 1012"
3349,23,6,"0, 325;0, 463;0, 729;0, 951;0, 1225;0, 1346"
3349,24,1,"0, 410"
3349,25,1,"0, 438"
3349,26,1,"0, 581"
3349,27,1,"0, 643"
3349,28,1,"0, 726"
3349,29,1,"0, 853"
3349,30,1,"0, 877"
3349,31,1,"0, 888"
3349,32,2,"0, 955;0, 1339"
3349,33,1,"0, 1000"
3349,34,1,"0, 1041"
3349,35,1,"0, 1131"
3349,36,1,"0, 1203"
3349,37,1,"0, 1248"
3349,38,1,"0, 1477"
3350,39,2,"0, 12;0, 36"
3350,40,1,"0, 31"
3350,41,4,"0, 43;0, 1148;0, 1288;0, 1307"
3350,42,1,"0, 143"
3350,43,1,"0, 274"
3350,44,1,"0, 357"
3350,45,1,"0, 496"
3350,46,1,"0, 497"
3350,47,1,"0, 499"
3350,48,1,"0, 738"
3350,49,1,"0, 746"
3350,50,1,"0, 783"
3350,51,1,"0, 1141"
3350,52,2,"0, 1150;0, 1285"
3350,53,1,"0, 1159"
3350,54,1,"0, 1162"
3350,55,1,"0, 1173"
3350,56,2,"0, 1185;0, 1254"
3350,57,1,"0, 1237"
3350,58,2,"0, 1329;0, 1548"
3350,59,1,"0, 1405"
3350,60,1,"0, 1452"
3350,61,1,"0, 1516"
3350,62,1,"0, 1529"
3351,63,1,"1, 1"
3351,64,1,"1, 2"
3352,65,1,"0, 38"
3352,66,1,"0, 44"
3352,67,1,"0, 856"
3352,68,1,"0, 868"
3352,69,1,"0, 1618"
3352,70,1,"0, 1647"
3355,71,3,"0, 59;0, 278;0, 325"
3355,72,1,"0, 156"
3355,73,1,"0, 287"
3355,74,4,"0, 289;0, 328;0, 355;0, 383"
3355,75,4,"0, 290;0, 315;0, 333;0, 357"
3355,76,1,"0, 317"
3355,77,1,"0, 318"
3355,78,1,"0, 424"
3355,79,1,"0, 455"
3355,80,1,"0, 456"
3355,81,1,"0, 473"
3355,82,1,"0, 474"
3355,83,1,"0, 515"
3355,84,1,"0, 559"
3355,85,1,"0, 562"
3355,86,1,"0, 673"
3355,87,1,"0, 699"
3355,88,1,"0, 709"
3355,89,1,"0, 865"
3355,90,1,"0, 869"
3355,91,1,"2, 1"
3356,92,1,"0, 406"
3356,93,1,"0, 409"
3357,94,6,"0, 118;0, 507;0, 887;0, 895;0, 943;0, 1251"
3357,95,3,"0, 134;0, 746;0, 760"
3357,96,5,"0, 142;0, 156;0, 768;0, 790;0, 853"
3357,97,3,"0, 149;0, 783;0, 846"
3357,98,5,"0, 264;0, 306;0, 490;0, 536;0, 926"
3357,99,1,"0, 335"
