docID,wordID,frequency,hitlist
3138,0,2,"0, 1427;0, 1482"
3138,1,1,"0, 1462"
3138,2,1,"0, 1471"
3139,3,1,"0, 644"
3139,4,1,"1, 1"
3139,5,1,"1, 2"
3140,6,4,"0, 1;0, 704;0, 750;0, 846"
3140,7,1,"0, 9"
3140,8,1,"0, 233"
3140,9,1,"0, 668"
3140,10,1,"0, 905"
3140,11,1,"0, 911"
3140,12,1,"0, 960"
3140,13,1,"0, 967"
3140,14,1,"0, 979"
3140,15,1,"0, 986"
3140,16,1,"0, 1290"
3141,17,1,"0, 257"
3141,18,1,"0, 299"
3141,19,2,"0, 364;0, 463"
3141,20,1,"0, 367"
3141,21,1,"0, 385"
3141,22,1,"0, 453"
3141,23,1,"0, 473"
3142,24,2,"3, 0;0, 341"
3142,25,1,"0, 169"
3142,26,2,"0, 177;0, 179"
3142,27,1,"0, 197"
3142,28,1,"1, 1"
3142,29,1,"1, 2"
3143,30,1,"0, 26"
3144,31,1,"0, 3"
3144,32,3,"0, 631;0, 644;0, 752"
3144,33,1,"0, 652"
3144,34,3,"0, 761;0, 830;0, 2096"
3144,35,6,"0, 837;0, 858;0, 934;0, 993;0, 1047;0, 1083"
3144,36,1,"0, 964"
3144,37,1,"0, 966"
3144,38,2,"0, 1104;0, 1217"
3144,39,5,"0, 1223;0, 1410;0, 1424;0, 1463;0, 1533"
3144,40,1,"0, 1616"
3144,41,1,"0, 1698"
3144,42,8,"0, 1704;0, 1705;0, 1751;0, 1853;0, 1922;0, 1931;0, 1946;0, 2028"
3144,43,1,"0, 1788"
3144,44,1,"0, 1834"
3144,45,1,"0, 1904"
3144,46,1,"0, 1909"
3144,47,1,"0, 2076"
3144,48,1,"0, 2078"
3144,49,1,"0, 2145"
3145,50,1,"0, 73"
3145,51,1,"0, 152"
3145,52,1,"0, 156"
3145,53,1,"0, 188"
3145,54,1,"0, 256"
3145,55,1,"0, 301"
3145,56,1,"0, 335"
3145,57,1,"0, 342"
3145,58,1,"0, 401"
3145,59,1,"0, 544"
3145,60,1,"0, 588"
3145,61,1,"0, 669"
3145,62,4,"0, 804;0, 837;0, 862;0, 1178"
3145,63,1,"0, 1378"
3146,64,1,"0, 94"
3146,65,1,"0, 512"
3147,66,1,"1, 1"
3147,67,1,"1, 2"
3149,68,1,"0, 38"
3149,69,1,"0, 52"
3149,70,1,"0, 54"
3149,71,1,"0, 580"
3149,72,2,"0, 604;0, 614"
3150,73,1,"0, 47"
3150,74,1,"0, 2090"
3151,75,1,"0, 160"
3151,76,2,"0, 166;0, 174"
3151,77,2,"0, 166;0, 174"
3151,78,3,"0, 178;0, 193;0, 200"
3151,79,1,"0, 182"
3151,80,1,"0, 184"
3151,81,1,"0, 195"
3151,82,3,"0, 297;0, 479;0, 512"
3151,83,1,"0, 382"
3151,84,8,"0, 389;0, 419;0, 439;0, 471;0, 489;0, 524;0, 723;0, 748"
3151,85,1,"0, 417"
3151,86,1,"0, 421"
3151,87,1,"0, 432"
3151,88,1,"0, 469"
3151,89,1,"0, 482"
3151,90,1,"0, 522"
3151,91,1,"0, 691"
3151,92,1,"0, 704"
3151,93,1,"0, 716"
3151,94,1,"0, 746"
3151,95,1,"0, 932"
3151,96,2,"0, 939;0, 971"
3151,97,1,"0, 969"
3153,98,1,"0, 7"
3153,99,1,"0, 141"
3153,100,1,"1, 2"
3154,101,2,"0, 2;0, 22"
3154,102,2,"0, 97;0, 121"
3154,103,3,"0, 175;0, 284;0, 308"
3154,104,3,"0, 330;0, 331;0, 416"
3154,105,1,"0, 510"
3154,106,2,"0, 569;0, 628"
3154,107,2,"0, 774;0, 793"
3154,108,1,"0, 824"
3154,109,2,"0, 865;0, 960"
3154,110,1,"0, 951"
3154,111,4,"0, 977;0, 978;0, 1038;0, 1050"
3154,112,2,"0, 1090;0, 1114"
3154,113,2,"0, 1160;0, 1173"
3154,114,1,"0, 1212"
3154,115,2,"0, 1515;0, 1557"
3154,116,1,"0, 1637"
3154,117,2,"0, 1722;0, 1771"
3154,118,2,"0, 1819;0, 1869"
3154,119,3,"0, 1886;0, 1914;0, 1941"
3154,120,1,"0, 1928"
3154,121,1,"0, 1929"
3154,122,1,"0, 1931"
3154,123,1,"0, 1932"
3154,124,2,"0, 1989;0, 2034"
3154,125,1,"0, 2016"
3154,126,3,"0, 2070;0, 2123;0, 2151"
3154,127,2,"0, 2108;0, 2121"
3155,128,1,"0, 2"
3155,129,1,"0, 594"
3155,130,2,"0, 646;0, 683"
3155,131,1,"0, 789"
3155,132,1,"0, 800"
3155,133,1,"0, 860"
3155,134,1,"0, 870"
3155,135,1,"0, 1175"
3155,136,1,"0, 1198"
3155,137,1,"0, 1200"
3155,138,1,"0, 1255"
3155,139,1,"0, 1315"
3155,140,1,"0, 1316"
3155,141,1,"0, 1555"
3155,142,1,"0, 1588"
3155,143,1,"0, 1612"
3155,144,1,"0, 1651"
3155,145,1,"0, 1701"
3155,146,2,"0, 1763;0, 1793"
3155,147,1,"0, 1774"
3155,148,1,"0, 1775"
3155,149,1,"0, 1777"
3155,150,1,"0, 1778"
3155,151,1,"0, 1826"
3156,152,1,"0, 781"
