docID,wordID,frequency,hitlist
4430,0,1,"1, 1"
4430,1,1,"1, 2"
4431,2,1,"0, 52"
4431,3,1,"1, 2"
4432,4,1,"1, 2"
4433,5,1,"0, 141"
4434,6,1,"0, 295"
4434,7,1,"0, 401"
4434,8,1,"0, 469"
4434,9,2,"0, 581;0, 613"
4434,10,1,"0, 602"
4434,11,2,"0, 743;0, 798"
4434,12,1,"0, 750"
4434,13,1,"0, 808"
4434,14,1,"0, 813"
4434,15,1,"0, 859"
4434,16,1,"0, 945"
4435,17,1,"0, 34"
4435,18,1,"0, 368"
4435,19,1,"0, 382"
4435,20,1,"0, 385"
4435,21,1,"0, 498"
4435,22,1,"0, 522"
4435,23,1,"0, 706"
4435,24,1,"0, 771"
4435,25,1,"0, 860"
4436,26,4,"0, 29;0, 53;0, 282;0, 535"
4436,27,5,"0, 33;0, 323;0, 468;0, 647;0, 1368"
4436,28,1,"0, 59"
4436,29,2,"0, 195;0, 1000"
4436,30,1,"0, 366"
4436,31,1,"0, 461"
4436,32,1,"0, 515"
4436,33,1,"0, 517"
4436,34,1,"0, 519"
4436,35,1,"0, 899"
4436,36,1,"0, 920"
4436,37,1,"0, 1069"
4436,38,1,"0, 1097"
4436,39,1,"0, 1310"
4436,40,1,"0, 1313"
4437,41,1,"0, 450"
4437,42,1,"1, 1"
4437,43,1,"1, 3"
4438,44,2,"0, 29;0, 38"
4438,45,1,"0, 116"
4438,46,1,"0, 489"
4438,47,1,"0, 848"
4438,48,2,"0, 969;0, 1033"
4438,49,1,"0, 1522"
4438,50,1,"0, 1881"
4438,51,1,"0, 1940"
4438,52,1,"0, 2342"
4438,53,1,"1, 2"
4440,54,1,"0, 297"
4441,55,9,"3, 2;0, 2;0, 26;0, 48;0, 60;0, 87;0, 101;0, 152;0, 173"
4441,56,5,"3, 8;0, 8;0, 114;0, 143;0, 160"
4441,57,3,"0, 16;0, 40;0, 91"
4441,58,1,"0, 29"
4441,59,2,"0, 107;0, 168"
4441,60,2,"0, 131;1, 1"
4441,61,1,"0, 154"
4441,62,1,"0, 177"
4442,63,2,"0, 6;0, 503"
4442,64,2,"0, 382;0, 520"
4442,65,1,"0, 481"
4442,66,1,"0, 494"
4442,67,1,"0, 506"
4443,68,4,"0, 84;0, 288;0, 458;0, 905"
4443,69,4,"0, 115;0, 206;0, 376;0, 823"
4443,70,4,"0, 133;0, 224;0, 394;0, 841"
4443,71,12,"0, 154;0, 157;0, 172;0, 245;0, 248;0, 263;0, 415;0, 418;0, 433;0, 862;0, 865;0, 880"
4443,72,4,"0, 353;0, 460;0, 800;0, 907"
4443,73,4,"0, 360;0, 368;0, 807;0, 815"
4443,74,2,"0, 362;0, 809"
4443,75,2,"0, 639;0, 643"
4443,76,1,"0, 644"
4443,77,1,"0, 722"
4443,78,1,"0, 726"
4443,79,1,"0, 728"
4443,80,1,"0, 741"
4443,81,1,"0, 748"
4443,82,1,"0, 755"
4443,83,1,"0, 757"
4443,84,1,"0, 763"
4443,85,1,"0, 769"
4443,86,1,"0, 781"
4443,87,1,"0, 969"
4443,88,1,"1, 2"
4444,89,2,"0, 43;0, 1918"
4444,90,2,"0, 44;0, 1919"
4444,91,1,"0, 180"
4444,92,1,"0, 192"
4444,93,1,"0, 227"
4444,94,1,"0, 319"
4444,95,3,"0, 327;0, 429;0, 634"
4444,96,1,"0, 338"
4444,97,1,"0, 343"
4444,98,4,"0, 344;0, 422;0, 482;0, 509"
4444,99,1,"0, 412"
4444,100,3,"0, 448;0, 523;0, 610"
4444,101,1,"0, 558"
4444,102,1,"0, 566"
4444,103,2,"0, 584;0, 661"
4444,104,2,"0, 600;0, 657"
4444,105,3,"0, 735;0, 756;0, 782"
4444,106,1,"0, 975"
4444,107,6,"0, 976;0, 1025;0, 1163;0, 1224;0, 1288;0, 1858"
4444,108,1,"0, 1070"
4444,109,3,"0, 1124;0, 1170;0, 1314"
4444,110,1,"0, 1197"
4444,111,2,"0, 1300;0, 1944"
4444,112,1,"0, 1324"
4444,113,4,"0, 1327;0, 1412;0, 1508;0, 1761"
4444,114,1,"0, 1606"
4444,115,1,"0, 1939"
4445,116,1,"1, 2"
4446,117,2,"0, 94;0, 134"
4446,118,10,"0, 351;0, 364;0, 786;0, 912;0, 1538;0, 1884;0, 1934;0, 2453;0, 3002;0, 3078"
4446,119,1,"0, 507"
4446,120,1,"0, 1300"
4446,54,1,"0, 1446"
4446,121,1,"0, 2117"
4446,122,1,"0, 2133"
4446,123,1,"0, 2528"
4446,124,1,"0, 2881"
4446,125,1,"0, 3449"
4446,126,1,"0, 3460"
4446,127,1,"1, 2"
4447,128,1,"0, 935"
4447,129,1,"0, 976"
4447,130,2,"0, 1410;0, 1416"
4447,131,2,"0, 1648;0, 1666"
4447,132,1,"0, 1689"
4447,133,2,"0, 1691;0, 1868"
4447,134,3,"0, 1823;0, 1830;0, 1864"
4447,135,1,"0, 1832"
4447,136,1,"0, 1866"
4447,137,1,"1, 1"
4447,138,1,"1, 2"
4448,139,1,"0, 6"
4448,140,1,"0, 406"
4448,141,1,"0, 477"
4448,142,1,"0, 484"
4448,143,1,"0, 497"
4448,144,5,"0, 679;0, 681;0, 1152;0, 1245;0, 1248"
4448,145,1,"0, 1239"
4448,146,1,"0, 1286"
4448,147,1,"0, 1290"
4448,148,1,"0, 1294"
4448,149,1,"0, 1316"
4449,150,1,"0, 195"
4449,151,1,"0, 246"
4449,152,1,"0, 781"
4449,153,1,"0, 783"
4449,154,1,"0, 810"
4449,155,1,"0, 853"
4449,156,1,"0, 853"
4449,157,1,"0, 853"
4449,158,1,"0, 1053"
4449,159,1,"0, 1053"
4449,160,1,"1, 1"
4450,161,1,"0, 52"
4450,162,1,"0, 436"
4450,163,1,"0, 436"
4450,164,1,"2, 7"
4450,165,1,"1, 2"
4451,166,17,"3, 3;0, 3;0, 18;0, 109;0, 116;0, 174;0, 332;0, 386;0, 700;0, 717;0, 845;0, 939;0, 991;0, 1036;0, 1196;0, 1219;0, 1294"
4451,167,4,"0, 92;0, 553;0, 605;0, 1365"
4451,168,3,"0, 106;0, 114;0, 937"
4451,169,3,"0, 106;0, 114;0, 937"
4451,170,1,"0, 122"
4451,171,1,"0, 126"
4451,172,2,"0, 256;0, 649"
4451,173,1,"0, 297"
4451,174,1,"0, 299"
4451,175,2,"0, 419;0, 586"
4451,176,1,"0, 505"
4451,177,3,"0, 532;0, 832;0, 1356"
4451,178,2,"0, 534;0, 917"
4451,179,3,"0, 544;0, 706;0, 1093"
4451,180,3,"0, 545;0, 707;0, 1094"
4451,181,1,"0, 591"
4451,182,1,"0, 763"
4451,183,5,"0, 824;0, 835;0, 886;0, 915;0, 1360"
4451,184,1,"0, 875"
4451,185,1,"0, 1018"
4451,186,1,"0, 1027"
4451,187,1,"0, 1091"
4451,188,1,"0, 1093"
4451,189,1,"0, 1109"
4451,190,1,"0, 1131"
4451,191,1,"0, 1214"
4451,192,1,"0, 1234"
4451,193,1,"0, 1352"
4452,194,3,"3, 5;3, 10;1, 1"
4452,195,1,"0, 53"
4452,196,1,"0, 54"
4452,197,1,"0, 87"
4452,198,1,"2, 6"
4453,199,1,"0, 277"
4454,200,1,"0, 8"
4454,201,1,"0, 369"
4454,202,1,"0, 489"
4454,203,1,"0, 793"
4454,204,1,"0, 847"
4454,205,1,"0, 1164"
4454,206,1,"0, 1176"
4454,207,1,"1, 3"
4456,208,6,"0, 71;0, 108;0, 1495;0, 2766;0, 2942;0, 2955"
4456,209,3,"0, 245;0, 361;0, 381"
4456,210,1,"0, 246"
