docID,wordID,frequency,hitlist
4014,0,1,"0, 315"
4014,1,1,"0, 429"
4014,2,1,"0, 741"
4014,3,2,"0, 928;0, 2137"
4014,4,1,"0, 1041"
4014,5,1,"0, 1043"
4014,6,4,"0, 1412;0, 2173;0, 2273;1, 2"
4014,7,1,"0, 1915"
4014,8,1,"0, 2183"
4014,9,1,"0, 2229"
4014,10,1,"0, 2276"
4015,11,1,"0, 17"
4017,12,1,"0, 31"
4017,13,1,"0, 176"
4017,14,1,"0, 176"
4017,15,1,"0, 180"
4017,16,1,"0, 193"
4017,17,1,"0, 231"
4017,18,1,"0, 298"
4017,19,1,"0, 303"
4017,20,1,"0, 313"
4017,21,7,"0, 361;0, 416;0, 432;0, 516;0, 539;0, 593;0, 1008"
4017,22,1,"0, 362"
4017,23,1,"0, 381"
4017,24,1,"0, 422"
4017,25,1,"0, 452"
4017,26,1,"0, 457"
4017,27,1,"0, 464"
4017,28,1,"0, 472"
4017,29,1,"0, 494"
4017,30,1,"0, 667"
4017,31,1,"0, 695"
4017,32,1,"0, 700"
4017,33,1,"0, 775"
4017,34,1,"0, 828"
4017,35,1,"0, 829"
4017,36,1,"0, 841"
4017,37,1,"0, 932"
4017,38,1,"0, 1029"
4017,39,1,"0, 1036"
4017,40,1,"1, 2"
4018,41,10,"3, 5;0, 1;0, 38;0, 51;0, 82;0, 100;0, 129;0, 157;0, 278;0, 469"
4018,42,1,"1, 3"
4019,43,1,"0, 210"
4019,44,1,"1, 2"
4020,45,1,"0, 286"
4020,46,1,"0, 962"
4020,47,9,"0, 1367;0, 1429;0, 1685;0, 1700;0, 2332;0, 2351;0, 2401;0, 2424;0, 9254"
4020,48,1,"0, 1767"
4020,49,10,"0, 2629;0, 2659;0, 2668;0, 2723;0, 2762;0, 3240;0, 3337;0, 3805;0, 5405;0, 10257"
4020,50,18,"0, 2999;0, 3005;0, 5705;0, 5710;0, 5853;0, 5877;0, 6415;0, 6419;0, 6591;0, 6623;0, 6658;0, 6669;0, 6699;0, 6727;0, 6768;0, 6803;0, 6823;0, 6853"
4020,51,10,"0, 3070;0, 3114;0, 3120;0, 3512;0, 3536;0, 3661;0, 5153;0, 5190;0, 5385;0, 5812"
4020,52,1,"0, 3539"
4020,53,3,"0, 3617;0, 5783;0, 5807"
4020,54,1,"0, 3890"
4020,55,2,"0, 3891;0, 3909"
4020,56,2,"0, 3892;0, 3914"
4020,57,4,"0, 3904;0, 8060;0, 8092;0, 8456"
4020,58,1,"0, 3913"
4020,59,1,"0, 3928"
4020,60,2,"0, 3933;0, 3960"
4020,61,1,"0, 3992"
4020,62,1,"0, 3993"
4020,63,7,"0, 4250;0, 4293;0, 4327;0, 4445;0, 4533;0, 5755;0, 8898"
4020,64,14,"0, 4264;0, 4320;0, 4346;0, 4361;0, 4437;0, 4477;0, 4523;0, 5750;0, 5761;0, 5781;0, 5796;0, 5847;0, 10024;0, 10043"
4020,65,3,"0, 4266;0, 4479;0, 4547"
