docID,wordID,frequency,hitlist
3665,0,1,"1, 2"
3666,1,1,"0, 586"
3666,2,1,"0, 619"
3666,3,1,"1, 2"
3668,4,1,"0, 346"
3668,5,1,"0, 847"
3668,6,2,"0, 956;0, 1178"
3668,7,2,"0, 957;0, 1179"
3668,8,1,"0, 1237"
3668,9,1,"1, 2"
3669,10,1,"0, 270"
3669,11,1,"0, 429"
3669,12,1,"0, 448"
3669,13,1,"0, 929"
3669,14,1,"1, 2"
3670,15,1,"0, 53"
3670,16,1,"0, 124"
3670,17,1,"0, 142"
3670,18,1,"0, 168"
3670,19,1,"1, 2"
3671,20,2,"0, 11;1, 1"
3671,21,1,"0, 50"
3671,22,1,"0, 83"
3671,23,1,"0, 100"
3671,24,1,"0, 309"
3671,25,1,"0, 602"
3671,26,1,"0, 603"
3671,27,1,"0, 909"
3671,28,1,"0, 1016"
3671,29,1,"0, 1123"
3671,30,1,"0, 1124"
3671,31,2,"0, 1520;0, 1844"
3671,32,1,"0, 1574"
3671,33,1,"0, 1834"
3671,34,1,"0, 1869"
3671,35,1,"0, 1880"
3671,36,1,"0, 1913"
3671,37,1,"0, 2089"
3671,38,1,"0, 2199"
3672,39,2,"3, 0;0, 30"
3672,40,8,"0, 18;0, 50;0, 91;0, 156;0, 186;0, 206;0, 276;0, 314"
3672,41,1,"0, 183"
3672,42,1,"1, 2"
3673,43,1,"0, 112"
3673,44,1,"0, 153"
3673,45,1,"0, 385"
3673,46,1,"0, 388"
3673,47,1,"0, 460"
3673,48,1,"0, 644"
3673,49,1,"0, 698"
3673,50,1,"0, 706"
3673,51,1,"0, 717"
3673,52,2,"0, 907;0, 1020"
3673,53,1,"0, 908"
3673,54,1,"0, 979"
3674,55,1,"0, 8"
3674,56,1,"0, 41"
3674,57,1,"0, 42"
3674,58,1,"0, 44"
3674,59,2,"0, 811;1, 1"
3674,60,2,"0, 812;1, 2"
3674,61,6,"0, 814;0, 935;0, 941;0, 1037;0, 1099;0, 1165"
3674,62,6,"0, 816;0, 937;0, 998;0, 1039;0, 1101;0, 1167"
