wordID,docIDs,frequencies,hitlists
0,0;1;3;5;8;14;18,4;3;1;11;13;1;1,"3, 0|0, 62|0, 65|2, 1;0, 266|0, 318|2, 1;2, 7;0, 103|0, 127|0, 274|0, 278|0, 314|0, 586|0, 604|0, 724|0, 758|0, 906|2, 4;3, 7|0, 7|0, 19|0, 46|0, 59|0, 74|0, 278|0, 654|0, 950|0, 963|0, 983|0, 1295|2, 5;0, 748;2, 4"
1,0;6;10;11;19,2;1;1;1;1,"3, 1|0, 465;0, 905;0, 483;0, 115;0, 231"
2,0,1,"3, 2"
3,0;5,1;2,"3, 4;0, 143|0, 246"
4,0;1;5;6;8;10;18,1;2;1;3;1;1;1,"0, 0;0, 17|0, 771;0, 26;0, 21|0, 641|0, 1283;0, 21;0, 0;0, 282"
5,0;14,1;1,"0, 2;0, 370"
6,0,1,"0, 3"
7,0;1;6;8,1;1;3;1,"0, 5;0, 776;0, 26|0, 646|0, 1288;0, 26"
8,0,2,"0, 6|0, 1017"
9,0,4,"0, 7|0, 296|0, 369|0, 1018"
10,0;7;8;16;18;19,4;1;1;1;2;1,"0, 9|0, 287|0, 420|0, 1020;0, 602;0, 347;0, 862;3, 18|0, 18;0, 1619"
11,0,3,"0, 10|0, 343|0, 1021"
12,0;1;5;10;16,5;1;1;1;2,"0, 12|0, 17|0, 24|0, 248|0, 1023;0, 52;0, 952;0, 59;0, 1090|0, 1131"
13,0;5;6;7;9;10;11;14;16;18;19,2;1;8;1;4;4;3;2;1;1;4,"0, 16|0, 961;0, 681;0, 506|0, 524|0, 666|0, 685|0, 700|0, 733|0, 870|0, 1171;0, 273;0, 294|0, 526|0, 870|0, 1327;0, 6|0, 30|0, 394|0, 608;0, 324|0, 1594|0, 1655;0, 137|0, 826;0, 1134;0, 203;0, 34|0, 556|0, 1659|0, 1740"
14,0;2;4;5;6;7;8;9;10;11;12;14;16;18;19,2;1;3;2;7;2;4;2;2;7;2;1;3;2;1,"0, 19|0, 275;0, 840;0, 43|0, 115|0, 331;0, 219|0, 458;0, 250|0, 257|0, 600|0, 676|0, 1076|0, 1317|0, 1463;0, 910|0, 1389;0, 284|0, 294|0, 683|0, 855;0, 219|0, 923;0, 8|0, 32;0, 353|0, 746|0, 760|0, 879|0, 930|0, 1032|0, 1570;0, 167|0, 256;0, 53;0, 83|0, 1276|0, 1461;0, 223|0, 231;0, 1528"
15,0;2;4;5;6;8;10;11;13;15;18;19,2;1;1;4;2;3;1;1;1;2;1;1,"0, 21|0, 286;0, 913;0, 116;0, 254|0, 512|0, 548|0, 922;0, 328|0, 584;0, 850|0, 1014|0, 1094;0, 695;0, 1451;0, 752;0, 282|0, 606;0, 423;0, 1874"
16,0,1,"0, 23"
17,0,1,"0, 27"
18,0;6;11;19,1;4;2;14,"0, 33;0, 657|0, 665|0, 713|0, 1044;0, 1460|0, 1675;0, 30|0, 72|0, 180|0, 351|0, 408|0, 606|0, 1011|0, 1269|0, 1497|0, 1506|0, 1552|0, 1702|0, 1786|0, 2307"
19,0;6;11;13;14;16;19,1;1;12;1;1;6;2,"0, 35;0, 29;0, 31|0, 91|0, 175|0, 188|0, 419|0, 511|0, 533|0, 797|0, 927|0, 973|0, 1218|0, 1420;0, 92;0, 502;0, 711|0, 722|0, 1309|0, 1386|0, 1464|0, 1548;0, 1985|0, 1996"
20,0;6,1;2,"0, 43;0, 817|0, 1150"
21,0;2;7;8;11;14,5;1;1;1;2;1,"0, 44|0, 68|0, 743|0, 755|0, 969;0, 829;0, 809;0, 597;0, 293|0, 1448;0, 177"
22,0;11;17,1;1;1,"0, 48;0, 148;0, 184"
23,0;6;12;13,3;1;1;1,"0, 52|0, 211|0, 927;0, 170;0, 499;0, 861"
24,0,1,"0, 53"
25,0;1;5;12,2;1;2;1,"0, 55|0, 509;0, 168;0, 328|0, 334;0, 537"
26,0;1;5;7;9;11;12;13;15;16;19,2;1;4;1;1;1;1;1;1;1;2,"0, 58|0, 989;0, 999;0, 461|0, 826|0, 870|0, 960;0, 965;0, 335;0, 1462;0, 526;0, 721;0, 635;0, 444;0, 21|0, 2313"
27,0;11;19,1;1;13,"0, 59;0, 192;0, 142|0, 294|0, 339|0, 388|0, 636|0, 658|0, 710|0, 723|0, 736|0, 755|0, 1166|0, 1312|0, 1891"
28,0,1,"0, 61"
29,0;8,1;1,"0, 63;0, 867"
30,0;1;3;4;5;7;8;12;15;17;18,3;5;2;1;12;1;15;2;1;1;2,"0, 66|2, 2|2, 5;0, 43|0, 195|0, 267|0, 319|2, 2;2, 1|2, 8;2, 4;0, 104|0, 275|0, 279|0, 315|0, 587|0, 605|0, 725|0, 759|0, 791|0, 907|2, 5|2, 8;2, 7;3, 8|0, 8|0, 47|0, 60|0, 75|0, 279|0, 951|0, 969|0, 973|0, 984|0, 1186|0, 1212|0, 1296|2, 6|2, 9;0, 62|2, 1;2, 4;0, 20;2, 5|2, 8"
31,0,1,"0, 70"
32,0;14;16,1;2;1,"0, 74;0, 165|0, 304;0, 1614"
33,0;6,1;1,"0, 77;0, 175"
34,0;6;7;10;11;16;19,1;1;2;21;10;2;1,"0, 78;0, 252;0, 1003|0, 1025;3, 8|0, 73|0, 152|0, 169|0, 202|0, 229|0, 239|0, 357|0, 452|0, 526|0, 613|0, 704|0, 816|0, 840|0, 859|0, 862|0, 900|0, 916|0, 995|0, 1037|0, 1050;0, 435|0, 696|0, 789|0, 868|0, 883|0, 935|0, 1015|0, 1037|0, 1100|0, 1488;0, 9|0, 1169;0, 323"
35,0;2;7;10;12,1;1;1;1;3,"0, 80;0, 37;0, 1017;0, 824;0, 10|0, 69|0, 126"
36,0;2;6;8;16;18;19,3;4;1;1;4;1;1,"0, 81|0, 316|0, 552;0, 12|0, 193|0, 562|0, 726;0, 549;0, 1268;0, 509|0, 1318|0, 1342|0, 1361;0, 581;0, 1059"
37,0,1,"0, 87"
38,0;2,2;3,"0, 93|0, 103;0, 124|0, 496|0, 934"
39,0;1;7;11,1;1;2;1,"0, 95;0, 984;0, 906|0, 1385;0, 1085"
40,0;7;11;19,2;1;1;2,"0, 97|0, 921;0, 1002;0, 1673;0, 185|0, 1568"
41,0,1,"0, 99"
42,0;16,2;2,"0, 105|0, 399;0, 1325|0, 1349"
43,0,1,"0, 107"
44,0,1,"0, 109"
45,0,1,"0, 111"
46,0,1,"0, 113"
47,0;1;2;5;12;14,1;1;1;4;2;1,"0, 115;0, 1045;0, 284;0, 178|0, 241|0, 259|0, 614;0, 60|0, 285;0, 407"
48,0,1,"0, 117"
49,0;7,1;1,"0, 118;0, 1079"
