wordID,docIDs,frequencies,hitlists
107,5;8;9;11;12;15;16;18;19,1;1;2;1;1;1;4;1;2,"0, 965;0, 488;0, 194|0, 1238;0, 443;0, 101;0, 207;0, 340|0, 559|0, 655|0, 1300;0, 336;0, 1033|0, 1409"
108,5,1,"0, 969"
109,5;7;8;12,1;4;1;1,"0, 977;3, 0|0, 0|0, 10|0, 79;0, 1169;0, 510"
110,5,1,"0, 978"
111,5,1,"0, 979"
112,5;6,1;1,"2, 11;0, 339"
113,6;11;19,7;2;15,"3, 5|0, 5|0, 97|0, 709|0, 997|0, 1198|0, 1417;0, 785|0, 815;0, 12|0, 220|0, 312|0, 448|0, 547|0, 558|0, 587|0, 759|0, 798|0, 830|0, 999|0, 1073|0, 1591|0, 1650|0, 1732"
114,6,3,"3, 6|0, 6|0, 1199"
115,6;11,3;1,"3, 9|0, 9|0, 40;0, 488"
116,6;14;18,1;3;6,"0, 11;0, 268|0, 732|0, 769;3, 19|0, 19|0, 219|0, 236|0, 320|0, 367"
117,6;10;11;16;19,1;1;2;1;8,"0, 19;0, 363;0, 849|0, 1556;0, 506;3, 2|0, 204|0, 403|0, 425|0, 500|0, 1055|0, 1830|0, 2288"
118,6;19,1;1,"0, 23;0, 1822"
119,6,1,"0, 24"
120,6;11;16,1;2;1,"0, 37;0, 295|0, 534;0, 1082"
121,6,1,"0, 46"
122,6;8;10;11;15;16;18;19,1;1;8;1;1;3;4;1,"0, 52;0, 1109;3, 5|0, 367|0, 545|0, 610|0, 702|0, 814|0, 918|0, 991;0, 694;0, 143;0, 6|0, 855|0, 955;3, 14|0, 14|0, 98|0, 299;0, 957"
123,6;7;8;9;11;12;16,2;1;1;1;1;2;1,"0, 65|0, 1491;0, 1433;0, 458;0, 586;0, 1585;0, 110|0, 138;0, 1168"
124,6;11;13;19,1;1;1;2,"0, 70;0, 938;0, 370;0, 177|0, 605"
125,6;10;11;13;14;16;19,13;3;30;3;5;8;31,"0, 88|0, 338|0, 387|0, 441|0, 519|0, 545|0, 565|0, 779|0, 800|0, 1008|0, 1088|0, 1256|2, 7;0, 482|0, 518|0, 678;3, 5|0, 6|0, 11|0, 54|0, 76|0, 98|0, 159|0, 244|0, 258|0, 284|0, 326|0, 431|0, 494|0, 641|0, 827|0, 881|0, 902|0, 908|0, 1162|0, 1177|0, 1195|0, 1202|0, 1267|0, 1288|0, 1543|0, 1557|0, 1618|0, 1641|0, 1667|2, 4;0, 121|0, 187|2, 1;0, 232|0, 264|0, 560|0, 596|0, 617;0, 514|0, 926|0, 1081|0, 1362|0, 1471|0, 1514|0, 1577|2, 13;3, 5|0, 18|0, 210|0, 276|0, 286|0, 310|0, 428|0, 453|0, 507|0, 796|0, 808|0, 833|0, 903|0, 1035|0, 1050|0, 1258|0, 1331|0, 1411|0, 1421|0, 1655|0, 1727|0, 1790|0, 1804|0, 1826|0, 1879|0, 2114|0, 2122|0, 2194|0, 2203|2, 4|2, 10"
126,6,1,"0, 91"
127,6;11;16;19,1;1;3;1,"0, 93;0, 86;0, 1207|0, 1260|0, 1422;0, 1624"
128,6,1,"0, 112"
129,6;7;8;9;11;19,1;2;1;2;1;1,"0, 113;0, 301|0, 961;0, 1081;0, 518|0, 682;0, 227;0, 2142"
130,6;13,1;1,"0, 116;0, 1127"
131,6,1,"0, 124"
132,6;10,2;1,"0, 141|0, 711;0, 772"
133,6;9,1;1,"0, 150;0, 1131"
134,6,1,"0, 157"
135,6,1,"0, 159"
136,6;18;19,3;1;1,"0, 163|0, 1031|0, 1060;0, 643;0, 160"
137,6;19,1;1,"0, 168;0, 766"
138,6;8;9;11;13;16;19,3;5;1;1;1;1;6,"0, 169|0, 853|0, 1114;0, 392|0, 772|0, 858|0, 1075|0, 1361;0, 624;0, 122;0, 1115;0, 1111;0, 608|0, 745|0, 847|0, 1393|0, 1453|0, 1658"
139,6,1,"0, 172"
140,6,1,"0, 182"
141,6;10;11;13;16;19,6;1;1;1;1;1,"0, 184|0, 761|0, 785|0, 1116|0, 1276|0, 1390;0, 628;0, 137;0, 1078;0, 44;0, 250"
142,6,1,"0, 193"
143,6,1,"0, 201"
144,6,3,"0, 202|0, 234|0, 622"
145,6,2,"0, 209|0, 402"
146,6;7,2;1,"0, 228|0, 693;0, 1437"
147,6;9;19,3;3;1,"0, 275|0, 280|0, 289;0, 98|0, 548|0, 1311;0, 959"
148,6;11,3;2,"0, 277|0, 284|0, 798;0, 1276|2, 7"
149,6;13;19,3;1;1,"0, 287|0, 447|0, 1130;0, 273;0, 670"
150,6;11,1;1,"0, 302;0, 174"
151,6;7;10;11;16;19,3;2;2;10;1;6,"0, 349|0, 445|0, 493;0, 389|0, 1000;0, 398|0, 1048;0, 9|0, 69|0, 242|0, 504|0, 792|0, 808|0, 1261|0, 1535|0, 1555|0, 1562;0, 697;0, 202|0, 499|0, 1078|0, 1122|0, 1714|0, 2311"
152,6;13,1;1,"0, 355;0, 551"
153,6,1,"0, 362"
154,6,1,"0, 367"
155,6;8;13,1;3;1,"0, 373;0, 529|0, 901|0, 1152;0, 826"
156,6;16,1;1,"0, 382;0, 397"
157,6;7,1;2,"0, 385;0, 884|0, 1363"
158,6,1,"0, 390"
159,6;16,1;1,"0, 432;0, 546"
160,6;7;9;11;13;14;16;18;19,3;1;2;2;2;3;4;3;1,"0, 433|0, 436|0, 1047;0, 257;0, 171|0, 372;0, 781|0, 812;0, 344|0, 1211;0, 505|0, 609|0, 625;0, 160|0, 260|0, 279|0, 331;0, 311|0, 329|0, 350;0, 1014"
161,6,3,"0, 434|0, 1000|0, 1014"
162,6;10;19,2;1;2,"0, 438|0, 1010;0, 912;0, 813|0, 843"
163,6;19,1;1,"0, 439;0, 48"
164,6,1,"0, 443"
165,6,2,"0, 462|0, 1404"
166,6;8;9;10;11;19,5;1;1;1;1;2,"0, 469|0, 811|0, 868|0, 881|0, 1306;0, 101;0, 747;0, 1046;0, 1210;0, 1515|0, 1635"
167,6;19,3;1,"0, 470|0, 476|0, 1401;0, 219"
168,6,1,"0, 488"
169,6;7;10;11;15;16,1;5;4;1;2;1,"0, 510;0, 108|0, 547|0, 978|0, 1270|0, 1320;0, 118|0, 395|0, 454|0, 892;0, 1049;0, 80|0, 89;0, 1605"
170,6,1,"0, 512"
171,6;8;9,1;7;1,"0, 515;0, 475|0, 620|0, 664|0, 704|0, 722|0, 862|0, 886;0, 569"
172,6,1,"0, 517"
173,6,1,"0, 529"
174,6;14;17;19,1;1;1;1,"0, 530;0, 153;0, 10;0, 277"
175,6,1,"0, 557"
176,6;9;11;19,1;1;1;1,"0, 561;0, 1248;0, 1286;0, 2239"
177,6;10;11;15;19,4;1;2;1;2,"0, 576|0, 632|0, 652|0, 768;0, 750;0, 77|0, 160;0, 9;3, 1|0, 904"
178,6;13;15,1;1;1,"0, 581;0, 1232;0, 322"
179,6,1,"0, 595"
180,6;7;8;11;12;18;19,1;2;1;4;2;1;1,"0, 610;0, 641|0, 741;0, 1317;0, 434|0, 788|0, 1443|0, 1487;0, 75|0, 453;0, 434;0, 322"
181,6,1,"0, 643"
182,6,1,"0, 644"
183,6;15,1;1,"0, 655;0, 284"
184,6,1,"0, 691"
185,6;13,1;2,"0, 692;0, 480|0, 576"
186,6,1,"0, 695"
187,6;9;16,1;1;1,"0, 696;0, 627;0, 377"
188,6;9,1;1,"0, 721;0, 1162"
189,6;7,1;1,"0, 743;0, 1278"
190,6,1,"0, 755"
191,6;15,1;1,"0, 773;0, 443"
192,6,1,"0, 795"
193,6;9;12,1;1;1,"0, 797;0, 345;0, 218"
194,6;8;11,1;1;1,"0, 801;0, 1369;0, 194"
195,6,1,"0, 806"
196,6;16;19,1;1;1,"0, 823;0, 145;0, 702"
197,6,1,"0, 836"
198,6,3,"0, 838|0, 1238|0, 1503"
199,6;10;15;19,3;2;1;1,"0, 843|0, 877|0, 953;0, 671|0, 673;0, 297;0, 1910"
200,6,1,"0, 862"
201,6,1,"0, 883"
202,6,1,"0, 889"
203,6;13;18,1;1;3,"0, 900;0, 1208;0, 218|0, 235|0, 319"
204,6;16,1;1,"0, 916;0, 1476"
205,6;9;15;19,1;1;4;1,"0, 977;0, 772;0, 116|0, 292|0, 522|0, 577;0, 2278"
206,6,1,"0, 985"
207,6,1,"0, 988"
208,6,1,"0, 991"
209,6;11,1;2,"0, 995;0, 734|0, 943"
210,6;13,1;2,"0, 1012;3, 3|0, 489"
211,6,1,"0, 1064"
212,6,1,"0, 1087"
213,6,1,"0, 1090"
214,6,1,"0, 1105"
215,6,1,"0, 1106"
216,6;19,1;2,"0, 1124;0, 159|0, 1929"
217,6;7,1;1,"0, 1132;0, 861"
