docID,wordID,frequency,hitlist
5,0,1,"[[2, 0, 141]]"
5,1,1,"[[2, 0, 143]]"
5,2,1,"[[2, 0, 158]]"
5,3,1,"[[2, 0, 159]]"
5,4,1,"[[2, 0, 160]]"
5,5,2,"[[2, 0, 162], [2, 0, 164]]"
5,6,1,"[[2, 0, 162]]"
5,7,1,"[[2, 0, 164]]"
5,8,1,"[[2, 0, 166]]"
5,9,1,"[[2, 0, 187]]"
5,10,2,"[[2, 0, 194], [2, 0, 198]]"
5,11,1,"[[2, 0, 216]]"
5,12,1,"[[2, 0, 226]]"
5,13,2,"[[2, 0, 227], [2, 0, 318]]"
5,14,1,"[[2, 0, 229]]"
5,15,3,"[[2, 0, 230], [2, 0, 328], [2, 0, 331]]"
5,16,1,"[[2, 0, 240]]"
5,17,3,"[[2, 0, 249], [2, 0, 504], [2, 0, 666]]"
5,18,1,"[[2, 0, 251]]"
5,19,1,"[[2, 0, 254]]"
5,20,1,"[[2, 0, 258]]"
5,21,1,"[[2, 0, 261]]"
5,22,1,"[[2, 0, 264]]"
5,23,1,"[[2, 0, 277]]"
5,24,1,"[[2, 0, 280]]"
5,25,1,"[[2, 0, 282]]"
5,26,2,"[[2, 0, 289], [3, 0, 0]]"
5,27,1,"[[2, 0, 296]]"
5,28,2,"[[2, 0, 297], [2, 0, 800]]"
5,29,1,"[[2, 0, 298]]"
5,30,4,"[[2, 0, 303], [2, 0, 328], [2, 0, 331], [2, 0, 339]]"
5,31,2,"[[2, 0, 307], [2, 0, 584]]"
5,32,1,"[[2, 0, 308]]"
5,33,1,"[[2, 0, 314]]"
5,34,2,"[[2, 0, 319], [2, 0, 522]]"
5,35,2,"[[2, 0, 322], [2, 0, 340]]"
5,36,1,"[[2, 0, 324]]"
5,37,1,"[[2, 0, 335]]"
5,38,1,"[[2, 0, 338]]"
5,39,1,"[[2, 0, 339]]"
5,40,1,"[[2, 0, 346]]"
5,41,1,"[[2, 0, 360]]"
5,42,1,"[[2, 0, 367]]"
